county,precinct,office,district,party,candidate,votes,mail,provisional
Beaver,MILFORD 2,Governor,,,Daniel Rhead Cottam,20,19,1
Beaver,MILFORD 3,Governor,,,Daniel Rhead Cottam,5,5,0
Beaver,MINERSVILLE 1,Governor,,,Daniel Rhead Cottam,14,14,0
Beaver,BEAVER 1,Governor,,,Madeline Kazantzis,12,12,0
Beaver,BEAVER 2,Governor,,,Madeline Kazantzis,8,8,0
Beaver,BEAVER 3,Governor,,,Madeline Kazantzis,6,5,1
Beaver,BEAVER 4,Governor,,,Madeline Kazantzis,5,5,0
Beaver,GREENVILLE 1,Governor,,,Madeline Kazantzis,1,1,0
Beaver,MILFORD 1,Governor,,,Madeline Kazantzis,3,3,0
Beaver,MILFORD 2,Governor,,,Madeline Kazantzis,7,7,0
Beaver,MILFORD 3,Governor,,,Madeline Kazantzis,0,0,0
Beaver,MINERSVILLE 1,Governor,,,Madeline Kazantzis,12,12,0
Beaver,BEAVER 1,Attorney General,,LBT,Rudy J. Bautista,18,16,2
Beaver,BEAVER 2,Attorney General,,LBT,Rudy J. Bautista,21,21,0
Beaver,BEAVER 3,Attorney General,,LBT,Rudy J. Bautista,18,18,0
Beaver,BEAVER 4,Attorney General,,LBT,Rudy J. Bautista,5,5,0
Beaver,GREENVILLE 1,Attorney General,,LBT,Rudy J. Bautista,3,2,1
Beaver,MILFORD 1,Attorney General,,LBT,Rudy J. Bautista,10,10,0
Beaver,MILFORD 2,Attorney General,,LBT,Rudy J. Bautista,12,12,0
Beaver,MILFORD 3,Attorney General,,LBT,Rudy J. Bautista,7,7,0
Beaver,MINERSVILLE 1,Attorney General,,LBT,Rudy J. Bautista,6,6,0
Beaver,BEAVER 1,Attorney General,,DEM,Greg Skordas,56,55,1
Beaver,BEAVER 2,Attorney General,,DEM,Greg Skordas,63,63,0
Beaver,BEAVER 3,Attorney General,,DEM,Greg Skordas,31,30,1
Beaver,BEAVER 4,Attorney General,,DEM,Greg Skordas,21,21,0
Beaver,GREENVILLE 1,Attorney General,,DEM,Greg Skordas,12,11,1
Beaver,MILFORD 1,Attorney General,,DEM,Greg Skordas,19,19,0
Beaver,MILFORD 2,Attorney General,,DEM,Greg Skordas,108,108,0
Beaver,MILFORD 3,Attorney General,,DEM,Greg Skordas,21,21,0
Beaver,MINERSVILLE 1,Attorney General,,DEM,Greg Skordas,30,30,0
Beaver,BEAVER 1,Attorney General,,REP,Sean D. Reyes,629,618,11
Beaver,BEAVER 2,Attorney General,,REP,Sean D. Reyes,426,419,7
Beaver,BEAVER 3,Attorney General,,REP,Sean D. Reyes,379,369,10
Beaver,BEAVER 4,Attorney General,,REP,Sean D. Reyes,148,147,1
Beaver,GREENVILLE 1,Attorney General,,REP,Sean D. Reyes,81,80,1
Beaver,MILFORD 1,Attorney General,,REP,Sean D. Reyes,53,53,0
Beaver,MILFORD 2,Attorney General,,REP,Sean D. Reyes,326,323,3
Beaver,MILFORD 3,Attorney General,,REP,Sean D. Reyes,90,90,0
Beaver,MINERSVILLE 1,Attorney General,,REP,Sean D. Reyes,369,366,3
Beaver,BEAVER 1,State Auditor,,REP,"John ""Frugal"" Dougall",603,590,13
Beaver,BEAVER 2,State Auditor,,REP,"John ""Frugal"" Dougall",414,407,7
Beaver,BEAVER 3,State Auditor,,REP,"John ""Frugal"" Dougall",361,351,10
Beaver,BEAVER 4,State Auditor,,REP,"John ""Frugal"" Dougall",145,144,1
Beaver,GREENVILLE 1,State Auditor,,REP,"John ""Frugal"" Dougall",81,80,1
Beaver,MILFORD 1,State Auditor,,REP,"John ""Frugal"" Dougall",56,56,0
Beaver,MILFORD 2,State Auditor,,REP,"John ""Frugal"" Dougall",332,330,2
Beaver,MILFORD 3,State Auditor,,REP,"John ""Frugal"" Dougall",90,90,0
Beaver,MINERSVILLE 1,State Auditor,,REP,"John ""Frugal"" Dougall",369,367,2
Beaver,BEAVER 1,State Auditor,,CON,Jeffrey L. Ostler,51,49,2
Beaver,BEAVER 2,State Auditor,,CON,Jeffrey L. Ostler,42,42,0
Beaver,BEAVER 3,State Auditor,,CON,Jeffrey L. Ostler,25,25,0
Beaver,BEAVER 4,State Auditor,,CON,Jeffrey L. Ostler,18,18,0
Beaver,GREENVILLE 1,State Auditor,,CON,Jeffrey L. Ostler,5,5,0
Beaver,MILFORD 1,State Auditor,,CON,Jeffrey L. Ostler,13,13,0
Beaver,MILFORD 2,State Auditor,,CON,Jeffrey L. Ostler,66,66,0
Beaver,MILFORD 3,State Auditor,,CON,Jeffrey L. Ostler,20,20,0
Beaver,MINERSVILLE 1,State Auditor,,CON,Jeffrey L. Ostler,17,17,0
Beaver,BEAVER 1,State Auditor,,UUP,Brian L. Fabbi,15,14,1
Beaver,BEAVER 2,State Auditor,,UUP,Brian L. Fabbi,26,26,0
Beaver,BEAVER 3,State Auditor,,UUP,Brian L. Fabbi,5,4,1
Beaver,BEAVER 4,State Auditor,,UUP,Brian L. Fabbi,1,1,0
Beaver,GREENVILLE 1,State Auditor,,UUP,Brian L. Fabbi,3,1,2
Beaver,MILFORD 1,State Auditor,,UUP,Brian L. Fabbi,6,6,0
Beaver,MILFORD 2,State Auditor,,UUP,Brian L. Fabbi,27,27,0
Beaver,MILFORD 3,State Auditor,,UUP,Brian L. Fabbi,4,4,0
Beaver,MINERSVILLE 1,State Auditor,,UUP,Brian L. Fabbi,8,8,0
Beaver,BEAVER 1,State Treasurer,,CON,Richard Proctor,41,40,1
Beaver,BEAVER 2,State Treasurer,,CON,Richard Proctor,44,43,1
Beaver,BEAVER 3,State Treasurer,,CON,Richard Proctor,17,17,0
Beaver,BEAVER 4,State Treasurer,,CON,Richard Proctor,21,21,0
Beaver,GREENVILLE 1,State Treasurer,,CON,Richard Proctor,1,1,0
Beaver,MILFORD 1,State Treasurer,,CON,Richard Proctor,9,9,0
Beaver,MILFORD 2,State Treasurer,,CON,Richard Proctor,65,65,0
Beaver,MILFORD 3,State Treasurer,,CON,Richard Proctor,15,15,0
Beaver,MINERSVILLE 1,State Treasurer,,CON,Richard Proctor,26,26,0
Beaver,BEAVER 1,State Treasurer,,REP,David Damschen,609,597,12
Beaver,BEAVER 2,State Treasurer,,REP,David Damschen,412,406,6
Beaver,BEAVER 3,State Treasurer,,REP,David Damschen,369,360,9
Beaver,BEAVER 4,State Treasurer,,REP,David Damschen,138,137,1
Beaver,GREENVILLE 1,State Treasurer,,REP,David Damschen,88,86,2
Beaver,MILFORD 1,State Treasurer,,REP,David Damschen,56,56,0
Beaver,MILFORD 2,State Treasurer,,REP,David Damschen,317,314,3
Beaver,MILFORD 3,State Treasurer,,REP,David Damschen,88,88,0
Beaver,MINERSVILLE 1,State Treasurer,,REP,David Damschen,357,355,2
Beaver,BEAVER 1,State Treasurer,,LBT,Joseph Speciale,20,18,2
Beaver,BEAVER 2,State Treasurer,,LBT,Joseph Speciale,34,34,0
Beaver,BEAVER 3,State Treasurer,,LBT,Joseph Speciale,14,13,1
Beaver,BEAVER 4,State Treasurer,,LBT,Joseph Speciale,5,5,0
Beaver,GREENVILLE 1,State Treasurer,,LBT,Joseph Speciale,5,4,1
Beaver,MILFORD 1,State Treasurer,,LBT,Joseph Speciale,10,10,0
Beaver,MILFORD 2,State Treasurer,,LBT,Joseph Speciale,48,48,0
Beaver,MILFORD 3,State Treasurer,,LBT,Joseph Speciale,12,12,0
Beaver,MINERSVILLE 1,State Treasurer,,LBT,Joseph Speciale,9,9,0
Beaver,BEAVER 4,State Senate,24,REP,Derrin R. Owens,145,144,1
Beaver,BEAVER 4,State Senate,24,IAP,Warren Rogers,17,17,0
Beaver,MILFORD 1,State House,68,CON,Kirk D. Pearson,6,6,0
Beaver,MILFORD 2,State House,68,CON,Kirk D. Pearson,19,19,0
Beaver,MILFORD 1,State House,68,REP,Merrill Nelson,54,54,0
Beaver,MILFORD 2,State House,68,REP,Merrill Nelson,316,313,3
Beaver,MILFORD 1,State House,68,DEM,Amiee O. Finster,20,20,0
Beaver,MILFORD 2,State House,68,DEM,Amiee O. Finster,110,110,0
Beaver,BEAVER 1,State House,73,REP,Phil Lyman,603,588,15
Beaver,BEAVER 2,State House,73,REP,Phil Lyman,441,436,5
Beaver,BEAVER 3,State House,73,REP,Phil Lyman,371,362,9
Beaver,BEAVER 4,State House,73,REP,Phil Lyman,146,145,1
Beaver,GREENVILLE 1,State House,73,REP,Phil Lyman,79,78,1
Beaver,MILFORD 3,State House,73,REP,Phil Lyman,103,103,0
Beaver,MINERSVILLE 1,State House,73,REP,Phil Lyman,366,364,2
Beaver,BEAVER 1,President,,,Brian Carroll (W),0,,
Beaver,BEAVER 2,President,,,Brian Carroll (W),0,,
Beaver,BEAVER 3,President,,,Brian Carroll (W),0,,
Beaver,BEAVER 4,President,,,Brian Carroll (W),0,,
Beaver,GREENVILLE 1,President,,,Brian Carroll (W),0,,
Beaver,MILFORD 1,President,,,Brian Carroll (W),0,,
Beaver,MILFORD 2,President,,,Brian Carroll (W),0,,
Beaver,MILFORD 3,President,,,Brian Carroll (W),0,,
Beaver,MINERSVILLE 1,President,,,Brian Carroll (W),0,,
Beaver,BEAVER 1,President,,,Tom Hoefling (W),0,,
Beaver,BEAVER 2,President,,,Tom Hoefling (W),0,,
Beaver,BEAVER 3,President,,,Tom Hoefling (W),0,,
Beaver,BEAVER 4,President,,,Tom Hoefling (W),0,,
Beaver,GREENVILLE 1,President,,,Tom Hoefling (W),0,,
Beaver,MILFORD 1,President,,,Tom Hoefling (W),0,,
Beaver,MILFORD 2,President,,,Tom Hoefling (W),0,,
Beaver,MILFORD 3,President,,,Tom Hoefling (W),0,,
Beaver,MINERSVILLE 1,President,,,Tom Hoefling (W),0,,
Beaver,BEAVER 1,President,,,Jade Simmons (W),0,,
Beaver,BEAVER 2,President,,,Jade Simmons (W),0,,
Beaver,BEAVER 3,President,,,Jade Simmons (W),0,,
Beaver,BEAVER 4,President,,,Jade Simmons (W),0,,
Beaver,GREENVILLE 1,President,,,Jade Simmons (W),0,,
Beaver,MILFORD 1,President,,,Jade Simmons (W),0,,
Beaver,MILFORD 2,President,,,Jade Simmons (W),0,,
Beaver,MILFORD 3,President,,,Jade Simmons (W),0,,
Beaver,MINERSVILLE 1,President,,,Jade Simmons (W),0,,
Beaver,BEAVER 1,President,,,President R. Boddie (W),0,,
Beaver,BEAVER 2,President,,,President R. Boddie (W),0,,
Beaver,BEAVER 3,President,,,President R. Boddie (W),0,,
Beaver,BEAVER 4,President,,,President R. Boddie (W),0,,
Beaver,GREENVILLE 1,President,,,President R. Boddie (W),0,,
Beaver,MILFORD 1,President,,,President R. Boddie (W),0,,
Beaver,MILFORD 2,President,,,President R. Boddie (W),0,,
Beaver,MILFORD 3,President,,,President R. Boddie (W),0,,
Beaver,MINERSVILLE 1,President,,,President R. Boddie (W),0,,
Beaver,BEAVER 1,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,BEAVER 2,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,BEAVER 3,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,BEAVER 4,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,GREENVILLE 1,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,MILFORD 1,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,MILFORD 2,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,MILFORD 3,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,MINERSVILLE 1,President,,,Princess Khadijah M. Jacob-Fambro (W),0,,
Beaver,BEAVER 1,Governor,,,Richard T. Whitney (W),0,,
Beaver,BEAVER 2,Governor,,,Richard T. Whitney (W),0,,
Beaver,BEAVER 3,Governor,,,Richard T. Whitney (W),0,,
Beaver,BEAVER 4,Governor,,,Richard T. Whitney (W),0,,
Beaver,GREENVILLE 1,Governor,,,Richard T. Whitney (W),0,,
Beaver,MILFORD 1,Governor,,,Richard T. Whitney (W),0,,
Beaver,MILFORD 2,Governor,,,Richard T. Whitney (W),0,,
Beaver,MILFORD 3,Governor,,,Richard T. Whitney (W),0,,
Beaver,MINERSVILLE 1,Governor,,,Richard T. Whitney (W),0,,
Beaver,BEAVER 1,Governor,,,Kristena M. Conlin (W),0,,
Beaver,BEAVER 2,Governor,,,Kristena M. Conlin (W),0,,
Beaver,BEAVER 3,Governor,,,Kristena M. Conlin (W),1,,
Beaver,BEAVER 4,Governor,,,Kristena M. Conlin (W),0,,
Beaver,GREENVILLE 1,Governor,,,Kristena M. Conlin (W),0,,
Beaver,MILFORD 1,Governor,,,Kristena M. Conlin (W),0,,
Beaver,MILFORD 2,Governor,,,Kristena M. Conlin (W),0,,
Beaver,MILFORD 3,Governor,,,Kristena M. Conlin (W),0,,
Beaver,MINERSVILLE 1,Governor,,,Kristena M. Conlin (W),0,,
Beaver,BEAVER 1,Governor,,,Tyler Scott Batty (W),0,,
Beaver,BEAVER 2,Governor,,,Tyler Scott Batty (W),0,,
Beaver,BEAVER 3,Governor,,,Tyler Scott Batty (W),0,,
Beaver,BEAVER 4,Governor,,,Tyler Scott Batty (W),0,,
Beaver,GREENVILLE 1,Governor,,,Tyler Scott Batty (W),0,,
Beaver,MILFORD 1,Governor,,,Tyler Scott Batty (W),0,,
Beaver,MILFORD 2,Governor,,,Tyler Scott Batty (W),0,,
Beaver,MILFORD 3,Governor,,,Tyler Scott Batty (W),0,,
Beaver,MINERSVILLE 1,Governor,,,Tyler Scott Batty (W),0,,
Beaver,BEAVER 1,Governor,,,Gregory C. Johnson (W),0,,
Beaver,BEAVER 2,Governor,,,Gregory C. Johnson (W),0,,
Beaver,BEAVER 3,Governor,,,Gregory C. Johnson (W),0,,
Beaver,BEAVER 4,Governor,,,Gregory C. Johnson (W),0,,
Beaver,GREENVILLE 1,Governor,,,Gregory C. Johnson (W),0,,
Beaver,MILFORD 1,Governor,,,Gregory C. Johnson (W),0,,
Beaver,MILFORD 2,Governor,,,Gregory C. Johnson (W),0,,
Beaver,MILFORD 3,Governor,,,Gregory C. Johnson (W),0,,
Beaver,MINERSVILLE 1,Governor,,,Gregory C. Johnson (W),0,,
