county,precinct,office,district,party,candidate,votes,pct
Tooele,EC01,ADAM T. MOW Judicial Retention,,,NO,53,27.04
Tooele,EC01,AMBER M. METTLER Judicial Retention,,,YES,144,73.47
Tooele,EC01,AMBER M. METTLER Judicial Retention,,,NO,52,26.53
Tooele,EC01,BARRY G. LAWRENCE Judicial Retention,,,YES,142,72.82
Tooele,EC01,BARRY G. LAWRENCE Judicial Retention,,,NO,53,27.18
Tooele,EC01,CHELSEA KOCH Judicial Retention,,,YES,136,69.04
Tooele,EC01,CHELSEA KOCH Judicial Retention,,,NO,61,30.96
Tooele,EC01,DIANNA M. GIBSON Judicial Retention,,,YES,108,51.92
Tooele,EC01,DIANNA M. GIBSON Judicial Retention,,,NO,100,48.08
Tooele,EC01,JAMES T. BLANCH Judicial Retention,,,YES,139,71.65
Tooele,EC01,JAMES T. BLANCH Judicial Retention,,,NO,55,28.35
Tooele,EC01,LINDA JONES Judicial Retention,,,YES,125,64.77
Tooele,EC01,LINDA JONES Judicial Retention,,,NO,68,35.23
Tooele,EC01,MARK S. KOURIS Judicial Retention,,,YES,120,61.86
Tooele,EC01,MARK S. KOURIS Judicial Retention,,,NO,74,38.14
Tooele,EC01,PATRICK W. CORUM Judicial Retention,,,YES,132,68.39
Tooele,EC01,PATRICK W. CORUM Judicial Retention,,,NO,61,31.61
Tooele,EC01,PAUL BOYD PARKER Judicial Retention,,,YES,132,69.11
Tooele,EC01,PAUL BOYD PARKER Judicial Retention,,,NO,59,30.89
Tooele,EC01,RANDALL N. SKANCHY Judicial Retention,,,YES,136,67.33
Tooele,EC01,RANDALL N. SKANCHY Judicial Retention,,,NO,66,32.67
Tooele,EC01,RICHARD E. MRAZIK Judicial Retention,,,YES,137,70.62
Tooele,EC01,RICHARD E. MRAZIK Judicial Retention,,,NO,57,29.38
Tooele,EC01,ROBERT P. FAUST Judicial Retention,,,YES,121,61.42
Tooele,EC01,ROBERT P. FAUST Judicial Retention,,,NO,76,38.58
Tooele,EC01,VERNICE S. TREASE Judicial Retention,,,YES,142,73.2
Tooele,EC01,VERNICE S. TREASE Judicial Retention,,,NO,52,26.8
Tooele,EC01,Constitutional Amendment A,,,AGAINST,175,81.78
Tooele,EC01,Constitutional Amendment A,,,FOR,39,18.22
Tooele,EC03:2,Registered Voters,,,,328,
Tooele,EC03:2,Ballots Cast,,,,217,
Tooele,EC03:2,U.S. Senate,,REP,MIKE LEE,155,71.43
Tooele,EC03:2,U.S. Senate,,,EVAN MCMULLIN,54,24.88
Tooele,EC03:2,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,5,2.3
Tooele,EC03:2,U.S. Senate,,IAP,TOMMY WILLIAMS,3,1.38
Tooele,EC03:2,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,EC03:2,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,EC03:2,U.S. Senate,,,Write-In Totals,0,0
Tooele,EC03:2,U.S. Senate,,,Not Assigned,0,0
Tooele,EC03:2,U.S. House,2,REP,CHRIS STEWART,171,80.66
Tooele,EC03:2,U.S. House,2,DEM,NICK MITCHELL,31,14.62
Tooele,EC03:2,U.S. House,2,UUP,JAYMAC MCFARLAND,6,2.83
Tooele,EC03:2,U.S. House,2,CON,CASSIE EASLEY,4,1.89
Tooele,EC03:2,State Treasurer,,REP,MARLO M. OAKS,171,85.07
Tooele,EC03:2,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,18,8.96
Tooele,EC03:2,State Treasurer,,IAP,WARREN T ROGERS,9,4.48
Tooele,EC03:2,State Treasurer,,UUP,THOMAS ALAN HORNE,3,1.49
Tooele,EC03:2,State Senate,11,REP,DANIEL W. THATCHER,179,100
Tooele,EC03:2,State House,28,REP,TIM JIMENEZ,181,100
Tooele,EC03:2,County Attorney,,REP,SCOTT A. BROADHEAD,169,100
Tooele,EC03:2,County Auditor,,REP,ALISON H. MCCOY,179,100
Tooele,EC03:2,County Clerk,,REP,TRACY SHAW,179,100
Tooele,EC03:2,County Sheriff,,REP,PAUL J. WIMMER,171,81.43
Tooele,EC03:2,County Sheriff,,,M. DEAN ADAMS,39,18.57
Tooele,EC03:2,PAIGE PETERSEN Judicial Retention,,,YES,144,79.12
Tooele,EC03:2,PAIGE PETERSEN Judicial Retention,,,NO,38,20.88
Tooele,EC03:2,ADAM T. MOW Judicial Retention,,,YES,144,80
Tooele,EC03:2,ADAM T. MOW Judicial Retention,,,NO,36,20
Tooele,EC03:2,AMBER M. METTLER Judicial Retention,,,YES,146,80.22
Tooele,EC03:2,AMBER M. METTLER Judicial Retention,,,NO,36,19.78
Tooele,EC03:2,BARRY G. LAWRENCE Judicial Retention,,,YES,142,78.89
Tooele,EC03:2,BARRY G. LAWRENCE Judicial Retention,,,NO,38,21.11
Tooele,EC03:2,CHELSEA KOCH Judicial Retention,,,YES,132,74.16
Tooele,EC03:2,CHELSEA KOCH Judicial Retention,,,NO,46,25.84
Tooele,EC03:2,DIANNA M. GIBSON Judicial Retention,,,YES,128,69.19
Tooele,EC03:2,DIANNA M. GIBSON Judicial Retention,,,NO,57,30.81
Tooele,EC03:2,JAMES T. BLANCH Judicial Retention,,,YES,140,78.21
Tooele,EC03:2,JAMES T. BLANCH Judicial Retention,,,NO,39,21.79
Tooele,EC03:2,LINDA JONES Judicial Retention,,,YES,124,68.89
Tooele,EC03:2,LINDA JONES Judicial Retention,,,NO,56,31.11
Tooele,EC03:2,MARK S. KOURIS Judicial Retention,,,YES,128,71.11
Tooele,EC03:2,MARK S. KOURIS Judicial Retention,,,NO,52,28.89
Tooele,EC03:2,PATRICK W. CORUM Judicial Retention,,,YES,132,75
Tooele,EC03:2,PATRICK W. CORUM Judicial Retention,,,NO,44,25
Tooele,EC03:2,PAUL BOYD PARKER Judicial Retention,,,YES,137,77.84
Tooele,EC03:2,PAUL BOYD PARKER Judicial Retention,,,NO,39,22.16
Tooele,EC03:2,RANDALL N. SKANCHY Judicial Retention,,,YES,130,73.86
Tooele,EC03:2,RANDALL N. SKANCHY Judicial Retention,,,NO,46,26.14
Tooele,EC03:2,RICHARD E. MRAZIK Judicial Retention,,,YES,140,80
Tooele,EC03:2,RICHARD E. MRAZIK Judicial Retention,,,NO,35,20
Tooele,EC03:2,ROBERT P. FAUST Judicial Retention,,,YES,105,59.66
Tooele,EC03:2,ROBERT P. FAUST Judicial Retention,,,NO,71,40.34
Tooele,EC03:2,VERNICE S. TREASE Judicial Retention,,,YES,143,80.79
Tooele,EC03:2,VERNICE S. TREASE Judicial Retention,,,NO,34,19.21
Tooele,EC03:2,Constitutional Amendment A,,,AGAINST,133,67.17
Tooele,EC03:2,Constitutional Amendment A,,,FOR,65,32.83
Tooele,EC04:2,Registered Voters,,,,76,
Tooele,EC04:2,Ballots Cast,,,,53,
Tooele,EC04:2,U.S. Senate,,REP,MIKE LEE,35,66.04
Tooele,EC04:2,U.S. Senate,,,EVAN MCMULLIN,17,32.08
Tooele,EC04:2,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,1,1.89
Tooele,EC04:2,U.S. Senate,,IAP,TOMMY WILLIAMS,0,0
Tooele,EC04:2,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,EC04:2,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,EC04:2,U.S. Senate,,,Write-In Totals,0,0
Tooele,EC04:2,U.S. Senate,,,Not Assigned,0,0
Tooele,EC04:2,U.S. House,2,REP,CHRIS STEWART,33,63.46
Tooele,EC04:2,U.S. House,2,DEM,NICK MITCHELL,14,26.92
Tooele,EC04:2,U.S. House,2,UUP,JAYMAC MCFARLAND,4,7.69
Tooele,EC04:2,U.S. House,2,CON,CASSIE EASLEY,1,1.92
Tooele,EC04:2,State Treasurer,,REP,MARLO M. OAKS,35,76.09
Tooele,EC04:2,State Treasurer,,UUP,THOMAS ALAN HORNE,5,10.87
Tooele,EC04:2,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,4,8.7
Tooele,EC04:2,State Treasurer,,IAP,WARREN T ROGERS,2,4.35
Tooele,EC04:2,State Senate,11,REP,DANIEL W. THATCHER,39,100
Tooele,EC04:2,State House,28,REP,TIM JIMENEZ,41,100
Tooele,EC04:2,County Attorney,,REP,SCOTT A. BROADHEAD,41,100
Tooele,EC04:2,County Auditor,,REP,ALISON H. MCCOY,39,100
Tooele,EC04:2,County Clerk,,REP,TRACY SHAW,39,100
Tooele,EC04:2,County Sheriff,,REP,PAUL J. WIMMER,40,78.43
Tooele,EC04:2,County Sheriff,,,M. DEAN ADAMS,11,21.57
Tooele,EC04:2,PAIGE PETERSEN Judicial Retention,,,YES,37,86.05
Tooele,EC04:2,PAIGE PETERSEN Judicial Retention,,,NO,6,13.95
Tooele,EC04:2,ADAM T. MOW Judicial Retention,,,YES,36,85.71
Tooele,EC04:2,ADAM T. MOW Judicial Retention,,,NO,6,14.29
Tooele,EC04:2,AMBER M. METTLER Judicial Retention,,,YES,38,88.37
Tooele,EC04:2,AMBER M. METTLER Judicial Retention,,,NO,5,11.63
Tooele,EC04:2,BARRY G. LAWRENCE Judicial Retention,,,YES,41,87.23
Tooele,EC04:2,BARRY G. LAWRENCE Judicial Retention,,,NO,6,12.77
Tooele,EC04:2,CHELSEA KOCH Judicial Retention,,,YES,38,80.85
Tooele,EC04:2,CHELSEA KOCH Judicial Retention,,,NO,9,19.15
Tooele,EC04:2,DIANNA M. GIBSON Judicial Retention,,,YES,30,61.22
Tooele,EC04:2,DIANNA M. GIBSON Judicial Retention,,,NO,19,38.78
Tooele,EC04:2,JAMES T. BLANCH Judicial Retention,,,YES,41,87.23
Tooele,EC04:2,JAMES T. BLANCH Judicial Retention,,,NO,6,12.77
Tooele,EC04:2,LINDA JONES Judicial Retention,,,YES,36,78.26
Tooele,EC04:2,LINDA JONES Judicial Retention,,,NO,10,21.74
Tooele,EC04:2,MARK S. KOURIS Judicial Retention,,,YES,34,73.91
Tooele,EC04:2,MARK S. KOURIS Judicial Retention,,,NO,12,26.09
Tooele,EC04:2,PATRICK W. CORUM Judicial Retention,,,YES,34,79.07
Tooele,EC04:2,PATRICK W. CORUM Judicial Retention,,,NO,9,20.93
Tooele,EC04:2,PAUL BOYD PARKER Judicial Retention,,,YES,38,84.44
Tooele,EC04:2,PAUL BOYD PARKER Judicial Retention,,,NO,7,15.56
Tooele,EC04:2,RANDALL N. SKANCHY Judicial Retention,,,YES,38,80.85
Tooele,EC04:2,RANDALL N. SKANCHY Judicial Retention,,,NO,9,19.15
Tooele,EC04:2,RICHARD E. MRAZIK Judicial Retention,,,YES,39,86.67
Tooele,EC04:2,RICHARD E. MRAZIK Judicial Retention,,,NO,6,13.33
Tooele,EC04:2,ROBERT P. FAUST Judicial Retention,,,YES,32,71.11
Tooele,EC04:2,ROBERT P. FAUST Judicial Retention,,,NO,13,28.89
Tooele,EC04:2,VERNICE S. TREASE Judicial Retention,,,YES,36,81.82
Tooele,EC04:2,VERNICE S. TREASE Judicial Retention,,,NO,8,18.18
Tooele,EC04:2,Constitutional Amendment A,,,AGAINST,37,75.51
Tooele,EC04:2,Constitutional Amendment A,,,FOR,12,24.49
Tooele,LC01,Registered Voters,,,,424,
Tooele,LC01,Ballots Cast,,,,264,
Tooele,LC01,U.S. Senate,,REP,MIKE LEE,168,64.12
Tooele,LC01,U.S. Senate,,,EVAN MCMULLIN,86,32.82
Tooele,LC01,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,5,1.91
Tooele,LC01,U.S. Senate,,IAP,TOMMY WILLIAMS,2,0.76
Tooele,LC01,U.S. Senate,,,Write-In: Fictitious Entry,1,0.38
Tooele,LC01,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,LC01,U.S. Senate,,,Write-In Totals,1,0.38
Tooele,LC01,U.S. Senate,,,Not Assigned,0,0
Tooele,LC01,U.S. House,2,REP,CHRIS STEWART,189,72.14
Tooele,LC01,U.S. House,2,DEM,NICK MITCHELL,54,20.61
Tooele,LC01,U.S. House,2,CON,CASSIE EASLEY,10,3.82
Tooele,LC01,U.S. House,2,UUP,JAYMAC MCFARLAND,9,3.44
Tooele,LC01,State Treasurer,,REP,MARLO M. OAKS,191,77.96
Tooele,LC01,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,26,10.61
Tooele,LC01,State Treasurer,,IAP,WARREN T ROGERS,20,8.16
Tooele,LC01,State Treasurer,,UUP,THOMAS ALAN HORNE,8,3.27
Tooele,LC01,State Senate,11,REP,DANIEL W. THATCHER,208,100
Tooele,LC01,State House,28,REP,TIM JIMENEZ,205,100
Tooele,LC01,County Council 2,,REP,KENDALL THOMAS,207,100
Tooele,LC01,County Attorney,,REP,SCOTT A. BROADHEAD,204,100
Tooele,LC01,County Auditor,,REP,ALISON H. MCCOY,207,100
Tooele,LC01,County Clerk,,REP,TRACY SHAW,203,100
Tooele,LC01,County Sheriff,,REP,PAUL J. WIMMER,160,62.26
Tooele,LC01,County Sheriff,,,M. DEAN ADAMS,97,37.74
Tooele,LC01,PAIGE PETERSEN Judicial Retention,,,YES,165,73.99
Tooele,LC01,PAIGE PETERSEN Judicial Retention,,,NO,58,26.01
Tooele,LC01,ADAM T. MOW Judicial Retention,,,YES,154,69.37
Tooele,LC01,ADAM T. MOW Judicial Retention,,,NO,68,30.63
Tooele,LC01,AMBER M. METTLER Judicial Retention,,,YES,165,73.66
Tooele,LC01,AMBER M. METTLER Judicial Retention,,,NO,59,26.34
Tooele,LC01,BARRY G. LAWRENCE Judicial Retention,,,YES,165,73.66
Tooele,LC01,BARRY G. LAWRENCE Judicial Retention,,,NO,59,26.34
Tooele,LC01,CHELSEA KOCH Judicial Retention,,,YES,151,67.71
Tooele,LC01,CHELSEA KOCH Judicial Retention,,,NO,72,32.29
Tooele,LC01,DIANNA M. GIBSON Judicial Retention,,,YES,159,70.98
Tooele,LC01,DIANNA M. GIBSON Judicial Retention,,,NO,65,29.02
Tooele,LC01,JAMES T. BLANCH Judicial Retention,,,YES,162,72.97
Tooele,LC01,JAMES T. BLANCH Judicial Retention,,,NO,60,27.03
Tooele,LC01,LINDA JONES Judicial Retention,,,YES,137,61.44
Tooele,LC01,LINDA JONES Judicial Retention,,,NO,86,38.56
Tooele,LC01,MARK S. KOURIS Judicial Retention,,,YES,135,61.36
Tooele,LC01,MARK S. KOURIS Judicial Retention,,,NO,85,38.64
Tooele,LC01,PATRICK W. CORUM Judicial Retention,,,YES,146,66.97
Tooele,LC01,PATRICK W. CORUM Judicial Retention,,,NO,72,33.03
Tooele,LC01,PAUL BOYD PARKER Judicial Retention,,,YES,151,68.95
Tooele,LC01,PAUL BOYD PARKER Judicial Retention,,,NO,68,31.05
Tooele,LC01,RANDALL N. SKANCHY Judicial Retention,,,YES,148,67.58
Tooele,LC01,RANDALL N. SKANCHY Judicial Retention,,,NO,71,32.42
Tooele,LC01,RICHARD E. MRAZIK Judicial Retention,,,YES,153,69.86
Tooele,LC01,RICHARD E. MRAZIK Judicial Retention,,,NO,66,30.14
Tooele,LC01,ROBERT P. FAUST Judicial Retention,,,YES,116,52.73
Tooele,LC01,ROBERT P. FAUST Judicial Retention,,,NO,104,47.27
Tooele,LC01,VERNICE S. TREASE Judicial Retention,,,YES,155,70.78
Tooele,LC01,VERNICE S. TREASE Judicial Retention,,,NO,64,29.22
Tooele,LC01,Constitutional Amendment A,,,AGAINST,153,64.02
Tooele,LC01,Constitutional Amendment A,,,FOR,86,35.98
Tooele,SP01,Registered Voters,,,,796,
Tooele,SP01,Ballots Cast,,,,469,
Tooele,SP01,U.S. Senate,,REP,MIKE LEE,288,61.54
Tooele,SP01,U.S. Senate,,,EVAN MCMULLIN,157,33.55
Tooele,SP01,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,13,2.78
Tooele,SP01,U.S. Senate,,IAP,TOMMY WILLIAMS,10,2.14
Tooele,SP01,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,SP01,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,SP01,U.S. Senate,,,Write-In Totals,0,0
Tooele,SP01,U.S. Senate,,,Not Assigned,0,0
Tooele,SP01,U.S. House,2,REP,CHRIS STEWART,332,71.86
Tooele,SP01,U.S. House,2,DEM,NICK MITCHELL,92,19.91
Tooele,SP01,U.S. House,2,CON,CASSIE EASLEY,23,4.98
Tooele,SP01,U.S. House,2,UUP,JAYMAC MCFARLAND,15,3.25
Tooele,SP01,State Treasurer,,REP,MARLO M. OAKS,349,80.05
Tooele,SP01,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,39,8.94
Tooele,SP01,State Treasurer,,IAP,WARREN T ROGERS,29,6.65
Tooele,SP01,State Treasurer,,UUP,THOMAS ALAN HORNE,19,4.36
Tooele,SP01,State Senate,1,REP,SCOTT SANDALL,368,100
Tooele,SP01,State House,28,REP,TIM JIMENEZ,371,100
Tooele,SP01,County Attorney,,REP,SCOTT A. BROADHEAD,380,100
Tooele,SP01,County Auditor,,REP,ALISON H. MCCOY,376,100
Tooele,SP01,County Clerk,,REP,TRACY SHAW,384,100
Tooele,SP01,County Sheriff,,REP,PAUL J. WIMMER,315,69.69
Tooele,SP01,County Sheriff,,,M. DEAN ADAMS,137,30.31
Tooele,SP01,Local School Board 6,,,MELISSA RICH,343,100
Tooele,SP01,PAIGE PETERSEN Judicial Retention,,,YES,336,84.42
Tooele,SP01,PAIGE PETERSEN Judicial Retention,,,NO,62,15.58
Tooele,SP01,ADAM T. MOW Judicial Retention,,,YES,328,82.62
Tooele,SP01,ADAM T. MOW Judicial Retention,,,NO,69,17.38
Tooele,SP01,AMBER M. METTLER Judicial Retention,,,YES,329,82.46
Tooele,SP01,AMBER M. METTLER Judicial Retention,,,NO,70,17.54
Tooele,SP01,BARRY G. LAWRENCE Judicial Retention,,,YES,328,82.62
Tooele,SP01,BARRY G. LAWRENCE Judicial Retention,,,NO,69,17.38
Tooele,SP01,CHELSEA KOCH Judicial Retention,,,YES,300,75.76
Tooele,SP01,CHELSEA KOCH Judicial Retention,,,NO,96,24.24
Tooele,SP01,DIANNA M. GIBSON Judicial Retention,,,YES,307,77.92
Tooele,SP01,DIANNA M. GIBSON Judicial Retention,,,NO,87,22.08
Tooele,SP01,JAMES T. BLANCH Judicial Retention,,,YES,328,82.83
Tooele,SP01,JAMES T. BLANCH Judicial Retention,,,NO,68,17.17
Tooele,SP01,LINDA JONES Judicial Retention,,,YES,295,74.49
Tooele,SP01,LINDA JONES Judicial Retention,,,NO,101,25.51
Tooele,SP01,MARK S. KOURIS Judicial Retention,,,YES,297,76.35
Tooele,SP01,MARK S. KOURIS Judicial Retention,,,NO,92,23.65
Tooele,SP01,PATRICK W. CORUM Judicial Retention,,,YES,298,76.21
Tooele,SP01,PATRICK W. CORUM Judicial Retention,,,NO,93,23.79
Tooele,SP01,PAUL BOYD PARKER Judicial Retention,,,YES,314,80.1
Tooele,SP01,PAUL BOYD PARKER Judicial Retention,,,NO,78,19.9
Tooele,SP01,RANDALL N. SKANCHY Judicial Retention,,,YES,309,78.83
Tooele,SP01,RANDALL N. SKANCHY Judicial Retention,,,NO,83,21.17
Tooele,SP01,RICHARD E. MRAZIK Judicial Retention,,,YES,318,81.33
Tooele,SP01,RICHARD E. MRAZIK Judicial Retention,,,NO,73,18.67
Tooele,SP01,ROBERT P. FAUST Judicial Retention,,,YES,251,64.52
Tooele,SP01,ROBERT P. FAUST Judicial Retention,,,NO,138,35.48
Tooele,SP01,VERNICE S. TREASE Judicial Retention,,,YES,321,81.68
Tooele,SP01,VERNICE S. TREASE Judicial Retention,,,NO,72,18.32
Tooele,SP01,Constitutional Amendment A,,,AGAINST,288,68.09
Tooele,SP01,Constitutional Amendment A,,,FOR,135,31.91
Tooele,SP02,Registered Voters,,,,778,
Tooele,SP02,Ballots Cast,,,,477,
Tooele,SP02,U.S. Senate,,REP,MIKE LEE,249,53.09
Tooele,SP02,U.S. Senate,,,EVAN MCMULLIN,205,43.71
Tooele,SP02,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,10,2.13
Tooele,SP02,U.S. Senate,,IAP,TOMMY WILLIAMS,4,0.85
Tooele,SP02,U.S. Senate,,,Write-In: Fictitious Entry,1,0.21
Tooele,SP02,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,SP02,U.S. Senate,,,Write-In Totals,1,0.21
Tooele,SP02,U.S. Senate,,,Not Assigned,0,0
Tooele,SP02,U.S. House,2,REP,CHRIS STEWART,287,62.26
Tooele,SP02,U.S. House,2,DEM,NICK MITCHELL,143,31.02
Tooele,SP02,U.S. House,2,UUP,JAYMAC MCFARLAND,21,4.56
Tooele,SP02,U.S. House,2,CON,CASSIE EASLEY,10,2.17
Tooele,SP02,State Treasurer,,REP,MARLO M. OAKS,327,76.76
Tooele,SP02,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,39,9.15
Tooele,SP02,State Treasurer,,UUP,THOMAS ALAN HORNE,35,8.22
Tooele,SP02,State Treasurer,,IAP,WARREN T ROGERS,25,5.87
Tooele,SP02,State Senate,1,REP,SCOTT SANDALL,361,100
Tooele,SP02,State House,28,REP,TIM JIMENEZ,363,100
Tooele,SP02,County Attorney,,REP,SCOTT A. BROADHEAD,357,100
Tooele,SP02,County Auditor,,REP,ALISON H. MCCOY,366,100
Tooele,SP02,County Clerk,,REP,TRACY SHAW,365,100
Tooele,SP02,County Sheriff,,REP,PAUL J. WIMMER,300,66.82
Tooele,SP02,County Sheriff,,,M. DEAN ADAMS,149,33.18
Tooele,SP02,Local School Board 6,,,MELISSA RICH,358,100
Tooele,SP02,PAIGE PETERSEN Judicial Retention,,,YES,338,83.25
Tooele,SP02,PAIGE PETERSEN Judicial Retention,,,NO,68,16.75
Tooele,SP02,ADAM T. MOW Judicial Retention,,,YES,330,81.08
Tooele,SP02,ADAM T. MOW Judicial Retention,,,NO,77,18.92
Tooele,SP02,AMBER M. METTLER Judicial Retention,,,YES,340,83.13
Tooele,SP02,AMBER M. METTLER Judicial Retention,,,NO,69,16.87
Tooele,SP02,BARRY G. LAWRENCE Judicial Retention,,,YES,329,81.23
Tooele,SP02,BARRY G. LAWRENCE Judicial Retention,,,NO,76,18.77
Tooele,SP02,CHELSEA KOCH Judicial Retention,,,YES,317,78.08
Tooele,SP02,CHELSEA KOCH Judicial Retention,,,NO,89,21.92
Tooele,SP02,DIANNA M. GIBSON Judicial Retention,,,YES,309,75.74
Tooele,SP02,DIANNA M. GIBSON Judicial Retention,,,NO,99,24.26
Tooele,SP02,JAMES T. BLANCH Judicial Retention,,,YES,324,81
Tooele,SP02,JAMES T. BLANCH Judicial Retention,,,NO,76,19
Tooele,SP02,LINDA JONES Judicial Retention,,,YES,291,71.67
Tooele,SP02,LINDA JONES Judicial Retention,,,NO,115,28.33
Tooele,SP02,MARK S. KOURIS Judicial Retention,,,YES,286,71.5
Tooele,SP02,MARK S. KOURIS Judicial Retention,,,NO,114,28.5
Tooele,SP02,PATRICK W. CORUM Judicial Retention,,,YES,310,77.89
Tooele,SP02,PATRICK W. CORUM Judicial Retention,,,NO,88,22.11
Tooele,SP02,PAUL BOYD PARKER Judicial Retention,,,YES,323,81.16
Tooele,SP02,PAUL BOYD PARKER Judicial Retention,,,NO,75,18.84
Tooele,SP02,RANDALL N. SKANCHY Judicial Retention,,,YES,300,75.76
Tooele,SP02,RANDALL N. SKANCHY Judicial Retention,,,NO,96,24.24
Tooele,SP02,RICHARD E. MRAZIK Judicial Retention,,,YES,324,81.61
Tooele,SP02,RICHARD E. MRAZIK Judicial Retention,,,NO,73,18.39
Tooele,SP02,ROBERT P. FAUST Judicial Retention,,,YES,253,63.25
Tooele,SP02,ROBERT P. FAUST Judicial Retention,,,NO,147,36.75
Tooele,SP02,VERNICE S. TREASE Judicial Retention,,,YES,327,82.16
Tooele,SP02,VERNICE S. TREASE Judicial Retention,,,NO,71,17.84
Tooele,SP02,Constitutional Amendment A,,,AGAINST,267,63.57
Tooele,SP02,Constitutional Amendment A,,,FOR,153,36.43
Tooele,SP09:1,Registered Voters,,,,514,
Tooele,SP09:1,Ballots Cast,,,,285,
Tooele,SP09:1,U.S. Senate,,REP,MIKE LEE,161,56.69
Tooele,SP09:1,U.S. Senate,,,EVAN MCMULLIN,107,37.68
Tooele,SP09:1,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,12,4.23
Tooele,SP09:1,U.S. Senate,,IAP,TOMMY WILLIAMS,4,1.41
Tooele,SP09:1,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,SP09:1,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,SP09:1,U.S. Senate,,,Write-In Totals,0,0
Tooele,SP09:1,U.S. Senate,,,Not Assigned,0,0
Tooele,SP09:1,U.S. House,2,REP,CHRIS STEWART,174,61.27
Tooele,SP09:1,U.S. House,2,DEM,NICK MITCHELL,74,26.06
Tooele,SP09:1,U.S. House,2,UUP,JAYMAC MCFARLAND,23,8.1
Tooele,SP09:1,U.S. House,2,CON,CASSIE EASLEY,13,4.58
Tooele,SP09:1,State Treasurer,,REP,MARLO M. OAKS,186,71.81
Tooele,SP09:1,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,32,12.36
Tooele,SP09:1,State Treasurer,,UUP,THOMAS ALAN HORNE,22,8.49
Tooele,SP09:1,State Treasurer,,IAP,WARREN T ROGERS,19,7.34
Tooele,SP09:1,State Senate,1,REP,SCOTT SANDALL,218,100
Tooele,SP09:1,State House,28,REP,TIM JIMENEZ,222,100
Tooele,SP09:1,County Attorney,,REP,SCOTT A. BROADHEAD,217,100
