county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional,mail
Davis,CF20:I-N-,Registered Voters,,,,482,,,,
Davis,CF21:I-N-,Registered Voters,,,,587,,,,
Davis,CF22:I-N-,Registered Voters,,,,507,,,,
Davis,CF23:I-N-,Registered Voters,,,,692,,,,
Davis,CF24:I-N-,Registered Voters,,,,706,,,,
Davis,CL01:I-N-,Registered Voters,,,,599,,,,
Davis,CL02:I-N-,Registered Voters,,,,365,,,,
Davis,CL03:I-N-,Registered Voters,,,,334,,,,
Davis,CL04:I-N-,Registered Voters,,,,574,,,,
Davis,CL05:I-N-,Registered Voters,,,,469,,,,
Davis,CL06:I-N-,Registered Voters,,,,344,,,,
Davis,CL06:IHN-,Registered Voters,,,,0,,,,
Davis,CL07:I-N-,Registered Voters,,,,701,,,,
Davis,CL08:I-N-,Registered Voters,,,,564,,,,
Davis,CL09:I-N-,Registered Voters,,,,330,,,,
Davis,CL10:I-N-,Registered Voters,,,,588,,,,
Davis,CL11:I-N-,Registered Voters,,,,716,,,,
Davis,CL12:I-N-,Registered Voters,,,,355,,,,
Davis,CL13:I-N-,Registered Voters,,,,360,,,,
Davis,CL14:I-N-,Registered Voters,,,,481,,,,
Davis,CL15:I-N-,Registered Voters,,,,635,,,,
Davis,CL16:I-N-,Registered Voters,,,,448,,,,
Davis,CL17:I-N-,Registered Voters,,,,722,,,,
Davis,CL18:I-N-,Registered Voters,,,,777,,,,
Davis,CL19:I-N-,Registered Voters,,,,586,,,,
Davis,CL20:I-N-,Registered Voters,,,,622,,,,
Davis,CL21:I-N-,Registered Voters,,,,794,,,,
Davis,CL22:I-N-,Registered Voters,,,,343,,,,
Davis,FA01,Registered Voters,,,,607,,,,
Davis,FA02:IBC-,Registered Voters,,,,680,,,,
Davis,FA03:I-C-,Registered Voters,,,,27,,,,
Davis,FA03:IBC-,Registered Voters,,,,580,,,,
Davis,FA04:IBC-,Registered Voters,,,,665,,,,
Davis,FA05:IBC-,Registered Voters,,,,550,,,,
Davis,FA06:IBC-,Registered Voters,,,,734,,,,
Davis,FA07:I-C-,Registered Voters,,,,680,,,,
Davis,FA08:IBC-,Registered Voters,,,,750,,,,
Davis,FA09:IBC-,Registered Voters,,,,461,,,,
Davis,FA10:I-C-,Registered Voters,,,,507,,,,
Davis,FA11:I-C-,Registered Voters,,,,759,,,,
Davis,FA12:I-C-,Registered Voters,,,,656,,,,
Davis,FA12:U-C-,Registered Voters,,,,2,,,,
Davis,FA13:I-C-,Registered Voters,,,,585,,,,
Davis,FA14:I-C-,Registered Voters,,,,654,,,,
Davis,FA15:I-C-,Registered Voters,,,,439,,,,
Davis,FA16:IBC-,Registered Voters,,,,611,,,,
Davis,FA17:IBC-,Registered Voters,,,,679,,,,
Davis,FA18:IBC-,Registered Voters,,,,634,,,,
Davis,FA19:IBC-,Registered Voters,,,,466,,,,
Davis,FA20:IBC-,Registered Voters,,,,508,,,,
Davis,FA21:IBC-,Registered Voters,,,,596,,,,
Davis,FA22:IBC-,Registered Voters,,,,436,,,,
Davis,FA23:IBC-,Registered Voters,,,,621,,,,
Davis,FA24:U-C-,Registered Voters,,,,21,,,,
Davis,FA24:UBC-,Registered Voters,,,,0,,,,
Davis,FA25:U-C-,Registered Voters,,,,0,,,,
Davis,FA25:UBCA,Registered Voters,,,,0,,,,
Davis,FA25:UBCB,Registered Voters,,,,0,,,,
Davis,FA25:UBCC,Registered Voters,,,,0,,,,
Davis,FA25:UBCD,Registered Voters,,,,0,,,,
Davis,FH01:I-C-,Registered Voters,,,,507,,,,
Davis,FH01,Registered Voters,,,,65,,,,
Davis,FH02:I-C-,Registered Voters,,,,554,,,,
Davis,FH03:I-C-,Registered Voters,,,,467,,,,
Davis,FH04:I-C-,Registered Voters,,,,437,,,,
Davis,FH05:I-C-,Registered Voters,,,,385,,,,
Davis,FH06:I-C-,Registered Voters,,,,593,,,,
Davis,FH07:I-C-,Registered Voters,,,,509,,,,
Davis,FH08:IBC-,Registered Voters,,,,405,,,,
Davis,HA01:U-N-,Registered Voters,,,,73,,,,
Davis,KA01:I-C-,Registered Voters,,,,675,,,,
Davis,KA01:I-N-,Registered Voters,,,,48,,,,
Davis,KA02:I-C-,Registered Voters,,,,585,,,,
Davis,KA02:I-NA,Registered Voters,,,,22,,,,
Davis,KA02:I-NB,Registered Voters,,,,0,,,,
Davis,KA03:I-N-,Registered Voters,,,,781,,,,
Davis,KA04:I-N-,Registered Voters,,,,94,,,,
Davis,KA05:I-N-,Registered Voters,,,,15,,,,
Davis,KA05:U-NT,Registered Voters,,,,342,,,,
Davis,KA06:I-N-,Registered Voters,,,,647,,,,
Davis,KA06:U-NA,Registered Voters,,,,8,,,,
Davis,KA06:U-NB,Registered Voters,,,,0,,,,
Davis,KA07:I---,Registered Voters,,,,0,,,,
Davis,KA07:I-N-,Registered Voters,,,,531,,,,
Davis,KA07:U-N-,Registered Voters,,,,0,,,,
Davis,KA08:I-N-,Registered Voters,,,,62,,,,
Davis,KA08:U-N-,Registered Voters,,,,18,,,,
Davis,KA09:I-C-,Registered Voters,,,,640,,,,
Davis,KA10:I-C-,Registered Voters,,,,749,,,,
Davis,KA11:I-C-,Registered Voters,,,,590,,,,
Davis,KA12:I-C-,Registered Voters,,,,492,,,,
Davis,KA12:I-N-,Registered Voters,,,,1,,,,
Davis,KA13:I-C-,Registered Voters,,,,751,,,,
Davis,KA14:I-C-,Registered Voters,,,,548,,,,
Davis,KA15:I-C-,Registered Voters,,,,650,,,,
Davis,KA16:I-C-,Registered Voters,,,,737,,,,
Davis,KA17:I-C-,Registered Voters,,,,463,,,,
Davis,KA18:I-C-,Registered Voters,,,,605,,,,
Davis,KA19:I-C-,Registered Voters,,,,585,,,,
Davis,KA20:I-C-,Registered Voters,,,,626,,,,
Davis,KA21:I-C-,Registered Voters,,,,550,,,,
Davis,KA22:I-C-,Registered Voters,,,,572,,,,
Davis,KA23:I-C-,Registered Voters,,,,697,,,,
Davis,KA24:I-C-,Registered Voters,,,,660,,,,
Davis,KA25:I-C-,Registered Voters,,,,621,,,,
Davis,KA26:I-C-,Registered Voters,,,,552,,,,
Davis,KA27:I-C-,Registered Voters,,,,651,,,,
Davis,KA28:I-C-,Registered Voters,,,,507,,,,
Davis,KA29:I-C-,Registered Voters,,,,482,,,,
Davis,KA29:IBC-,Registered Voters,,,,0,,,,
Davis,KA30:I-C-,Registered Voters,,,,324,,,,
Davis,KA30:IBCA,Registered Voters,,,,0,,,,
Davis,KA30:IBCB,Registered Voters,,,,6,,,,
Davis,KA31:I-C-,Registered Voters,,,,52,,,,
Davis,KA31:IBC-,Registered Voters,,,,556,,,,
Davis,KA32:IBC-,Registered Voters,,,,619,,,,
Davis,KA33:IBC-,Registered Voters,,,,566,,,,
Davis,KA34:IBC-,Registered Voters,,,,501,,,,
Davis,KA35:IBC-,Registered Voters,,,,425,,,,
Davis,KA36:I-C-,Registered Voters,,,,0,,,,
Davis,KA36:IBC-,Registered Voters,,,,449,,,,
Davis,LA01:I-N-,Registered Voters,,,,618,,,,
Davis,LA02,Registered Voters,,,,405,,,,
Davis,LA03:I-N-,Registered Voters,,,,492,,,,
Davis,LA04:I-N-,Registered Voters,,,,704,,,,
Davis,LA05:I-N-,Registered Voters,,,,468,,,,
Davis,LA06:I-NA,Registered Voters,,,,71,,,,
Davis,LA06:I-NB,Registered Voters,,,,490,,,,
Davis,LA06:U,Registered Voters,,,,13,,,,
Davis,LA07:I-N-,Registered Voters,,,,383,,,,
Davis,LA08:I-N-,Registered Voters,,,,362,,,,
Davis,LA09:I-N-,Registered Voters,,,,425,,,,
Davis,LA10:I-N-,Registered Voters,,,,494,,,,
Davis,LA10:U-N-,Registered Voters,,,,30,,,,
Davis,LA11:I-N-,Registered Voters,,,,422,,,,
Davis,LA12:I-N-,Registered Voters,,,,612,,,,
Davis,LA13:I-N-,Registered Voters,,,,495,,,,
Davis,LA14:I-N-,Registered Voters,,,,547,,,,
Davis,LA15:I-N-,Registered Voters,,,,373,,,,
Davis,LA16:I-N-,Registered Voters,,,,563,,,,
Davis,LA17:I-N-,Registered Voters,,,,455,,,,
Davis,LA18:I-N-,Registered Voters,,,,251,,,,
Davis,LA19:I-N-,Registered Voters,,,,491,,,,
Davis,LA20:I-N-,Registered Voters,,,,708,,,,
Davis,LA21:I-N-,Registered Voters,,,,679,,,,
Davis,LA22:I-N-,Registered Voters,,,,697,,,,
Davis,LA23:I-N-,Registered Voters,,,,506,,,,
Davis,LA24:I-N-,Registered Voters,,,,415,,,,
Davis,LA25:I-N-,Registered Voters,,,,594,,,,
Davis,LA26:I-N-,Registered Voters,,,,241,,,,
Davis,LA27:I-N-,Registered Voters,,,,552,,,,
Davis,LA28:I-N-,Registered Voters,,,,387,,,,
Davis,LA29:I-N-,Registered Voters,,,,523,,,,
Davis,LA30:I-N-,Registered Voters,,,,398,,,,
Davis,LA31:I-N-,Registered Voters,,,,567,,,,
Davis,LA32:I-N-,Registered Voters,,,,599,,,,
Davis,LA33:I-N-,Registered Voters,,,,629,,,,
Davis,LA34:I-N-,Registered Voters,,,,631,,,,
Davis,LA35:I-N-,Registered Voters,,,,404,,,,
Davis,LA36:I-N-,Registered Voters,,,,483,,,,
Davis,LA37:I-N-,Registered Voters,,,,645,,,,
Davis,LA38:I-N-,Registered Voters,,,,734,,,,
Davis,LA39:I-N-,Registered Voters,,,,647,,,,
Davis,LA40:I-N-,Registered Voters,,,,671,,,,
Davis,LA41:I-N-,Registered Voters,,,,685,,,,
Davis,LA42:I-N-,Registered Voters,,,,620,,,,
Davis,LA43:I-N-,Registered Voters,,,,244,,,,
Davis,LA44:I-N-,Registered Voters,,,,496,,,,
Davis,LA45:I-N-,Registered Voters,,,,744,,,,
Davis,LA46:I-N-,Registered Voters,,,,600,,,,
Davis,LA47:I-N-,Registered Voters,,,,562,,,,
Davis,LA48:I-N-,Registered Voters,,,,644,,,,
Davis,LA49:I-N-,Registered Voters,,,,548,,,,
Davis,LA50:I-N-,Registered Voters,,,,482,,,,
Davis,LA51:I-N-,Registered Voters,,,,583,,,,
Davis,LA52:I-N-,Registered Voters,,,,372,,,,
Davis,LA53:I-N-,Registered Voters,,,,725,,,,
Davis,LA54:I-N-,Registered Voters,,,,734,,,,
Davis,LA55:I-N-,Registered Voters,,,,721,,,,
Davis,LA56:I-N-,Registered Voters,,,,627,,,,
Davis,LA57:I-N-,Registered Voters,,,,687,,,,
Davis,LA58:I-N-,Registered Voters,,,,414,,,,
Davis,LA59:I-N-,Registered Voters,,,,590,,,,
Davis,LA59:U-N-,Registered Voters,,,,7,,,,
Davis,LA60:I-N-,Registered Voters,,,,543,,,,
Davis,LA60:U-NA,Registered Voters,,,,0,,,,
Davis,LA60:U-NB,Registered Voters,,,,0,,,,
Davis,LA61:I-N-,Registered Voters,,,,511,,,,
Davis,LA61:U-N-,Registered Voters,,,,18,,,,
Davis,LA62:I-N-,Registered Voters,,,,525,,,,
Davis,LA63:I-N-,Registered Voters,,,,712,,,,
Davis,LA64:I-N-,Registered Voters,,,,678,,,,
Davis,LA65:I-N-,Registered Voters,,,,363,,,,
Davis,LA66:I-N-,Registered Voters,,,,708,,,,
Davis,LA67:I-N-,Registered Voters,,,,767,,,,
Davis,LA68:I-N-,Registered Voters,,,,503,,,,
Davis,LA68:U-N-,Registered Voters,,,,11,,,,
Davis,LA69:I-N-,Registered Voters,,,,603,,,,
Davis,LA70:I-N-,Registered Voters,,,,320,,,,
Davis,LA70:U-N-,Registered Voters,,,,0,,,,
Davis,LA70:U-NT,Registered Voters,,,,136,,,,
Davis,LA71:I-N-,Registered Voters,,,,463,,,,
Davis,LA71:U-NA,Registered Voters,,,,0,,,,
Davis,LA71:U-NC,Registered Voters,,,,0,,,,
Davis,LA72:I-C-,Registered Voters,,,,37,,,,
Davis,LA72:I-N-,Registered Voters,,,,425,,,,
Davis,LA72:U-N-,Registered Voters,,,,14,,,,
Davis,LA73:I-N-,Registered Voters,,,,548,,,,
Davis,LA74:I-C-,Registered Voters,,,,1,,,,
Davis,LA74:I-N-,Registered Voters,,,,594,,,,
Davis,LA75:I-N-,Registered Voters,,,,609,,,,
Davis,LA75:U-N-,Registered Voters,,,,5,,,,
Davis,LA76,Registered Voters,,,,690,,,,
Davis,LA77:I-N-,Registered Voters,,,,0,,,,
Davis,NS01:I-S-,Registered Voters,,,,613,,,,
Davis,NS02:I-S-,Registered Voters,,,,576,,,,
Davis,NS03:I-S-,Registered Voters,,,,518,,,,
Davis,NS04:I-S-,Registered Voters,,,,654,,,,
Davis,NS05:I-S-,Registered Voters,,,,470,,,,
Davis,NS06:I-S-,Registered Voters,,,,488,,,,
Davis,NS07:I-S-,Registered Voters,,,,595,,,,
Davis,NS07:IDSA,Registered Voters,,,,100,,,,
Davis,NS07,Registered Voters,,,,13,,,,
Davis,NS08:I-S-,Registered Voters,,,,608,,,,
Davis,NS09:I-S-,Registered Voters,,,,305,,,,
Davis,NS10:UDS-,Registered Voters,,,,515,,,,
Davis,NS11:IDSB,Registered Voters,,,,452,,,,
Davis,NS12:IDS-,Registered Voters,,,,446,,,,
Davis,NS13:I-S-,Registered Voters,,,,506,,,,
Davis,NS14:I-S-,Registered Voters,,,,715,,,,
Davis,NS15:IDS-,Registered Voters,,,,477,,,,
Davis,NS16:I-S-,Registered Voters,,,,584,,,,
Davis,NS17:I-S-,Registered Voters,,,,577,,,,
Davis,NS18:I-S-,Registered Voters,,,,542,,,,
Davis,NS19:I-S-,Registered Voters,,,,655,,,,
Davis,NS20:I-S-,Registered Voters,,,,691,,,,
Davis,SU01:I-N-,Registered Voters,,,,359,,,,
Davis,SU02:I-N-,Registered Voters,,,,688,,,,
Davis,SU03:I-N-,Registered Voters,,,,700,,,,
Davis,SU04:I-N-,Registered Voters,,,,590,,,,
Davis,SW01:I---,Registered Voters,,,,429,,,,
Davis,SW02:I---,Registered Voters,,,,681,,,,
Davis,SW03:IW--,Registered Voters,,,,427,,,,
Davis,SW04:IW--,Registered Voters,,,,730,,,,
Davis,SW05:IW--,Registered Voters,,,,559,,,,
Davis,SW06:IW--,Registered Voters,,,,878,,,,
Davis,SW07:I---,Registered Voters,,,,430,,,,
Davis,SW08:I---,Registered Voters,,,,499,,,,
Davis,SW09:IW--,Registered Voters,,,,0,,,,
Davis,SW10:I---,Registered Voters,,,,54,,,,
Davis,SW11:U---,Registered Voters,,,,11,,,,
Davis,SY01:I-N-,Registered Voters,,,,530,,,,
Davis,SY02:I-N-,Registered Voters,,,,358,,,,
Davis,SY03:I-N-,Registered Voters,,,,466,,,,
Davis,SY04:I-N-,Registered Voters,,,,447,,,,
Davis,SY05:I-N-,Registered Voters,,,,619,,,,
Davis,SY06:I-N-,Registered Voters,,,,805,,,,
Davis,SY07:I-N-,Registered Voters,,,,704,,,,
Davis,SY08:I-N-,Registered Voters,,,,128,,,,
Davis,SY08:U-N-,Registered Voters,,,,0,,,,
Davis,SY09:I-N-,Registered Voters,,,,439,,,,
Davis,SY10:I-N-,Registered Voters,,,,446,,,,
Davis,SY11:I-N-,Registered Voters,,,,528,,,,
Davis,SY12:I-N-,Registered Voters,,,,604,,,,
Davis,SY13:I-N-,Registered Voters,,,,676,,,,
Davis,SY14:I-N-,Registered Voters,,,,650,,,,
Davis,SY15,Registered Voters,,,,76,,,,
Davis,SY16:I-N-,Registered Voters,,,,488,,,,
Davis,SY17:I-N-,Registered Voters,,,,373,,,,
Davis,SY18:I-N-,Registered Voters,,,,557,,,,
Davis,SY19:I-N-,Registered Voters,,,,531,,,,
Davis,SY20:I-N-,Registered Voters,,,,694,,,,
Davis,SY21:I-N-,Registered Voters,,,,712,,,,
Davis,SY22:I-N-,Registered Voters,,,,335,,,,
Davis,SY23:I-N-,Registered Voters,,,,208,,,,
Davis,SY24:I-N-,Registered Voters,,,,707,,,,
Davis,SY25:I-N-,Registered Voters,,,,567,,,,
Davis,SY26:I-N-,Registered Voters,,,,462,,,,
Davis,SY27:I-N-,Registered Voters,,,,467,,,,
Davis,SY28:I-N-,Registered Voters,,,,617,,,,
Davis,SY29:U-N-,Registered Voters,,,,0,,,,
Davis,SY30:I-N-,Registered Voters,,,,523,,,,
Davis,SY31:I-N-,Registered Voters,,,,291,,,,
Davis,SY32:I-N-,Registered Voters,,,,458,,,,
Davis,SY33:I-N-,Registered Voters,,,,518,,,,
Davis,SY34:I-N-,Registered Voters,,,,646,,,,
Davis,SY35:I---,Registered Voters,,,,0,,,,
Davis,SY35:I-N-,Registered Voters,,,,716,,,,
Davis,SY36:I-N-,Registered Voters,,,,531,,,,
Davis,SY37:I---,Registered Voters,,,,0,,,,
Davis,SY37:I-N-,Registered Voters,,,,76,,,,
Davis,SY37:U-N-,Registered Voters,,,,0,,,,
Davis,SY38:U-N-,Registered Voters,,,,0,,,,
Davis,WB01:I-S-,Registered Voters,,,,660,,,,
Davis,WB02:I-S-,Registered Voters,,,,657,,,,
Davis,WB03:I-S-,Registered Voters,,,,600,,,,
Davis,WB04:I-S-,Registered Voters,,,,750,,,,
Davis,WB05:I-S-,Registered Voters,,,,384,,,,
Davis,WB05:U---,Registered Voters,,,,3,,,,
Davis,WB05:U-S-,Registered Voters,,,,18,,,,
Davis,WB06:I-S-,Registered Voters,,,,527,,,,
Davis,WP01,Registered Voters,,,,198,,,,
Davis,WP02:IHN-,Registered Voters,,,,283,,,,
Davis,WP03:IHN-,Registered Voters,,,,285,,,,
Davis,WP04:I-N-,Registered Voters,,,,99,,,,
Davis,WP05:I-N-,Registered Voters,,,,517,,,,
Davis,WP06:I-N-,Registered Voters,,,,442,,,,
Davis,WP07,Registered Voters,,,,764,,,,
Davis,WP08:IHN-,Registered Voters,,,,363,,,,
Davis,WP09:I-N-,Registered Voters,,,,491,,,,
Davis,WP10:I-N-,Registered Voters,,,,503,,,,
Davis,WP11:I-N-,Registered Voters,,,,594,,,,
Davis,WP12:I-N-,Registered Voters,,,,536,,,,
Davis,WP13:I-N-,Registered Voters,,,,501,,,,
Davis,WP14:I-N-,Registered Voters,,,,425,,,,
Davis,WP15:I-N-,Registered Voters,,,,659,,,,
Davis,WX01:I-S-,Registered Voters,,,,537,,,,
Davis,WX02:I-S-,Registered Voters,,,,589,,,,
Davis,WX03:I-S-,Registered Voters,,,,586,,,,
Davis,WX04:I-S-,Registered Voters,,,,560,,,,
Davis,WX04:U-S-,Registered Voters,,,,9,,,,
Davis,WX05:I-S-,Registered Voters,,,,531,,,,
Davis,WX06:I-S-,Registered Voters,,,,477,,,,
Davis,WX07:I-S-,Registered Voters,,,,523,,,,
Davis,WX08:I-S-,Registered Voters,,,,519,,,,
Davis,WX09:I-S-,Registered Voters,,,,604,,,,
Davis,WX10:I-S-,Registered Voters,,,,535,,,,
Davis,WX11:I-S-,Registered Voters,,,,314,,,,
Davis,WX11:IDS-,Registered Voters,,,,1,,,,
Davis,BO01:I-S-,Ballots Cast,,,,292,0,13,2,277
Davis,BO02:I-S-,Ballots Cast,,,,348,1,15,1,331
Davis,BO03:I-S-,Ballots Cast,,,,337,0,20,1,316
Davis,BO04:I-S-,Ballots Cast,,,,406,0,27,2,377
Davis,BO05:I-S-,Ballots Cast,,,,404,0,20,2,382
Davis,BO05:U-S-,Ballots Cast,,,,0,0,0,0,0
Davis,BO06:I-S-,Ballots Cast,,,,388,2,15,4,367
Davis,BO07:I-S-,Ballots Cast,,,,423,3,21,2,397
Davis,BO08:I-S-,Ballots Cast,,,,534,0,17,3,514
Davis,BO09:I-S,Ballots Cast,,,,400,0,18,6,376
Davis,BO10:I-S-,Ballots Cast,,,,399,1,13,2,383
Davis,BO11:I-S-,Ballots Cast,,,,336,0,15,5,316
Davis,BO12:I-S-,Ballots Cast,,,,372,0,11,3,358
Davis,BO13:I-S-,Ballots Cast,,,,465,3,23,5,434
Davis,BO14:I-S-,Ballots Cast,,,,483,0,19,1,463
Davis,BO15:I-S-,Ballots Cast,,,,452,2,11,2,437
Davis,BO16:I-S-,Ballots Cast,,,,401,2,15,3,381
Davis,BO17:I-S-,Ballots Cast,,,,380,0,22,4,354
Davis,BO18:I-S-,Ballots Cast,,,,375,0,14,4,357
Davis,BO19:I-S-,Ballots Cast,,,,409,1,33,3,372
Davis,BO20:I-S-,Ballots Cast,,,,407,1,18,4,384
Davis,BO21:I-S-,Ballots Cast,,,,508,2,19,2,485
Davis,BO22:I-S-,Ballots Cast,,,,523,1,22,3,497
Davis,BO23:I-S-,Ballots Cast,,,,266,0,17,4,245
Davis,BO24:I-S-,Ballots Cast,,,,429,1,15,4,409
Davis,BO25:I-S-,Ballots Cast,,,,464,0,18,1,445
Davis,BO26:I-S-,Ballots Cast,,,,433,1,11,2,419
Davis,BO27:I-S-,Ballots Cast,,,,381,1,11,0,369
Davis,BO28:I-S-,Ballots Cast,,,,434,0,19,3,412
Davis,BO29:I-S,Ballots Cast,,,,438,1,14,3,420
Davis,BO30:I-S-,Ballots Cast,,,,387,0,24,4,359
Davis,BO31:I-S-,Ballots Cast,,,,455,0,6,0,449
Davis,BO32:I-S-,Ballots Cast,,,,432,0,10,2,420
Davis,BO33:IDS-,Ballots Cast,,,,387,0,18,4,365
Davis,BO34:IDS-,Ballots Cast,,,,408,1,21,3,383
Davis,BO35:IDS-,Ballots Cast,,,,516,0,18,3,495
Davis,BO36:I-S-,Ballots Cast,,,,419,0,10,2,407
Davis,BO37:I-S-,Ballots Cast,,,,485,1,28,2,454
Davis,BO38:I-S-,Ballots Cast,,,,526,0,30,4,492
Davis,BO39:I-S-,Ballots Cast,,,,499,2,32,2,463
Davis,BO40:I-S,Ballots Cast,,,,0,0,0,0,0
Davis,BO40:IDS-,Ballots Cast,,,,485,1,21,3,460
Davis,BO41:IDS-,Ballots Cast,,,,423,0,16,0,407
Davis,BO42:I-S-,Ballots Cast,,,,395,1,13,4,377
Davis,BO43,Ballots Cast,,,,429,0,13,0,416
Davis,BO44:I-S-,Ballots Cast,,,,491,1,14,2,474
Davis,CE01:I-S-,Ballots Cast,,,,504,0,27,1,476
Davis,CE02:I-S-,Ballots Cast,,,,497,0,21,2,474
Davis,CE03:I-S-,Ballots Cast,,,,540,0,26,2,512
Davis,CE04:I-S-,Ballots Cast,,,,569,0,24,2,543
Davis,CE05:I-S-,Ballots Cast,,,,427,0,31,1,395
Davis,CE06:I-S-,Ballots Cast,,,,429,0,29,0,400
Davis,CE07:I-S-,Ballots Cast,,,,497,0,22,2,473
Davis,CE08:I-S-,Ballots Cast,,,,409,0,17,7,385
Davis,CE09:I-S-,Ballots Cast,,,,445,0,17,6,422
Davis,CE10:I-S-,Ballots Cast,,,,439,1,20,2,416
Davis,CE11:I-S-,Ballots Cast,,,,435,0,24,8,403
Davis,CE12:I-S-,Ballots Cast,,,,452,1,16,2,433
