county,precinct,office,district,party,candidate,early_voting,mail,vote_centers,votes
Salt Lake,HOL011,Registered Voters,,,,,,,391
Salt Lake,HOL012,Registered Voters,,,,,,,215
Salt Lake,HOL013,Registered Voters,,,,,,,235
Salt Lake,HOL015,Registered Voters,,,,,,,181
Salt Lake,HOL016,Registered Voters,,,,,,,189
Salt Lake,HOL017,Registered Voters,,,,,,,120
Salt Lake,HOL018,Registered Voters,,,,,,,269
Salt Lake,HOL019,Registered Voters,,,,,,,430
Salt Lake,HOL021,Registered Voters,,,,,,,343
Salt Lake,HOL022,Registered Voters,,,,,,,145
Salt Lake,HOL023,Registered Voters,,,,,,,320
Salt Lake,HOL024,Registered Voters,,,,,,,357
Salt Lake,HOL025,Registered Voters,,,,,,,151
Salt Lake,HOL026,Registered Voters,,,,,,,258
Salt Lake,HOL027,Registered Voters,,,,,,,31
Salt Lake,HOL028,Registered Voters,,,,,,,397
Salt Lake,HOL030,Registered Voters,,,,,,,132
Salt Lake,HOL031,Registered Voters,,,,,,,139
Salt Lake,HOL032,Registered Voters,,,,,,,225
Salt Lake,HOL033,Registered Voters,,,,,,,244
Salt Lake,HOL034,Registered Voters,,,,,,,218
Salt Lake,HOL035,Registered Voters,,,,,,,182
Salt Lake,KRN001,Registered Voters,,,,,,,225
Salt Lake,KRN002,Registered Voters,,,,,,,58
Salt Lake,KRN003,Registered Voters,,,,,,,85
Salt Lake,KRN004,Registered Voters,,,,,,,264
Salt Lake,KRN005,Registered Voters,,,,,,,228
Salt Lake,KRN006,Registered Voters,,,,,,,208
Salt Lake,KRN007,Registered Voters,,,,,,,45
Salt Lake,KRN008,Registered Voters,,,,,,,109
Salt Lake,KRN009,Registered Voters,,,,,,,35
Salt Lake,KRN010,Registered Voters,,,,,,,168
Salt Lake,KRN011,Registered Voters,,,,,,,274
Salt Lake,KRN012,Registered Voters,,,,,,,91
Salt Lake,KRN013,Registered Voters,,,,,,,269
Salt Lake,KRN014,Registered Voters,,,,,,,16
Salt Lake,KRN015,Registered Voters,,,,,,,218
Salt Lake,KRN016,Registered Voters,,,,,,,186
Salt Lake,KRN017,Registered Voters,,,,,,,203
Salt Lake,KRN018,Registered Voters,,,,,,,197
Salt Lake,KRN019,Registered Voters,,,,,,,236
Salt Lake,KRN020,Registered Voters,,,,,,,79
Salt Lake,KRN021,Registered Voters,,,,,,,68
Salt Lake,LTC001,Registered Voters,,,,,,,6
Salt Lake,LTC003,Registered Voters,,,,,,,14
Salt Lake,MAG001,Registered Voters,,,,,,,206
Salt Lake,MAG003,Registered Voters,,,,,,,168
Salt Lake,MAG004,Registered Voters,,,,,,,154
Salt Lake,MAG005,Registered Voters,,,,,,,287
Salt Lake,MAG006,Registered Voters,,,,,,,171
Salt Lake,MAG007,Registered Voters,,,,,,,205
Salt Lake,MAG009,Registered Voters,,,,,,,244
Salt Lake,MAG010,Registered Voters,,,,,,,259
Salt Lake,MAG011,Registered Voters,,,,,,,262
Salt Lake,MAG012,Registered Voters,,,,,,,183
Salt Lake,MAG013,Registered Voters,,,,,,,165
Salt Lake,MAG014,Registered Voters,,,,,,,203
Salt Lake,MAG015,Registered Voters,,,,,,,189
Salt Lake,MAG016,Registered Voters,,,,,,,265
Salt Lake,MAG901,Registered Voters,,,,,,,2
Salt Lake,MID001,Registered Voters,,,,,,,296
Salt Lake,MID002,Registered Voters,,,,,,,177
Salt Lake,MID003,Registered Voters,,,,,,,257
Salt Lake,MID005,Registered Voters,,,,,,,265
Salt Lake,MID006,Registered Voters,,,,,,,239
Salt Lake,MID009,Registered Voters,,,,,,,53
Salt Lake,MID010,Registered Voters,,,,,,,129
Salt Lake,MID011,Registered Voters,,,,,,,328
Salt Lake,MID013,Registered Voters,,,,,,,152
Salt Lake,MID014,Registered Voters,,,,,,,6
Salt Lake,MID015,Registered Voters,,,,,,,235
Salt Lake,MID016,Registered Voters,,,,,,,180
Salt Lake,MID017,Registered Voters,,,,,,,147
Salt Lake,MID019,Registered Voters,,,,,,,136
Salt Lake,MID022,Registered Voters,,,,,,,331
Salt Lake,MID024,Registered Voters,,,,,,,283
Salt Lake,MID025,Registered Voters,,,,,,,70
Salt Lake,MID027,Registered Voters,,,,,,,109
Salt Lake,MID028,Registered Voters,,,,,,,140
Salt Lake,MID029,Registered Voters,,,,,,,133
Salt Lake,MID030,Registered Voters,,,,,,,132
Salt Lake,MID032,Registered Voters,,,,,,,1
Salt Lake,MIL001,Registered Voters,,,,,,,189
Salt Lake,MIL002,Registered Voters,,,,,,,217
Salt Lake,MIL003,Registered Voters,,,,,,,178
Salt Lake,MIL004,Registered Voters,,,,,,,251
Salt Lake,MIL005,Registered Voters,,,,,,,90
Salt Lake,MIL006,Registered Voters,,,,,,,192
Salt Lake,MIL007,Registered Voters,,,,,,,39
Salt Lake,MIL008,Registered Voters,,,,,,,44
Salt Lake,MIL009,Registered Voters,,,,,,,128
Salt Lake,MIL010,Registered Voters,,,,,,,137
Salt Lake,MIL011,Registered Voters,,,,,,,217
Salt Lake,MIL012,Registered Voters,,,,,,,181
Salt Lake,MIL013,Registered Voters,,,,,,,176
Salt Lake,MIL014,Registered Voters,,,,,,,178
Salt Lake,MIL015,Registered Voters,,,,,,,214
Salt Lake,MIL016,Registered Voters,,,,,,,403
Salt Lake,MIL017,Registered Voters,,,,,,,103
Salt Lake,MIL018,Registered Voters,,,,,,,369
Salt Lake,MIL019,Registered Voters,,,,,,,296
Salt Lake,MIL020,Registered Voters,,,,,,,124
Salt Lake,MIL021,Registered Voters,,,,,,,220
Salt Lake,MIL022,Registered Voters,,,,,,,292
Salt Lake,MIL023,Registered Voters,,,,,,,255
Salt Lake,MIL024,Registered Voters,,,,,,,236
Salt Lake,MIL025,Registered Voters,,,,,,,201
Salt Lake,MIL026,Registered Voters,,,,,,,201
Salt Lake,MIL027,Registered Voters,,,,,,,438
Salt Lake,MIL028,Registered Voters,,,,,,,380
Salt Lake,MIL029,Registered Voters,,,,,,,172
Salt Lake,MIL030,Registered Voters,,,,,,,227
Salt Lake,MIL031,Registered Voters,,,,,,,296
Salt Lake,MIL032,Registered Voters,,,,,,,285
Salt Lake,MIL033,Registered Voters,,,,,,,347
Salt Lake,MIL034,Registered Voters,,,,,,,393
Salt Lake,MIL035,Registered Voters,,,,,,,351
Salt Lake,MIL036,Registered Voters,,,,,,,394
Salt Lake,MIL037,Registered Voters,,,,,,,233
Salt Lake,MIL038,Registered Voters,,,,,,,136
Salt Lake,MIL039,Registered Voters,,,,,,,251
Salt Lake,MIL040,Registered Voters,,,,,,,200
Salt Lake,MIL041,Registered Voters,,,,,,,166
Salt Lake,MIL042,Registered Voters,,,,,,,208
Salt Lake,MIL043,Registered Voters,,,,,,,222
Salt Lake,MIL044,Registered Voters,,,,,,,109
Salt Lake,MIL045,Registered Voters,,,,,,,185
Salt Lake,MOL009,Registered Voters,,,,,,,0
Salt Lake,MUR001,Registered Voters,,,,,,,10
Salt Lake,MUR002,Registered Voters,,,,,,,165
Salt Lake,MUR003,Registered Voters,,,,,,,77
Salt Lake,MUR004,Registered Voters,,,,,,,191
Salt Lake,MUR005,Registered Voters,,,,,,,160
Salt Lake,MUR006,Registered Voters,,,,,,,1
Salt Lake,MUR007,Registered Voters,,,,,,,232
Salt Lake,MUR008,Registered Voters,,,,,,,338
Salt Lake,MUR009,Registered Voters,,,,,,,86
Salt Lake,MUR010,Registered Voters,,,,,,,9
Salt Lake,MUR011,Registered Voters,,,,,,,193
Salt Lake,MUR012,Registered Voters,,,,,,,248
Salt Lake,MUR013,Registered Voters,,,,,,,40
Salt Lake,MUR014,Registered Voters,,,,,,,197
Salt Lake,MUR015,Registered Voters,,,,,,,136
Salt Lake,MUR016,Registered Voters,,,,,,,274
Salt Lake,MUR017,Registered Voters,,,,,,,99
Salt Lake,MUR018,Registered Voters,,,,,,,327
Salt Lake,MUR019,Registered Voters,,,,,,,144
Salt Lake,MUR020,Registered Voters,,,,,,,308
Salt Lake,MUR021,Registered Voters,,,,,,,232
Salt Lake,MUR022,Registered Voters,,,,,,,34
Salt Lake,MUR023,Registered Voters,,,,,,,202
Salt Lake,MUR024,Registered Voters,,,,,,,208
Salt Lake,MUR025,Registered Voters,,,,,,,169
Salt Lake,MUR027,Registered Voters,,,,,,,281
Salt Lake,MUR029,Registered Voters,,,,,,,415
Salt Lake,MUR030,Registered Voters,,,,,,,181
Salt Lake,MUR031,Registered Voters,,,,,,,272
Salt Lake,MUR032,Registered Voters,,,,,,,153
Salt Lake,MUR033,Registered Voters,,,,,,,155
Salt Lake,MUR034,Registered Voters,,,,,,,201
Salt Lake,MUR035,Registered Voters,,,,,,,202
Salt Lake,MUR036,Registered Voters,,,,,,,403
Salt Lake,MUR037,Registered Voters,,,,,,,250
Salt Lake,MUR038,Registered Voters,,,,,,,188
Salt Lake,MUR039,Registered Voters,,,,,,,237
Salt Lake,MUR040,Registered Voters,,,,,,,41
Salt Lake,MUR041,Registered Voters,,,,,,,191
Salt Lake,MUR042,Registered Voters,,,,,,,351
Salt Lake,MUR043,Registered Voters,,,,,,,404
Salt Lake,MUR044,Registered Voters,,,,,,,57
Salt Lake,MUR045,Registered Voters,,,,,,,8
Salt Lake,MUR046,Registered Voters,,,,,,,200
Salt Lake,MUR047,Registered Voters,,,,,,,158
Salt Lake,MUR048,Registered Voters,,,,,,,32
Salt Lake,MUR049,Registered Voters,,,,,,,236
Salt Lake,MUR050,Registered Voters,,,,,,,199
Salt Lake,MUR051,Registered Voters,,,,,,,17
Salt Lake,MUR052,Registered Voters,,,,,,,21
Salt Lake,MUR053,Registered Voters,,,,,,,15
Salt Lake,NJC001,Registered Voters,,,,,,,4
Salt Lake,PCN001,Registered Voters,,,,,,,1
Salt Lake,RIV001,Registered Voters,,,,,,,699
Salt Lake,RIV002,Registered Voters,,,,,,,321
Salt Lake,RIV003,Registered Voters,,,,,,,591
Salt Lake,RIV004,Registered Voters,,,,,,,470
Salt Lake,RIV005,Registered Voters,,,,,,,364
Salt Lake,RIV006,Registered Voters,,,,,,,41
Salt Lake,RIV007,Registered Voters,,,,,,,234
Salt Lake,RIV008,Registered Voters,,,,,,,579
Salt Lake,RIV009,Registered Voters,,,,,,,378
Salt Lake,RIV010,Registered Voters,,,,,,,504
Salt Lake,RIV011,Registered Voters,,,,,,,137
Salt Lake,RIV012,Registered Voters,,,,,,,327
Salt Lake,RIV013,Registered Voters,,,,,,,185
Salt Lake,RIV015,Registered Voters,,,,,,,632
Salt Lake,RIV016,Registered Voters,,,,,,,537
Salt Lake,RIV017,Registered Voters,,,,,,,428
Salt Lake,RIV018,Registered Voters,,,,,,,186
Salt Lake,RIV019,Registered Voters,,,,,,,399
Salt Lake,RIV020,Registered Voters,,,,,,,318
Salt Lake,RIV021,Registered Voters,,,,,,,472
Salt Lake,RIV022,Registered Voters,,,,,,,428
Salt Lake,RIV023,Registered Voters,,,,,,,377
Salt Lake,RIV024,Registered Voters,,,,,,,253
Salt Lake,RIV025,Registered Voters,,,,,,,620
Salt Lake,RIV026,Registered Voters,,,,,,,507
Salt Lake,RIV027,Registered Voters,,,,,,,358
Salt Lake,RIV028,Registered Voters,,,,,,,183
Salt Lake,RIV029,Registered Voters,,,,,,,313
Salt Lake,RIV030,Registered Voters,,,,,,,166
Salt Lake,RIV031,Registered Voters,,,,,,,342
Salt Lake,SAN001,Registered Voters,,,,,,,275
Salt Lake,SAN002,Registered Voters,,,,,,,92
Salt Lake,SAN003,Registered Voters,,,,,,,78
Salt Lake,SAN004,Registered Voters,,,,,,,167
Salt Lake,SAN005,Registered Voters,,,,,,,309
Salt Lake,SAN006,Registered Voters,,,,,,,107
Salt Lake,SAN007,Registered Voters,,,,,,,61
Salt Lake,SAN009,Registered Voters,,,,,,,420
Salt Lake,SAN010,Registered Voters,,,,,,,91
Salt Lake,SAN011,Registered Voters,,,,,,,358
Salt Lake,SAN012,Registered Voters,,,,,,,289
Salt Lake,SAN013,Registered Voters,,,,,,,228
Salt Lake,SAN014,Registered Voters,,,,,,,230
Salt Lake,SAN015,Registered Voters,,,,,,,277
Salt Lake,SAN016,Registered Voters,,,,,,,93
Salt Lake,SAN018,Registered Voters,,,,,,,319
Salt Lake,SAN019,Registered Voters,,,,,,,182
Salt Lake,SAN020,Registered Voters,,,,,,,73
Salt Lake,SAN021,Registered Voters,,,,,,,170
Salt Lake,SAN022,Registered Voters,,,,,,,476
Salt Lake,SAN024,Registered Voters,,,,,,,372
Salt Lake,SAN026,Registered Voters,,,,,,,309
Salt Lake,SAN027,Registered Voters,,,,,,,422
Salt Lake,SAN029,Registered Voters,,,,,,,323
Salt Lake,SAN030,Registered Voters,,,,,,,296
Salt Lake,SAN031,Registered Voters,,,,,,,278
Salt Lake,SAN032,Registered Voters,,,,,,,266
Salt Lake,SAN033,Registered Voters,,,,,,,443
Salt Lake,SAN034,Registered Voters,,,,,,,219
Salt Lake,SAN035,Registered Voters,,,,,,,185
Salt Lake,SAN036,Registered Voters,,,,,,,226
Salt Lake,SAN038,Registered Voters,,,,,,,470
Salt Lake,SAN039,Registered Voters,,,,,,,235
Salt Lake,SAN040,Registered Voters,,,,,,,78
Salt Lake,SAN041,Registered Voters,,,,,,,167
Salt Lake,SAN042,Registered Voters,,,,,,,265
Salt Lake,SAN043,Registered Voters,,,,,,,247
Salt Lake,SAN044,Registered Voters,,,,,,,303
Salt Lake,SAN045,Registered Voters,,,,,,,441
Salt Lake,SAN048,Registered Voters,,,,,,,296
Salt Lake,SAN049,Registered Voters,,,,,,,307
Salt Lake,SAN050,Registered Voters,,,,,,,387
Salt Lake,SAN051,Registered Voters,,,,,,,259
Salt Lake,SAN052,Registered Voters,,,,,,,59
Salt Lake,SAN053,Registered Voters,,,,,,,319
Salt Lake,SAN054,Registered Voters,,,,,,,295
Salt Lake,SAN055,Registered Voters,,,,,,,245
Salt Lake,SAN056,Registered Voters,,,,,,,365
Salt Lake,SAN057,Registered Voters,,,,,,,498
Salt Lake,SAN058,Registered Voters,,,,,,,371
Salt Lake,SAN059,Registered Voters,,,,,,,59
Salt Lake,SAN060,Registered Voters,,,,,,,403
Salt Lake,SAN061,Registered Voters,,,,,,,288
Salt Lake,SAN062,Registered Voters,,,,,,,184
Salt Lake,SAN063,Registered Voters,,,,,,,335
Salt Lake,SAN064,Registered Voters,,,,,,,268
Salt Lake,SAN065,Registered Voters,,,,,,,336
Salt Lake,SAN066,Registered Voters,,,,,,,314
Salt Lake,SAN067,Registered Voters,,,,,,,332
Salt Lake,SAN068,Registered Voters,,,,,,,121
Salt Lake,SAN069,Registered Voters,,,,,,,300
Salt Lake,SAN071,Registered Voters,,,,,,,209
Salt Lake,SAN072,Registered Voters,,,,,,,380
Salt Lake,SAN073,Registered Voters,,,,,,,403
Salt Lake,SAN074,Registered Voters,,,,,,,369
Salt Lake,SAN075,Registered Voters,,,,,,,365
Salt Lake,SAN076,Registered Voters,,,,,,,233
Salt Lake,SAN077,Registered Voters,,,,,,,261
Salt Lake,SAN078,Registered Voters,,,,,,,329
Salt Lake,SAN079,Registered Voters,,,,,,,397
Salt Lake,SAN080,Registered Voters,,,,,,,166
Salt Lake,SAN081,Registered Voters,,,,,,,442
Salt Lake,SAN082,Registered Voters,,,,,,,485
Salt Lake,SAN084,Registered Voters,,,,,,,441
Salt Lake,SAN086,Registered Voters,,,,,,,461
Salt Lake,SAN087,Registered Voters,,,,,,,402
Salt Lake,SHL001,Registered Voters,,,,,,,37
Salt Lake,SHL002,Registered Voters,,,,,,,128
Salt Lake,SHL004,Registered Voters,,,,,,,51
Salt Lake,SHL005,Registered Voters,,,,,,,70
Salt Lake,SHL006,Registered Voters,,,,,,,156
Salt Lake,SIL001,Registered Voters,,,,,,,2
Salt Lake,SIL003,Registered Voters,,,,,,,8
Salt Lake,SIL009,Registered Voters,,,,,,,33
Salt Lake,SIL013,Registered Voters,,,,,,,30
Salt Lake,SJD001,Registered Voters,,,,,,,467
Salt Lake,SJD002,Registered Voters,,,,,,,21
Salt Lake,SJD003,Registered Voters,,,,,,,456
Salt Lake,SJD004,Registered Voters,,,,,,,440
Salt Lake,SJD005,Registered Voters,,,,,,,323
Salt Lake,SJD006,Registered Voters,,,,,,,465
Salt Lake,SJD007,Registered Voters,,,,,,,240
Salt Lake,SJD008,Registered Voters,,,,,,,618
Salt Lake,SJD009,Registered Voters,,,,,,,78
Salt Lake,SJD010,Registered Voters,,,,,,,438
Salt Lake,SJD011,Registered Voters,,,,,,,382
Salt Lake,SJD012,Registered Voters,,,,,,,546
Salt Lake,SJD013,Registered Voters,,,,,,,528
Salt Lake,SJD014,Registered Voters,,,,,,,506
Salt Lake,SJD015,Registered Voters,,,,,,,431
Salt Lake,SJD016,Registered Voters,,,,,,,416
Salt Lake,SJD017,Registered Voters,,,,,,,571
Salt Lake,SJD018,Registered Voters,,,,,,,319
Salt Lake,SJD019,Registered Voters,,,,,,,520
Salt Lake,SJD020,Registered Voters,,,,,,,65
Salt Lake,SJD021,Registered Voters,,,,,,,343
Salt Lake,SJD022,Registered Voters,,,,,,,633
Salt Lake,SJD023,Registered Voters,,,,,,,440
Salt Lake,SJD024,Registered Voters,,,,,,,377
Salt Lake,SJD025,Registered Voters,,,,,,,324
Salt Lake,SJD026,Registered Voters,,,,,,,493
Salt Lake,SJD027,Registered Voters,,,,,,,484
Salt Lake,SJD028,Registered Voters,,,,,,,351
Salt Lake,SJD029,Registered Voters,,,,,,,397
Salt Lake,SJD030,Registered Voters,,,,,,,495
Salt Lake,SJD031,Registered Voters,,,,,,,509
Salt Lake,SJD032,Registered Voters,,,,,,,536
Salt Lake,SJD033,Registered Voters,,,,,,,684
Salt Lake,SJD034,Registered Voters,,,,,,,418
Salt Lake,SJD035,Registered Voters,,,,,,,402
Salt Lake,SJD036,Registered Voters,,,,,,,361
Salt Lake,SJD037,Registered Voters,,,,,,,222
Salt Lake,SJD038,Registered Voters,,,,,,,527
Salt Lake,SJD039,Registered Voters,,,,,,,50
Salt Lake,SJD040,Registered Voters,,,,,,,487
Salt Lake,SJD041,Registered Voters,,,,,,,560
Salt Lake,SJD042,Registered Voters,,,,,,,374
Salt Lake,SJD045,Registered Voters,,,,,,,167
Salt Lake,SJD046,Registered Voters,,,,,,,178
Salt Lake,SJD047,Registered Voters,,,,,,,395
Salt Lake,SJD049,Registered Voters,,,,,,,232
Salt Lake,SJD050,Registered Voters,,,,,,,208
Salt Lake,SLC001,Registered Voters,,,,,,,7
Salt Lake,SLC002,Registered Voters,,,,,,,106
Salt Lake,SLC003,Registered Voters,,,,,,,156
Salt Lake,SLC004,Registered Voters,,,,,,,105
Salt Lake,SLC005,Registered Voters,,,,,,,155
Salt Lake,SLC006,Registered Voters,,,,,,,85
Salt Lake,SLC007,Registered Voters,,,,,,,187
Salt Lake,SLC008,Registered Voters,,,,,,,36
Salt Lake,SLC009,Registered Voters,,,,,,,223
Salt Lake,SLC010,Registered Voters,,,,,,,27
Salt Lake,SLC011,Registered Voters,,,,,,,167
Salt Lake,SLC012,Registered Voters,,,,,,,200
Salt Lake,SLC013,Registered Voters,,,,,,,74
Salt Lake,SLC014,Registered Voters,,,,,,,130
Salt Lake,SLC015,Registered Voters,,,,,,,186
Salt Lake,SLC017,Registered Voters,,,,,,,52
Salt Lake,SLC018,Registered Voters,,,,,,,140
Salt Lake,SLC019,Registered Voters,,,,,,,109
Salt Lake,SLC020,Registered Voters,,,,,,,255
Salt Lake,SLC021,Registered Voters,,,,,,,92
Salt Lake,SLC023,Registered Voters,,,,,,,137
Salt Lake,SLC025,Registered Voters,,,,,,,186
Salt Lake,SLC026,Registered Voters,,,,,,,219
Salt Lake,SLC027,Registered Voters,,,,,,,161
Salt Lake,SLC028,Registered Voters,,,,,,,52
Salt Lake,SLC029,Registered Voters,,,,,,,126
Salt Lake,SLC030,Registered Voters,,,,,,,102
Salt Lake,SLC031,Registered Voters,,,,,,,83
Salt Lake,SLC032,Registered Voters,,,,,,,184
Salt Lake,SLC033,Registered Voters,,,,,,,123
Salt Lake,SLC034,Registered Voters,,,,,,,84
Salt Lake,SLC035,Registered Voters,,,,,,,378
Salt Lake,SLC039,Registered Voters,,,,,,,77
Salt Lake,SLC040,Registered Voters,,,,,,,88
Salt Lake,SLC041,Registered Voters,,,,,,,147
Salt Lake,SLC042,Registered Voters,,,,,,,104
Salt Lake,SLC043,Registered Voters,,,,,,,153
Salt Lake,SLC045,Registered Voters,,,,,,,168
Salt Lake,SLC048,Registered Voters,,,,,,,171
Salt Lake,SLC049,Registered Voters,,,,,,,135
Salt Lake,SLC050,Registered Voters,,,,,,,188
Salt Lake,SLC051,Registered Voters,,,,,,,107
Salt Lake,SLC052,Registered Voters,,,,,,,135
Salt Lake,SLC054,Registered Voters,,,,,,,403
Salt Lake,SLC055,Registered Voters,,,,,,,74
Salt Lake,SLC057,Registered Voters,,,,,,,124
Salt Lake,SLC059,Registered Voters,,,,,,,115
Salt Lake,SLC060,Registered Voters,,,,,,,143
Salt Lake,SLC062,Registered Voters,,,,,,,143
Salt Lake,SLC064,Registered Voters,,,,,,,178
Salt Lake,SLC065,Registered Voters,,,,,,,118
Salt Lake,SLC068,Registered Voters,,,,,,,113
Salt Lake,SLC069,Registered Voters,,,,,,,37
Salt Lake,SLC070,Registered Voters,,,,,,,143
Salt Lake,SLC071,Registered Voters,,,,,,,99
Salt Lake,SLC072,Registered Voters,,,,,,,148
Salt Lake,SLC073,Registered Voters,,,,,,,0
Salt Lake,SLC074,Registered Voters,,,,,,,10
Salt Lake,SLC076,Registered Voters,,,,,,,110
Salt Lake,SLC078,Registered Voters,,,,,,,126
Salt Lake,SLC080,Registered Voters,,,,,,,312
Salt Lake,SLC083,Registered Voters,,,,,,,195
Salt Lake,SLC085,Registered Voters,,,,,,,188
Salt Lake,SLC086,Registered Voters,,,,,,,160
Salt Lake,SLC090,Registered Voters,,,,,,,77
Salt Lake,SLC091,Registered Voters,,,,,,,50
Salt Lake,SLC092,Registered Voters,,,,,,,111
Salt Lake,SLC093,Registered Voters,,,,,,,72
Salt Lake,SLC094,Registered Voters,,,,,,,82
Salt Lake,SLC097,Registered Voters,,,,,,,123
