county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Morgan,Mountain Green 2.1,U S House,,Adam Davis,GRN,0,3,0,3
Morgan,Mountain Green 2.1,State Senate,18,Jason Yu,DEM,4,60,3,67
Morgan,Mountain Green 2.1,State Senate,18,Kevin L. Bryan,LIB,3,15,3,21
Morgan,Mountain Green 2.1,State Senate,18,Ann Millner,REP,27,336,8,371
Morgan,Mountain Green 2.1,Utah State House,53,Logan Wilde,REP,28,306,10,344
Morgan,Mountain Green 2.1,Utah State House,53,Christopher Neville,DEM,6,102,4,112
Morgan,Mountain Green 3.1,Registered Voters,,,,,,,363
Morgan,Mountain Green 3.1,Ballots Cast,,,,9,282,10,301
Morgan,Mountain Green 3.1,Straight Party,,,CON,0,1,0,1
Morgan,Mountain Green 3.1,Straight Party,,,UUP,0,0,0,0
Morgan,Mountain Green 3.1,Straight Party,,,LIB,0,0,0,0
Morgan,Mountain Green 3.1,Straight Party,,,REP,0,56,4,60
Morgan,Mountain Green 3.1,Straight Party,,,GRN,0,0,0,0
Morgan,Mountain Green 3.1,Straight Party,,,DEM,1,2,0,3
Morgan,Mountain Green 3.1,Straight Party,,,IAP,0,1,0,1
Morgan,Mountain Green 3.1,U S Senate,,Tim Aalders,CON,0,15,0,15
Morgan,Mountain Green 3.1,U S Senate,,Craig R. Bowden,LIB,1,6,0,7
Morgan,Mountain Green 3.1,U S Senate,,Reed C. McCandless,IAP,1,3,0,4
Morgan,Mountain Green 3.1,U S Senate,,Jenny Wilson,DEM,3,24,1,28
Morgan,Mountain Green 3.1,U S Senate,,Mitt Romney,REP,4,228,7,239
Morgan,Mountain Green 3.1,U S Senate,,Write-In Votes,,0,3,2,5
Morgan,Mountain Green 3.1,U S House,,Lee Castillo,DEM,4,14,1,19
Morgan,Mountain Green 3.1,U S House,,Rob Bishop,REP,4,228,8,240
Morgan,Mountain Green 3.1,U S House,,Eric Eliason,UUP,1,29,0,30
Morgan,Mountain Green 3.1,U S House,,Adam Davis,GRN,0,6,1,7
Morgan,Mountain Green 3.1,State Senate,18,Jason Yu,DEM,1,15,0,16
Morgan,Mountain Green 3.1,State Senate,18,Kevin L. Bryan,LIB,1,18,0,19
Morgan,Mountain Green 3.1,State Senate,18,Ann Millner,REP,7,237,10,254
Morgan,Mountain Green 3.1,Utah State House,53,Logan Wilde,REP,7,242,7,256
Morgan,Mountain Green 3.1,Utah State House,53,Christopher Neville,DEM,2,30,3,35
Morgan,Peterson 4.2,Registered Voters,,,,,,,738
Morgan,Peterson 4.2,Ballots Cast,,,,25,552,20,597
Morgan,Peterson 4.2,Straight Party,,,CON,0,0,0,0
Morgan,Peterson 4.2,Straight Party,,,UUP,0,0,0,0
Morgan,Peterson 4.2,Straight Party,,,LIB,1,2,0,3
Morgan,Peterson 4.2,Straight Party,,,REP,6,120,6,132
Morgan,Peterson 4.2,Straight Party,,,GRN,0,0,0,0
Morgan,Peterson 4.2,Straight Party,,,DEM,0,7,1,8
Morgan,Peterson 4.2,Straight Party,,,IAP,1,5,0,6
Morgan,Peterson 4.2,U S Senate,,Tim Aalders,CON,1,7,2,10
Morgan,Peterson 4.2,U S Senate,,Craig R. Bowden,LIB,0,10,0,10
Morgan,Peterson 4.2,U S Senate,,Reed C. McCandless,IAP,1,1,0,2
Morgan,Peterson 4.2,U S Senate,,Jenny Wilson,DEM,2,48,2,52
Morgan,Peterson 4.2,U S Senate,,Mitt Romney,REP,21,473,15,509
Morgan,Peterson 4.2,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,Peterson 4.2,U S House,,Lee Castillo,DEM,5,41,3,49
Morgan,Peterson 4.2,U S House,,Rob Bishop,REP,17,427,16,460
Morgan,Peterson 4.2,U S House,,Eric Eliason,UUP,3,62,0,65
Morgan,Peterson 4.2,U S House,,Adam Davis,GRN,0,5,0,5
Morgan,Peterson 4.2,State Senate,18,Jason Yu,DEM,3,46,2,51
Morgan,Peterson 4.2,State Senate,18,Kevin L. Bryan,LIB,4,27,1,32
Morgan,Peterson 4.2,State Senate,18,Ann Millner,REP,18,450,15,483
Morgan,Peterson 4.2,Utah State House,53,Logan Wilde,REP,18,443,15,476
Morgan,Peterson 4.2,Utah State House,53,Christopher Neville,DEM,7,79,3,89
Morgan,Peterson 5.2,Registered Voters,,,,,,,321
Morgan,Peterson 5.2,Ballots Cast,,,,18,231,3,252
Morgan,Peterson 5.2,Straight Party,,,CON,0,0,0,0
Morgan,Peterson 5.2,Straight Party,,,UUP,0,0,0,0
Morgan,Peterson 5.2,Straight Party,,,LIB,0,2,0,2
Morgan,Peterson 5.2,Straight Party,,,REP,5,37,3,45
Morgan,Peterson 5.2,Straight Party,,,GRN,0,0,0,0
Morgan,Peterson 5.2,Straight Party,,,DEM,2,3,0,5
Morgan,Peterson 5.2,Straight Party,,,IAP,0,1,0,1
Morgan,Peterson 5.2,U S Senate,,Tim Aalders,CON,0,8,0,8
Morgan,Peterson 5.2,U S Senate,,Craig R. Bowden,LIB,0,9,0,9
Morgan,Peterson 5.2,U S Senate,,Reed C. McCandless,IAP,0,9,0,9
Morgan,Peterson 5.2,U S Senate,,Jenny Wilson,DEM,4,30,0,34
Morgan,Peterson 5.2,U S Senate,,Mitt Romney,REP,13,171,3,187
Morgan,Peterson 5.2,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,Peterson 5.2,U S House,,Lee Castillo,DEM,2,24,0,26
Morgan,Peterson 5.2,U S House,,Rob Bishop,REP,16,160,3,179
Morgan,Peterson 5.2,U S House,,Eric Eliason,UUP,0,33,0,33
Morgan,Peterson 5.2,U S House,,Adam Davis,GRN,0,9,0,9
Morgan,Peterson 5.2,State Senate,18,Jason Yu,DEM,2,24,0,26
Morgan,Peterson 5.2,State Senate,18,Kevin L. Bryan,LIB,0,18,0,18
Morgan,Peterson 5.2,State Senate,18,Ann Millner,REP,16,186,3,205
Morgan,Peterson 5.2,Utah State House,53,Logan Wilde,REP,16,194,3,213
Morgan,Peterson 5.2,Utah State House,53,Christopher Neville,DEM,2,32,0,34
Morgan,Peterson 6.2,Registered Voters,,,,,,,382
Morgan,Peterson 6.2,Ballots Cast,,,,13,278,5,296
Morgan,Peterson 6.2,Straight Party,,,CON,0,1,0,1
Morgan,Peterson 6.2,Straight Party,,,UUP,0,0,0,0
Morgan,Peterson 6.2,Straight Party,,,LIB,0,2,0,2
Morgan,Peterson 6.2,Straight Party,,,REP,2,51,3,56
Morgan,Peterson 6.2,Straight Party,,,GRN,0,0,0,0
Morgan,Peterson 6.2,Straight Party,,,DEM,1,3,0,4
Morgan,Peterson 6.2,Straight Party,,,IAP,0,4,0,4
Morgan,Peterson 6.2,U S Senate,,Tim Aalders,CON,2,15,0,17
Morgan,Peterson 6.2,U S Senate,,Craig R. Bowden,LIB,0,9,0,9
Morgan,Peterson 6.2,U S Senate,,Reed C. McCandless,IAP,0,2,0,2
Morgan,Peterson 6.2,U S Senate,,Jenny Wilson,DEM,1,39,0,40
Morgan,Peterson 6.2,U S Senate,,Mitt Romney,REP,10,204,5,219
Morgan,Peterson 6.2,U S Senate,,Write-In Votes,,0,3,0,3
Morgan,Peterson 6.2,U S House,,Lee Castillo,DEM,2,34,0,36
Morgan,Peterson 6.2,U S House,,Rob Bishop,REP,10,214,5,229
Morgan,Peterson 6.2,U S House,,Eric Eliason,UUP,1,21,0,22
Morgan,Peterson 6.2,U S House,,Adam Davis,GRN,0,4,0,4
Morgan,Peterson 6.2,State Senate,18,Jason Yu,DEM,2,37,0,39
Morgan,Peterson 6.2,State Senate,18,Kevin L. Bryan,LIB,1,23,0,24
Morgan,Peterson 6.2,State Senate,18,Ann Millner,REP,10,211,5,226
Morgan,Peterson 6.2,Utah State House,53,Logan Wilde,REP,11,233,5,249
Morgan,Peterson 6.2,Utah State House,53,Christopher Neville,DEM,1,32,0,33
Morgan,Canyon Creek 7.3,Registered Voters,,,,,,,326
Morgan,Canyon Creek 7.3,Ballots Cast,,,,20,248,3,271
Morgan,Canyon Creek 7.3,Straight Party,,,CON,0,0,0,0
Morgan,Canyon Creek 7.3,Straight Party,,,UUP,0,1,0,1
Morgan,Canyon Creek 7.3,Straight Party,,,LIB,0,0,0,0
Morgan,Canyon Creek 7.3,Straight Party,,,REP,2,46,1,49
Morgan,Canyon Creek 7.3,Straight Party,,,GRN,0,0,0,0
Morgan,Canyon Creek 7.3,Straight Party,,,DEM,1,4,0,5
Morgan,Canyon Creek 7.3,Straight Party,,,IAP,0,5,0,5
Morgan,Canyon Creek 7.3,U S Senate,,Tim Aalders,CON,1,9,0,10
Morgan,Canyon Creek 7.3,U S Senate,,Craig R. Bowden,LIB,0,3,0,3
Morgan,Canyon Creek 7.3,U S Senate,,Reed C. McCandless,IAP,0,2,0,2
Morgan,Canyon Creek 7.3,U S Senate,,Jenny Wilson,DEM,3,17,0,20
Morgan,Canyon Creek 7.3,U S Senate,,Mitt Romney,REP,15,215,2,232
Morgan,Canyon Creek 7.3,U S Senate,,Write-In Votes,,0,1,0,1
Morgan,Canyon Creek 7.3,U S House,,Lee Castillo,DEM,2,15,0,17
Morgan,Canyon Creek 7.3,U S House,,Rob Bishop,REP,14,216,2,232
Morgan,Canyon Creek 7.3,U S House,,Eric Eliason,UUP,3,11,0,14
Morgan,Canyon Creek 7.3,U S House,,Adam Davis,GRN,1,3,0,4
Morgan,Canyon Creek 7.3,State Senate,18,Jason Yu,DEM,1,10,0,11
Morgan,Canyon Creek 7.3,State Senate,18,Kevin L. Bryan,LIB,1,10,0,11
Morgan,Canyon Creek 7.3,State Senate,18,Ann Millner,REP,18,220,2,240
Morgan,Canyon Creek 7.3,Utah State House,53,Logan Wilde,REP,17,228,2,247
Morgan,Canyon Creek 7.3,Utah State House,53,Christopher Neville,DEM,3,13,0,16
Morgan,Canyon Creek 8.3,Registered Voters,,,,,,,309
Morgan,Canyon Creek 8.3,Ballots Cast,,,,34,227,6,267
Morgan,Canyon Creek 8.3,Straight Party,,,CON,0,0,0,0
Morgan,Canyon Creek 8.3,Straight Party,,,UUP,0,0,0,0
Morgan,Canyon Creek 8.3,Straight Party,,,LIB,1,0,1,2
Morgan,Canyon Creek 8.3,Straight Party,,,REP,5,53,2,60
Morgan,Canyon Creek 8.3,Straight Party,,,GRN,0,0,1,1
Morgan,Canyon Creek 8.3,Straight Party,,,DEM,0,5,0,5
Morgan,Canyon Creek 8.3,Straight Party,,,IAP,1,3,0,4
Morgan,Canyon Creek 8.3,U S Senate,,Tim Aalders,CON,0,6,0,6
Morgan,Canyon Creek 8.3,U S Senate,,Craig R. Bowden,LIB,1,5,1,7
Morgan,Canyon Creek 8.3,U S Senate,,Reed C. McCandless,IAP,0,0,0,0
Morgan,Canyon Creek 8.3,U S Senate,,Jenny Wilson,DEM,2,21,0,23
Morgan,Canyon Creek 8.3,U S Senate,,Mitt Romney,REP,31,191,4,226
Morgan,Canyon Creek 8.3,U S Senate,,Write-In Votes,,0,2,0,2
Morgan,Canyon Creek 8.3,U S House,,Lee Castillo,DEM,1,26,0,27
Morgan,Canyon Creek 8.3,U S House,,Rob Bishop,REP,28,184,5,217
Morgan,Canyon Creek 8.3,U S House,,Eric Eliason,UUP,5,11,0,16
Morgan,Canyon Creek 8.3,U S House,,Adam Davis,GRN,0,1,1,2
Morgan,Canyon Creek 8.3,State Senate,18,Jason Yu,DEM,2,22,0,24
Morgan,Canyon Creek 8.3,State Senate,18,Kevin L. Bryan,LIB,1,4,2,7
Morgan,Canyon Creek 8.3,State Senate,18,Ann Millner,REP,31,192,4,227
Morgan,Canyon Creek 8.3,Utah State House,53,Logan Wilde,REP,31,201,6,238
Morgan,Canyon Creek 8.3,Utah State House,53,Christopher Neville,DEM,2,20,0,22
Morgan,Canyon Creek 9.3,Registered Voters,,,,,,,406
Morgan,Canyon Creek 9.3,Ballots Cast,,,,24,306,9,339
Morgan,Canyon Creek 9.3,Straight Party,,,CON,0,1,0,1
Morgan,Canyon Creek 9.3,Straight Party,,,UUP,0,0,0,0
Morgan,Canyon Creek 9.3,Straight Party,,,LIB,0,0,0,0
Morgan,Canyon Creek 9.3,Straight Party,,,REP,9,55,4,68
Morgan,Canyon Creek 9.3,Straight Party,,,GRN,0,0,0,0
Morgan,Canyon Creek 9.3,Straight Party,,,DEM,2,1,0,3
Morgan,Canyon Creek 9.3,Straight Party,,,IAP,0,2,0,2
Morgan,Canyon Creek 9.3,U S Senate,,Tim Aalders,CON,1,10,1,12
Morgan,Canyon Creek 9.3,U S Senate,,Craig R. Bowden,LIB,1,12,0,13
Morgan,Canyon Creek 9.3,U S Senate,,Reed C. McCandless,IAP,0,2,0,2
Morgan,Canyon Creek 9.3,U S Senate,,Jenny Wilson,DEM,2,37,0,39
Morgan,Canyon Creek 9.3,U S Senate,,Mitt Romney,REP,20,241,8,269
Morgan,Canyon Creek 9.3,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,Canyon Creek 9.3,U S House,,Lee Castillo,DEM,2,22,1,25
Morgan,Canyon Creek 9.3,U S House,,Rob Bishop,REP,20,257,8,285
Morgan,Canyon Creek 9.3,U S House,,Eric Eliason,UUP,1,20,0,21
Morgan,Canyon Creek 9.3,U S House,,Adam Davis,GRN,0,3,0,3
Morgan,Canyon Creek 9.3,Utah State House,53,Logan Wilde,REP,21,285,8,314
Morgan,Canyon Creek 9.3,Utah State House,53,Christopher Neville,DEM,3,18,1,22
Morgan,City 10.4,Registered Voters,,,,,,,469
Morgan,City 10.4,Ballots Cast,,,,56,322,16,394
Morgan,City 10.4,Straight Party,,,CON,0,0,1,1
Morgan,City 10.4,Straight Party,,,UUP,0,0,0,0
Morgan,City 10.4,Straight Party,,,LIB,0,0,0,0
Morgan,City 10.4,Straight Party,,,REP,12,50,7,69
Morgan,City 10.4,Straight Party,,,GRN,0,0,0,0
Morgan,City 10.4,Straight Party,,,DEM,0,5,1,6
Morgan,City 10.4,Straight Party,,,IAP,0,1,0,1
Morgan,City 10.4,U S Senate,,Tim Aalders,CON,4,6,1,11
Morgan,City 10.4,U S Senate,,Craig R. Bowden,LIB,1,17,0,18
Morgan,City 10.4,U S Senate,,Reed C. McCandless,IAP,0,0,0,0
Morgan,City 10.4,U S Senate,,Jenny Wilson,DEM,6,36,1,43
Morgan,City 10.4,U S Senate,,Mitt Romney,REP,45,260,14,319
Morgan,City 10.4,U S Senate,,Write-In Votes,,0,1,0,1
Morgan,City 10.4,U S House,,Lee Castillo,DEM,5,29,2,36
Morgan,City 10.4,U S House,,Rob Bishop,REP,47,256,14,317
Morgan,City 10.4,U S House,,Eric Eliason,UUP,4,28,0,32
Morgan,City 10.4,U S House,,Adam Davis,GRN,0,0,0,0
Morgan,City 10.4,State Senate,18,Jason Yu,DEM,2,29,2,33
Morgan,City 10.4,State Senate,18,Kevin L. Bryan,LIB,3,17,0,20
Morgan,City 10.4,State Senate,18,Ann Millner,REP,49,263,14,326
Morgan,City 10.4,Utah State House,53,Logan Wilde,REP,51,283,14,348
Morgan,City 10.4,Utah State House,53,Christopher Neville,DEM,5,32,2,39
Morgan,City 11.4,Registered Voters,,,,,,,235
Morgan,City 11.4,Ballots Cast,,,,32,167,10,209
Morgan,City 11.4,Straight Party,,,CON,1,2,0,3
Morgan,City 11.4,Straight Party,,,UUP,0,0,0,0
Morgan,City 11.4,Straight Party,,,LIB,0,0,0,0
Morgan,City 11.4,Straight Party,,,REP,8,19,2,29
Morgan,City 11.4,Straight Party,,,GRN,0,0,0,0
Morgan,City 11.4,Straight Party,,,DEM,0,2,0,2
Morgan,City 11.4,Straight Party,,,IAP,1,3,1,5
Morgan,City 11.4,U S Senate,,Tim Aalders,CON,4,5,0,9
Morgan,City 11.4,U S Senate,,Craig R. Bowden,LIB,3,5,0,8
Morgan,City 11.4,U S Senate,,Reed C. McCandless,IAP,1,2,1,4
Morgan,City 11.4,U S Senate,,Jenny Wilson,DEM,8,29,0,37
Morgan,City 11.4,U S Senate,,Mitt Romney,REP,15,124,9,148
Morgan,City 11.4,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,City 11.4,U S House,,Lee Castillo,DEM,2,26,1,29
Morgan,City 11.4,U S House,,Rob Bishop,REP,23,115,7,145
Morgan,City 11.4,U S House,,Eric Eliason,UUP,3,13,0,16
Morgan,City 11.4,U S House,,Adam Davis,GRN,2,4,1,7
Morgan,City 11.4,State Senate,18,Jason Yu,DEM,3,26,0,29
Morgan,City 11.4,State Senate,18,Kevin L. Bryan,LIB,3,6,1,10
Morgan,City 11.4,State Senate,18,Ann Millner,REP,22,125,8,155
Morgan,City 11.4,Utah State House,53,Logan Wilde,REP,27,149,8,184
Morgan,City 11.4,Utah State House,53,Christopher Neville,DEM,3,15,1,19
Morgan,City 12.4,Registered Voters,,,,,,,450
Morgan,City 12.4,Ballots Cast,,,,35,330,7,372
Morgan,City 12.4,Straight Party,,,CON,0,0,0,0
Morgan,City 12.4,Straight Party,,,UUP,0,0,0,0
Morgan,City 12.4,Straight Party,,,LIB,0,0,0,0
Morgan,City 12.4,Straight Party,,,REP,6,57,4,67
Morgan,City 12.4,Straight Party,,,GRN,0,0,0,0
Morgan,City 12.4,Straight Party,,,DEM,1,1,0,2
Morgan,City 12.4,Straight Party,,,IAP,0,4,0,4
Morgan,City 12.4,U S Senate,,Tim Aalders,CON,4,5,0,9
Morgan,City 12.4,U S Senate,,Craig R. Bowden,LIB,0,9,0,9
Morgan,City 12.4,U S Senate,,Reed C. McCandless,IAP,0,3,0,3
Morgan,City 12.4,U S Senate,,Jenny Wilson,DEM,4,41,0,45
Morgan,City 12.4,U S Senate,,Mitt Romney,REP,27,267,7,301
Morgan,City 12.4,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,City 12.4,U S House,,Lee Castillo,DEM,6,37,0,43
Morgan,City 12.4,U S House,,Rob Bishop,REP,27,262,7,296
Morgan,City 12.4,U S House,,Eric Eliason,UUP,2,22,0,24
Morgan,City 12.4,U S House,,Adam Davis,GRN,0,2,0,2
Morgan,City 12.4,State Senate,18,Jason Yu,DEM,7,36,0,43
Morgan,City 12.4,State Senate,18,Kevin L. Bryan,LIB,2,20,0,22
Morgan,City 12.4,State Senate,18,Ann Millner,REP,26,266,7,299
Morgan,City 12.4,Utah State House,53,Logan Wilde,REP,30,291,6,327
Morgan,City 12.4,Utah State House,53,Christopher Neville,DEM,5,31,0,36
Morgan,No Mogan 13.5,Registered Voters,,,,,,,596
Morgan,No Mogan 13.5,Ballots Cast,,,,56,445,22,523
Morgan,No Mogan 13.5,Straight Party,,,CON,0,2,0,2
Morgan,No Mogan 13.5,Straight Party,,,UUP,0,0,0,0
Morgan,No Mogan 13.5,Straight Party,,,LIB,0,0,0,0
Morgan,No Mogan 13.5,Straight Party,,,REP,5,60,4,69
Morgan,No Mogan 13.5,Straight Party,,,GRN,0,0,0,0
Morgan,No Mogan 13.5,Straight Party,,,DEM,1,5,1,7
Morgan,No Mogan 13.5,Straight Party,,,IAP,0,9,0,9
Morgan,No Mogan 13.5,U S Senate,,Tim Aalders,CON,2,12,1,15
Morgan,No Mogan 13.5,U S Senate,,Craig R. Bowden,LIB,3,3,0,6
Morgan,No Mogan 13.5,U S Senate,,Reed C. McCandless,IAP,1,6,1,8
Morgan,No Mogan 13.5,U S Senate,,Jenny Wilson,DEM,4,34,1,39
Morgan,No Mogan 13.5,U S Senate,,Mitt Romney,REP,45,381,18,444
Morgan,No Mogan 13.5,U S Senate,,Write-In Votes,,0,3,0,3
Morgan,No Mogan 13.5,U S House,,Lee Castillo,DEM,5,52,4,61
Morgan,No Mogan 13.5,U S House,,Rob Bishop,REP,41,328,12,381
Morgan,No Mogan 13.5,U S House,,Eric Eliason,UUP,7,43,4,54
Morgan,No Mogan 13.5,U S House,,Adam Davis,GRN,2,8,1,11
Morgan,No Mogan 13.5,State Senate,18,Jason Yu,DEM,6,34,4,44
Morgan,No Mogan 13.5,State Senate,18,Kevin L. Bryan,LIB,5,17,0,22
Morgan,No Mogan 13.5,State Senate,18,Ann Millner,REP,43,374,17,434
Morgan,No Mogan 13.5,Utah State House,53,Logan Wilde,REP,47,401,17,465
Morgan,No Mogan 13.5,Utah State House,53,Christopher Neville,DEM,7,30,4,41
Morgan,No Mogan 14.5,Registered Voters,,,,,,,460
Morgan,No Mogan 14.5,Ballots Cast,,,,38,333,7,378
Morgan,No Mogan 14.5,Straight Party,,,CON,0,0,0,0
Morgan,No Mogan 14.5,Straight Party,,,UUP,0,0,0,0
Morgan,No Mogan 14.5,Straight Party,,,LIB,0,1,0,1
Morgan,No Mogan 14.5,Straight Party,,,REP,10,60,5,75
Morgan,No Mogan 14.5,Straight Party,,,GRN,0,2,0,2
Morgan,No Mogan 14.5,Straight Party,,,DEM,2,8,0,10
Morgan,No Mogan 14.5,Straight Party,,,IAP,4,4,0,8
Morgan,No Mogan 14.5,U S Senate,,Tim Aalders,CON,0,14,0,14
Morgan,No Mogan 14.5,U S Senate,,Craig R. Bowden,LIB,1,4,0,5
Morgan,No Mogan 14.5,U S Senate,,Reed C. McCandless,IAP,4,3,0,7
Morgan,No Mogan 14.5,U S Senate,,Jenny Wilson,DEM,4,41,0,45
Morgan,No Mogan 14.5,U S Senate,,Mitt Romney,REP,27,270,7,304
Morgan,No Mogan 14.5,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,No Mogan 14.5,U S House,,Lee Castillo,DEM,9,41,0,50
Morgan,No Mogan 14.5,U S House,,Rob Bishop,REP,24,259,7,290
Morgan,No Mogan 14.5,U S House,,Eric Eliason,UUP,2,19,0,21
Morgan,No Mogan 14.5,U S House,,Adam Davis,GRN,1,6,0,7
Morgan,No Mogan 14.5,State Senate,18,Jason Yu,DEM,5,50,0,55
Morgan,No Mogan 14.5,State Senate,18,Kevin L. Bryan,LIB,4,16,0,20
Morgan,No Mogan 14.5,State Senate,18,Ann Millner,REP,25,258,6,289
Morgan,No Mogan 14.5,Utah State House,53,Logan Wilde,REP,32,295,7,334
Morgan,No Mogan 14.5,Utah State House,53,Christopher Neville,DEM,5,33,0,38
Morgan,Croydon 15.5,Registered Voters,,,,,,,100
Morgan,Croydon 15.5,Ballots Cast,,,,7,77,2,86
Morgan,Croydon 15.5,Straight Party,,,CON,0,0,0,0
Morgan,Croydon 15.5,Straight Party,,,UUP,0,0,0,0
Morgan,Croydon 15.5,Straight Party,,,LIB,0,0,0,0
Morgan,Croydon 15.5,Straight Party,,,REP,1,12,1,14
Morgan,Croydon 15.5,Straight Party,,,GRN,0,0,0,0
Morgan,Croydon 15.5,Straight Party,,,DEM,0,2,0,2
Morgan,Croydon 15.5,Straight Party,,,IAP,0,2,0,2
Morgan,Croydon 15.5,U S Senate,,Tim Aalders,CON,1,10,0,11
Morgan,Croydon 15.5,U S Senate,,Craig R. Bowden,LIB,0,4,0,4
Morgan,Croydon 15.5,U S Senate,,Reed C. McCandless,IAP,0,0,0,0
Morgan,Croydon 15.5,U S Senate,,Jenny Wilson,DEM,1,5,0,6
Morgan,Croydon 15.5,U S Senate,,Mitt Romney,REP,5,58,2,65
Morgan,Croydon 15.5,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,Croydon 15.5,U S House,,Lee Castillo,DEM,1,8,0,9
Morgan,Croydon 15.5,U S House,,Rob Bishop,REP,4,58,2,64
Morgan,Croydon 15.5,U S House,,Eric Eliason,UUP,1,7,0,8
Morgan,Croydon 15.5,U S House,,Adam Davis,GRN,1,1,0,2
Morgan,Croydon 15.5,Utah State House,53,Logan Wilde,REP,6,72,2,80
Morgan,Croydon 15.5,Utah State House,53,Christopher Neville,DEM,1,5,0,6
