county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes,
Davis,Bountiful 06,Ballots Cast,,,,188,0,6,0,194,
Davis,Bountiful 07,Ballots Cast,,,,168,0,17,1,186,
Davis,Bountiful 08,Ballots Cast,,,,235,0,8,2,245,
Davis,Bountiful 09,Ballots Cast,,,,355,0,18,2,375,
Davis,Bountiful 10,Ballots Cast,,,,319,0,16,2,337,
Davis,Bountiful 11,Ballots Cast,,,,333,0,20,2,355,
Davis,Bountiful 12,Ballots Cast,,,,378,0,15,0,393,
Davis,Bountiful 13,Ballots Cast,,,,146,0,12,0,158,
Davis,Bountiful 14,Ballots Cast,,,,128,0,7,0,135,
Davis,Bountiful 15,Ballots Cast,,,,152,0,17,1,170,
Davis,Bountiful 16,Ballots Cast,,,,313,0,10,1,324,
Davis,Bountiful 17,Ballots Cast,,,,309,0,20,0,329,
Davis,Bountiful 18,Ballots Cast,,,,280,0,10,2,292,
Davis,Bountiful 19,Ballots Cast,,,,306,0,20,0,326,
Davis,Bountiful 20,Ballots Cast,,,,228,0,9,0,237,
Davis,Bountiful 21,Ballots Cast,,,,242,2,17,3,264,
Davis,Bountiful 22,Ballots Cast,,,,260,0,16,0,276,
Davis,Bountiful 23,Ballots Cast,,,,299,0,19,3,321,
Davis,Bountiful 24,Ballots Cast,,,,74,0,9,0,83,
Davis,Bountiful 25,Ballots Cast,,,,302,0,15,2,319,
Davis,Bountiful 26,Ballots Cast,,,,262,0,25,2,289,
Davis,Bountiful 27,Ballots Cast,,,,192,0,15,1,208,
Davis,Bountiful 28,Ballots Cast,,,,265,0,8,0,273,
Davis,Bountiful 29,Ballots Cast,,,,206,0,11,0,217,
Davis,Bountiful 30,Ballots Cast,,,,166,0,4,1,171,
Davis,Bountiful 31,Ballots Cast,,,,171,0,8,0,179,
Davis,Bountiful 32,Ballots Cast,,,,276,0,13,1,290,
Davis,Bountiful 33,Ballots Cast,,,,276,0,11,0,287,
Davis,Centerville 01,Ballots Cast,,,,275,0,21,0,296,
Davis,Centerville 02,Ballots Cast,,,,324,0,18,0,342,
Davis,Centerville 03,Ballots Cast,,,,254,0,17,2,273,
Davis,Centerville 04,Ballots Cast,,,,270,0,18,0,288,
Davis,Centerville 05,Ballots Cast,,,,224,0,23,1,248,
Davis,Centerville 06,Ballots Cast,,,,220,0,28,2,250,
Davis,Centerville 07,Ballots Cast,,,,336,0,16,1,353,
Davis,Centerville 08,Ballots Cast,,,,254,0,15,0,269,
Davis,Centerville 09,Ballots Cast,,,,267,0,13,1,281,
Davis,Centerville 10,Ballots Cast,,,,300,0,10,1,311,
Davis,Centerville 11,Ballots Cast,,,,176,0,11,2,189,
Davis,Centerville 12,Ballots Cast,,,,296,0,23,0,319,
Davis,Clearfield 01,Ballots Cast,,,,198,0,12,1,211,
Davis,Clearfield 02,Ballots Cast,,,,151,1,11,0,163,
Davis,Clearfield 03,Ballots Cast,,,,170,0,10,0,180,
Davis,Clearfield 04,Ballots Cast,,,,173,0,9,2,184,
Davis,Clearfield 05,Ballots Cast,,,,144,0,9,1,154,
Davis,Clearfield 06,Ballots Cast,,,,191,0,7,2,200,
Davis,Clearfield 07,Ballots Cast,,,,104,0,14,0,118,
Davis,Clearfield 08,Ballots Cast,,,,148,0,13,0,161,
Davis,Clearfield 09,Ballots Cast,,,,134,0,13,0,147,
Davis,Clearfield 10,Ballots Cast,,,,175,0,10,0,185,
Davis,Clearfield 11,Ballots Cast,,,,171,0,8,0,179,
Davis,Clearfield 12,Ballots Cast,,,,119,0,14,2,135,
Davis,Clearfield 13,Ballots Cast,,,,4,0,0,0,4,
Davis,Clearfield 14,Ballots Cast,,,,8,0,1,0,9,
Davis,Clearfield 15,Ballots Cast,,,,4,0,0,0,4,
Davis,Clearfield 16,Ballots Cast,,,,162,0,13,0,175,
Davis,Clearfield 17,Ballots Cast,,,,56,0,12,2,70,
Davis,Clinton 01,Ballots Cast,,,,244,0,25,4,273,
Davis,Clinton 02,Ballots Cast,,,,190,0,15,2,207,
Davis,Clinton 03,Ballots Cast,,,,78,0,16,2,96,
Davis,Clinton 04,Ballots Cast,,,,153,0,10,0,163,
Davis,Clinton 05,Ballots Cast,,,,83,0,3,0,86,
Davis,Clinton 06,Ballots Cast,,,,181,0,8,3,192,
Davis,Clinton 07,Ballots Cast,,,,217,0,6,0,223,
Davis,Clinton 08,Ballots Cast,,,,205,0,6,1,212,
Davis,Clinton 09,Ballots Cast,,,,203,0,18,2,223,
Davis,Clinton 10,Ballots Cast,,,,43,0,2,0,45,
Davis,Clinton 11,Ballots Cast,,,,230,0,17,1,248,
Davis,Clinton 12,Ballots Cast,,,,178,0,9,3,190,
Davis,Clinton 13,Ballots Cast,,,,133,0,11,3,147,
Davis,Farmington 01,Ballots Cast,,,,162,0,11,1,174,
Davis,Farmington 02,Ballots Cast,,,,197,1,8,1,207,
Davis,Farmington 03,Ballots Cast,,,,187,0,6,0,193,
Davis,Farmington 04,Ballots Cast,,,,313,0,10,0,323,
Davis,Farmington 05,Ballots Cast,,,,290,0,11,1,302,
Davis,Farmington 06,Ballots Cast,,,,390,0,14,2,406,
Davis,Farmington 07,Ballots Cast,,,,267,0,22,2,291,
Davis,Farmington 08,Ballots Cast,,,,239,0,14,1,254,
Davis,Farmington 09,Ballots Cast,,,,415,0,14,2,431,
Davis,Farmington 10,Ballots Cast,,,,353,2,28,2,385,
Davis,Farmington 11,Ballots Cast,,,,334,0,17,3,354,
Davis,Farmington 12,Ballots Cast,,,,200,0,7,2,209,
Davis,Farmington 13,Ballots Cast,,,,202,0,15,0,217,
Davis,Farmington 14,Ballots Cast,,,,183,0,5,0,188,
Davis,Farmington 15,Ballots Cast,,,,195,0,11,0,206,
Davis,Farmington 16,Ballots Cast,,,,143,0,7,3,153,
Davis,Fruit Heights 01,Ballots Cast,,,,232,0,9,2,243,
Davis,Fruit Heights 02,Ballots Cast,,,,301,0,17,1,319,
Davis,Fruit Heights 03,Ballots Cast,,,,420,0,28,1,449,
Davis,Fruit Heights 04,Ballots Cast,,,,246,0,20,1,267,
Davis,Fruit Heights 05,Ballots Cast,,,,208,0,8,0,216,
Davis,Hill A.F.B. 01,Ballots Cast,,,,3,0,0,0,3,
Davis,Hill A.F.B. 02,Ballots Cast,,,,1,0,0,0,1,
Davis,Hill A.F.B. 03,Ballots Cast,,,,0,0,0,0,0,
Davis,Kaysville 01,Ballots Cast,,,,353,4,19,2,378,
Davis,Kaysville 02,Ballots Cast,,,,436,0,14,0,450,
Davis,Kaysville 03,Ballots Cast,,,,330,0,15,1,346,
Davis,Kaysville 04,Ballots Cast,,,,203,0,15,0,218,
Davis,Kaysville 05,Ballots Cast,,,,258,1,8,0,267,
Davis,Kaysville 06,Ballots Cast,,,,294,0,10,0,304,
Davis,Kaysville 07,Ballots Cast,,,,285,2,14,0,301,
Davis,Kaysville 08,Ballots Cast,,,,262,0,19,0,281,
Davis,Kaysville 09,Ballots Cast,,,,254,0,9,0,263,
Davis,Kaysville 10,Ballots Cast,,,,361,0,19,3,383,
Davis,Kaysville 11,Ballots Cast,,,,458,0,13,0,471,
Davis,Kaysville 12,Ballots Cast,,,,266,0,8,1,275,
Davis,Kaysville 13,Ballots Cast,,,,245,0,13,2,260,
Davis,Kaysville 14,Ballots Cast,,,,303,0,11,0,314,
Davis,Kaysville 15,Ballots Cast,,,,260,0,9,0,269,
Davis,Kaysville 16,Ballots Cast,,,,273,0,10,0,283,
Davis,Kaysville 17,Ballots Cast,,,,330,0,11,0,341,
Davis,Kaysville 18,Ballots Cast,,,,255,3,7,0,265,
Davis,Kaysville 19,Ballots Cast,,,,275,0,14,2,291,
Davis,Kaysville 20,Ballots Cast,,,,225,0,11,0,236,
Davis,Kaysville 21,Ballots Cast,,,,241,0,5,1,247,
Davis,Kaysville 22,Ballots Cast,,,,263,0,12,0,275,
Davis,Layton 01,Ballots Cast,,,,214,1,6,0,221,
Davis,Layton 02,Ballots Cast,,,,298,2,9,0,309,
Davis,Layton 03,Ballots Cast,,,,129,0,9,0,138,
Davis,Layton 04,Ballots Cast,,,,132,0,4,0,136,
Davis,Layton 05,Ballots Cast,,,,147,0,6,0,153,
Davis,Layton 06,Ballots Cast,,,,305,0,10,3,318,
Davis,Layton 07,Ballots Cast,,,,270,0,12,0,282,
Davis,Layton 08,Ballots Cast,,,,128,0,8,2,138,
Davis,Layton 09,Ballots Cast,,,,187,1,8,1,197,
Davis,Layton 10,Ballots Cast,,,,158,0,12,2,172,
Davis,Layton 11,Ballots Cast,,,,148,0,11,0,159,
Davis,Layton 12,Ballots Cast,,,,282,0,18,2,302,
Davis,Layton 13,Ballots Cast,,,,149,0,9,1,159,
Davis,Layton 14,Ballots Cast,,,,94,0,12,0,106,
Davis,Layton 15,Ballots Cast,,,,187,0,12,1,200,
Davis,Layton 16,Ballots Cast,,,,118,0,7,3,128,
Davis,Layton 17,Ballots Cast,,,,133,0,13,1,147,
Davis,Layton 18,Ballots Cast,,,,189,0,5,2,196,
Davis,Layton 19,Ballots Cast,,,,212,1,19,1,233,
Davis,Layton 20,Ballots Cast,,,,368,0,15,0,383,
Davis,Layton 21,Ballots Cast,,,,231,1,4,0,236,
Davis,Layton 22,Ballots Cast,,,,294,1,6,4,305,
Davis,Layton 23,Ballots Cast,,,,341,0,10,0,351,
Davis,Layton 24,Ballots Cast,,,,316,0,12,0,328,
Davis,Layton 25,Ballots Cast,,,,136,0,6,0,142,
Davis,Layton 26,Ballots Cast,,,,346,2,20,1,369,
Davis,Layton 27,Ballots Cast,,,,191,0,5,1,197,
Davis,Layton 28,Ballots Cast,,,,95,0,12,0,107,
Davis,Layton 29,Ballots Cast,,,,70,0,4,0,74,
Davis,Layton 30,Ballots Cast,,,,156,0,23,0,179,
Davis,Layton 31,Ballots Cast,,,,230,0,12,0,242,
Davis,Layton 32,Ballots Cast,,,,189,0,11,0,200,
Davis,Layton 33,Ballots Cast,,,,207,1,8,0,216,
Davis,Layton 34,Ballots Cast,,,,176,0,6,0,182,
Davis,Layton 35,Ballots Cast,,,,195,0,11,0,206,
Davis,Layton 36,Ballots Cast,,,,332,0,23,0,355,
Davis,Layton 37,Ballots Cast,,,,265,0,21,0,286,
Davis,Layton 38,Ballots Cast,,,,231,0,15,1,247,
Davis,Layton 39,Ballots Cast,,,,207,0,24,0,231,
Davis,Layton 40,Ballots Cast,,,,255,0,21,0,276,
Davis,Layton 41,Ballots Cast,,,,355,0,22,2,379,
Davis,Layton 42,Ballots Cast,,,,164,0,11,0,175,
Davis,Layton 43,Ballots Cast,,,,190,0,17,5,212,
Davis,Layton 44,Ballots Cast,,,,253,0,9,1,263,
Davis,Layton 45,Ballots Cast,,,,163,0,5,0,168,
Davis,Layton 46,Ballots Cast,,,,226,0,16,1,243,
Davis,Layton 47,Ballots Cast,,,,197,0,9,0,206,
Davis,No. Salt Lake 01,Ballots Cast,,,,214,0,20,6,240,
Davis,No. Salt Lake 02,Ballots Cast,,,,250,0,12,3,265,
Davis,No. Salt Lake 03,Ballots Cast,,,,182,0,20,1,203,
Davis,No. Salt Lake 04,Ballots Cast,,,,173,0,12,1,186,
Davis,No. Salt Lake 05,Ballots Cast,,,,277,2,24,3,306,
Davis,No. Salt Lake 06,Ballots Cast,,,,247,1,15,0,263,
Davis,No. Salt Lake 07,Ballots Cast,,,,96,0,7,0,103,
Davis,No. Salt Lake 08,Ballots Cast,,,,231,0,10,2,243,
Davis,No. Salt Lake 09,Ballots Cast,,,,214,0,12,0,226,
Davis,No. Salt Lake 10,Ballots Cast,,,,143,0,13,0,156,
Davis,No. Salt Lake 11,Ballots Cast,,,,221,0,7,0,228,
Davis,Sunset 01,Ballots Cast,,,,107,1,9,1,118,
Davis,Sunset 02,Ballots Cast,,,,145,0,15,3,163,
Davis,Sunset 03,Ballots Cast,,,,202,0,19,1,222,
Davis,South Weber 01,Ballots Cast,,,,310,0,14,0,324,
Davis,South Weber 02,Ballots Cast,,,,301,0,17,2,320,
Davis,South Weber 03,Ballots Cast,,,,390,0,27,0,417,
Davis,South Weber 04,Ballots Cast,,,,1,0,0,0,1,
Davis,Syracuse 01,Ballots Cast,,,,256,0,16,1,273,
Davis,Syracuse 02,Ballots Cast,,,,191,0,5,1,197,
Davis,Syracuse 03,Ballots Cast,,,,191,0,17,0,208,
Davis,Syracuse 04,Ballots Cast,,,,276,0,21,1,298,
Davis,Syracuse 05,Ballots Cast,,,,197,0,9,1,207,
Davis,Syracuse 06,Ballots Cast,,,,177,0,5,0,182,
Davis,Syracuse 07,Ballots Cast,,,,123,0,6,2,131,
Davis,Syracuse 08,Ballots Cast,,,,268,0,18,0,286,
Davis,Syracuse 09,Ballots Cast,,,,210,0,7,0,217,
Davis,Syracuse 10,Ballots Cast,,,,224,0,30,2,256,
Davis,Syracuse 11,Ballots Cast,,,,216,0,10,0,226,
Davis,Syracuse 12,Ballots Cast,,,,337,0,20,2,359,
Davis,Syracuse 13,Ballots Cast,,,,212,0,22,2,236,
Davis,Syracuse 14,Ballots Cast,,,,169,1,20,1,191,
Davis,Syracuse 15,Ballots Cast,,,,0,0,0,0,0,
Davis,Syracuse 16,Ballots Cast,,,,258,0,17,0,275,
Davis,Syracuse 17,Ballots Cast,,,,195,0,13,1,209,
Davis,Syracuse 18,Ballots Cast,,,,325,0,18,0,343,
Davis,Syracuse 19,Ballots Cast,,,,161,0,10,0,171,
Davis,West Bountiful 01,Ballots Cast,,,,172,0,19,0,191,
Davis,West Bountiful 02,Ballots Cast,,,,255,1,30,1,287,
Davis,West Bountiful 03,Ballots Cast,,,,251,0,23,5,279,
Davis,West Bountiful 04,Ballots Cast,,,,107,0,5,0,112,
Davis,West Point 01,Ballots Cast,,,,235,0,26,5,266,
Davis,West Point 02,Ballots Cast,,,,168,0,16,0,184,
Davis,West Point 03,Ballots Cast,,,,186,0,19,0,205,
Davis,West Point 04,Ballots Cast,,,,220,0,22,0,242,
Davis,West Point 05,Ballots Cast,,,,230,0,25,4,259,
Davis,West Point 06,Ballots Cast,,,,123,0,17,0,140,
Davis,West Point 07,Ballots Cast,,,,81,0,2,0,83,
Davis,West Point 08,Ballots Cast,,,,154,0,3,0,157,
Davis,Woods Cross 01,Ballots Cast,,,,105,0,10,1,116,
Davis,Woods Cross 02,Ballots Cast,,,,260,0,26,2,288,
Davis,Woods Cross 03,Ballots Cast,,,,277,0,23,1,301,
Davis,Woods Cross 04,Ballots Cast,,,,91,0,2,0,93,
Davis,Woods Cross 05,Ballots Cast,,,,137,0,16,1,154,
Davis,Woods Cross 06,Ballots Cast,,,,95,0,5,0,100,
