county,office,district,party,candidate,precinct,votes,absentee,mail,election_day,provisional
Cache,Registered Voters,,,,NORTH LOGAN 04,888,,,,
Cache,Registered Voters,,,,NORTH LOGAN 05,821,,,,
Cache,Registered Voters,,,,NORTH LOGAN 06,754,,,,
Cache,Registered Voters,,,,PARADISE,992,,,,
Cache,Registered Voters,,,,PROVIDENCE 01,836,,,,
Cache,Registered Voters,,,,PROVIDENCE 02,1097,,,,
Cache,Registered Voters,,,,PROVIDENCE 03,867,,,,
Cache,Registered Voters,,,,PROVIDENCE 04,688,,,,
Cache,Registered Voters,,,,PROVIDENCE 05,649,,,,
Cache,Registered Voters,,,,RICHMOND 01,632,,,,
Cache,Registered Voters,,,,RICHMOND 02,687,,,,
Cache,Registered Voters,,,,RIVER HEIGHTS 01,453,,,,
Cache,Registered Voters,,,,RIVER HEIGHTS 02,641,,,,
Cache,Registered Voters,,,,SMITHFIELD 01,713,,,,
Cache,Registered Voters,,,,SMITHFIELD 02,773,,,,
Cache,Registered Voters,,,,SMITHFIELD 03,871,,,,
Cache,Registered Voters,,,,SMITHFIELD 04,889,,,,
Cache,Registered Voters,,,,SMITHFIELD 05,861,,,,
Cache,Registered Voters,,,,SMITHFIELD 06,721,,,,
Cache,Registered Voters,,,,SMITHFIELD 07,944,,,,
Cache,Registered Voters,,,,TRENTON,271,,,,
Cache,Registered Voters,,,,WELLSVILLE 01,513,,,,
Cache,Registered Voters,,,,WELLSVILLE 02,699,,,,
Cache,Registered Voters,,,,WELLSVILLE 03,528,,,,
Cache,Registered Voters,,,,WELLSVILLE 04,695,,,,
Cache,Ballots Cast,,,,LOGAN 01,376,0,324,0,52
Cache,Ballots Cast,,,,LOGAN 02,491,0,441,0,50
Cache,Ballots Cast,,,,LOGAN 03,593,0,535,0,58
Cache,Ballots Cast,,,,LOGAN 04,512,0,464,0,48
Cache,Ballots Cast,,,,LOGAN 05,761,0,714,2,45
Cache,Ballots Cast,,,,LOGAN 06,500,0,447,0,53
Cache,Ballots Cast,,,,LOGAN 07,278,0,232,0,46
Cache,Ballots Cast,,,,LOGAN 08,232,0,198,0,34
Cache,Ballots Cast,,,,LOGAN 09,435,0,388,0,47
Cache,Ballots Cast,,,,LOGAN 10,346,0,285,0,61
Cache,Ballots Cast,,,,LOGAN 11,373,0,329,0,44
Cache,Ballots Cast,,,,LOGAN 12,281,0,208,0,73
Cache,Ballots Cast,,,,LOGAN 13,736,0,697,0,39
Cache,Ballots Cast,,,,LOGAN 14,485,0,460,0,25
Cache,Ballots Cast,,,,LOGAN 15,428,0,347,0,81
Cache,Ballots Cast,,,,LOGAN 16,524,0,467,0,57
Cache,Ballots Cast,,,,LOGAN 17,549,0,477,0,72
Cache,Ballots Cast,,,,LOGAN 18,347,0,247,0,100
Cache,Ballots Cast,,,,LOGAN 19,354,0,313,0,41
Cache,Ballots Cast,,,,LOGAN 20,712,0,646,0,66
Cache,Ballots Cast,,,,LOGAN 21,450,0,441,0,9
Cache,Ballots Cast,,,,LOGAN 22,786,0,756,0,30
Cache,Ballots Cast,,,,LOGAN 23,429,0,311,0,118
Cache,Ballots Cast,,,,LOGAN 24,278,0,259,0,19
Cache,Ballots Cast,,,,LOGAN 25,539,0,489,0,50
Cache,Ballots Cast,,,,LOGAN 26,499,0,463,0,36
Cache,Ballots Cast,,,,LOGAN 27,669,0,584,1,84
Cache,Ballots Cast,,,,LOGAN 28,231,0,172,0,59
Cache,Ballots Cast,,,,LOGAN 29,765,0,737,0,28
Cache,Ballots Cast,,,,LOGAN 30,645,0,541,0,104
Cache,Ballots Cast,,,,LOGAN 31,475,0,399,0,76
Cache,Ballots Cast,,,,LOGAN 32,286,0,261,0,25
Cache,Ballots Cast,,,,LOGAN 33,637,0,576,0,61
Cache,Ballots Cast,,,,AMALGA,208,0,193,0,15
Cache,Ballots Cast,,,,BENSON,325,0,313,0,12
Cache,Ballots Cast,,,,CLARKSTON,316,0,294,0,22
Cache,Ballots Cast,,,,COLLEGE/YOUNG WARD,441,0,424,0,17
Cache,Ballots Cast,,,,CORNISH,107,0,102,0,5
Cache,Ballots Cast,,,,COVE,274,0,261,0,13
Cache,Ballots Cast,,,,HYDE PARK 01,1193,0,1145,0,48
Cache,Ballots Cast,,,,HYDE PARK 02,1068,0,1022,0,46
Cache,Ballots Cast,,,,HYRUM 01,670,0,621,0,49
Cache,Ballots Cast,,,,HYRUM 02,369,0,349,0,20
Cache,Ballots Cast,,,,HYRUM 03,708,0,679,0,29
Cache,Ballots Cast,,,,HYRUM 04,857,0,815,0,42
Cache,Ballots Cast,,,,HYRUM 05,547,0,503,0,44
Cache,Ballots Cast,,,,LEWISTON 01,477,0,459,0,18
Cache,Ballots Cast,,,,LEWISTON 02,288,0,275,0,13
Cache,Ballots Cast,,,,MENDON 01,85,0,78,0,7
Cache,Ballots Cast,,,,MENDON 02,1055,0,984,0,71
Cache,Ballots Cast,,,,MILLVILLE 17,115,0,109,0,6
Cache,Ballots Cast,,,,MILLVILLE 25,802,0,764,0,38
Cache,Ballots Cast,,,,NEWTON,466,0,452,0,14
Cache,Ballots Cast,,,,NIBLEY 01,978,0,867,0,111
Cache,Ballots Cast,,,,NIBLEY 03,920,0,865,0,55
Cache,Ballots Cast,,,,Nibley 17,649,0,604,0,45
Cache,Ballots Cast,,,,Nibley 25,19,0,18,0,1
Cache,Ballots Cast,,,,NORTH LOGAN 01,798,0,669,0,129
Cache,Ballots Cast,,,,NORTH LOGAN 02,597,0,568,0,29
Cache,Ballots Cast,,,,NORTH LOGAN 03,674,0,648,0,26
Cache,Ballots Cast,,,,NORTH LOGAN 04,802,0,774,0,28
Cache,Ballots Cast,,,,NORTH LOGAN 05,732,0,707,0,25
Cache,Ballots Cast,,,,NORTH LOGAN 06,662,0,625,0,37
Cache,Ballots Cast,,,,PARADISE,863,0,821,0,42
Cache,Ballots Cast,,,,PROVIDENCE 01,732,0,698,0,34
Cache,Ballots Cast,,,,PROVIDENCE 02,963,0,937,0,26
Cache,Ballots Cast,,,,PROVIDENCE 03,751,0,727,0,24
Cache,Ballots Cast,,,,PROVIDENCE 04,598,0,560,0,38
Cache,Ballots Cast,,,,PROVIDENCE 05,573,0,544,0,29
Cache,Ballots Cast,,,,RICHMOND 01,522,0,486,0,36
Cache,Ballots Cast,,,,RICHMOND 02,615,0,589,0,26
Cache,Ballots Cast,,,,RIVER HEIGHTS 01,385,0,371,0,14
Cache,Ballots Cast,,,,RIVER HEIGHTS 02,561,0,544,0,17
Cache,Ballots Cast,,,,SMITHFIELD 01,620,0,566,0,54
Cache,Ballots Cast,,,,SMITHFIELD 02,686,0,639,0,47
Cache,Ballots Cast,,,,SMITHFIELD 03,764,0,700,0,64
Cache,Ballots Cast,,,,SMITHFIELD 04,795,0,743,0,52
Cache,Ballots Cast,,,,SMITHFIELD 05,739,0,678,0,61
Cache,Ballots Cast,,,,SMITHFIELD 06,596,0,555,0,41
Cache,Ballots Cast,,,,SMITHFIELD 07,822,0,745,0,77
Cache,Ballots Cast,,,,TRENTON,236,0,221,0,15
Cache,Ballots Cast,,,,WELLSVILLE 01,435,0,412,0,23
Cache,Ballots Cast,,,,WELLSVILLE 02,604,0,582,0,22
Cache,Ballots Cast,,,,WELLSVILLE 03,436,0,425,0,11
Cache,Ballots Cast,,,,WELLSVILLE 04,610,0,591,0,19
Cache,Straight Party,,IAP,,LOGAN 01,16,0,9,0,7
Cache,Straight Party,,IAP,,LOGAN 02,11,0,5,0,6
Cache,Straight Party,,IAP,,LOGAN 03,15,0,11,0,4
Cache,Straight Party,,IAP,,LOGAN 04,11,0,6,0,5
Cache,Straight Party,,IAP,,LOGAN 05,18,0,16,0,2
Cache,Straight Party,,IAP,,LOGAN 06,18,0,14,0,4
Cache,Straight Party,,IAP,,LOGAN 07,18,0,12,0,6
Cache,Straight Party,,IAP,,LOGAN 08,4,0,2,0,2
Cache,Straight Party,,IAP,,LOGAN 09,9,0,7,0,2
Cache,Straight Party,,IAP,,LOGAN 10,10,0,5,0,5
Cache,Straight Party,,IAP,,LOGAN 11,5,0,4,0,1
Cache,Straight Party,,IAP,,LOGAN 12,18,0,13,0,5
Cache,Straight Party,,IAP,,LOGAN 13,13,0,9,0,4
Cache,Straight Party,,IAP,,LOGAN 14,11,0,9,0,2
Cache,Straight Party,,IAP,,LOGAN 15,19,0,10,0,9
Cache,Straight Party,,IAP,,LOGAN 16,16,0,13,0,3
Cache,Straight Party,,IAP,,LOGAN 17,17,0,12,0,5
Cache,Straight Party,,IAP,,LOGAN 18,26,0,12,0,14
Cache,Straight Party,,IAP,,LOGAN 19,18,0,13,0,5
Cache,Straight Party,,IAP,,LOGAN 20,18,0,8,0,10
Cache,Straight Party,,IAP,,LOGAN 21,8,0,7,0,1
Cache,Straight Party,,IAP,,LOGAN 22,11,0,11,0,0
Cache,Straight Party,,IAP,,LOGAN 23,18,0,11,0,7
Cache,Straight Party,,IAP,,LOGAN 24,9,0,9,0,0
Cache,Straight Party,,IAP,,LOGAN 25,19,0,16,0,3
Cache,Straight Party,,IAP,,LOGAN 26,14,0,11,0,3
Cache,Straight Party,,IAP,,LOGAN 27,25,0,13,0,12
Cache,Straight Party,,IAP,,LOGAN 28,11,0,7,0,4
Cache,Straight Party,,IAP,,LOGAN 29,18,0,15,0,3
Cache,Straight Party,,IAP,,LOGAN 30,23,0,18,0,5
Cache,Straight Party,,IAP,,LOGAN 31,19,0,8,0,11
Cache,Straight Party,,IAP,,LOGAN 32,5,0,3,0,2
Cache,Straight Party,,IAP,,LOGAN 33,18,0,15,0,3
Cache,Straight Party,,IAP,,AMALGA,4,0,3,0,1
Cache,Straight Party,,IAP,,BENSON,7,0,7,0,0
Cache,Straight Party,,IAP,,CLARKSTON,1,0,1,0,0
Cache,Straight Party,,IAP,,COLLEGE/YOUNG WARD,8,0,6,0,2
Cache,Straight Party,,IAP,,CORNISH,1,0,1,0,0
Cache,Straight Party,,IAP,,COVE,2,0,0,0,2
Cache,Straight Party,,IAP,,HYDE PARK 01,18,0,15,0,3
Cache,Straight Party,,IAP,,HYDE PARK 02,6,0,4,0,2
Cache,Straight Party,,IAP,,HYRUM 01,13,0,9,0,4
Cache,Straight Party,,IAP,,HYRUM 02,4,0,4,0,0
Cache,Straight Party,,IAP,,HYRUM 03,11,0,10,0,1
Cache,Straight Party,,IAP,,HYRUM 04,22,0,21,0,1
Cache,Straight Party,,IAP,,HYRUM 05,12,0,12,0,0
Cache,Straight Party,,IAP,,LEWISTON 01,4,0,3,0,1
Cache,Straight Party,,IAP,,LEWISTON 02,3,0,3,0,0
Cache,Straight Party,,IAP,,MENDON 01,3,0,2,0,1
Cache,Straight Party,,IAP,,MENDON 02,19,0,17,0,2
Cache,Straight Party,,IAP,,MILLVILLE 17,0,0,0,0,0
Cache,Straight Party,,IAP,,MILLVILLE 25,13,0,11,0,2
Cache,Straight Party,,IAP,,NEWTON,9,0,6,0,3
Cache,Straight Party,,IAP,,NIBLEY 01,19,0,12,0,7
Cache,Straight Party,,IAP,,NIBLEY 03,13,0,11,0,2
Cache,Straight Party,,IAP,,Nibley 17,10,0,8,0,2
Cache,Straight Party,,IAP,,Nibley 25,0,0,0,0,0
Cache,Straight Party,,IAP,,NORTH LOGAN 01,30,0,14,0,16
Cache,Straight Party,,IAP,,NORTH LOGAN 02,21,0,17,0,4
Cache,Straight Party,,IAP,,NORTH LOGAN 03,8,0,8,0,0
Cache,Straight Party,,IAP,,NORTH LOGAN 04,9,0,7,0,2
Cache,Straight Party,,IAP,,NORTH LOGAN 05,5,0,5,0,0
Cache,Straight Party,,IAP,,NORTH LOGAN 06,9,0,9,0,0
Cache,Straight Party,,IAP,,PARADISE,14,0,11,0,3
Cache,Straight Party,,IAP,,PROVIDENCE 01,9,0,9,0,0
Cache,Straight Party,,IAP,,PROVIDENCE 02,8,0,6,0,2
Cache,Straight Party,,IAP,,PROVIDENCE 03,16,0,13,0,3
Cache,Straight Party,,IAP,,PROVIDENCE 04,9,0,7,0,2
Cache,Straight Party,,IAP,,PROVIDENCE 05,11,0,11,0,0
Cache,Straight Party,,IAP,,RICHMOND 01,5,0,4,0,1
Cache,Straight Party,,IAP,,RICHMOND 02,8,0,8,0,0
Cache,Straight Party,,IAP,,RIVER HEIGHTS 01,6,0,5,0,1
Cache,Straight Party,,IAP,,RIVER HEIGHTS 02,4,0,4,0,0
Cache,Straight Party,,IAP,,SMITHFIELD 01,7,0,4,0,3
Cache,Straight Party,,IAP,,SMITHFIELD 02,12,0,9,0,3
Cache,Straight Party,,IAP,,SMITHFIELD 03,18,0,13,0,5
Cache,Straight Party,,IAP,,SMITHFIELD 04,9,0,8,0,1
Cache,Straight Party,,IAP,,SMITHFIELD 05,12,0,10,0,2
Cache,Straight Party,,IAP,,SMITHFIELD 06,13,0,10,0,3
Cache,Straight Party,,IAP,,SMITHFIELD 07,14,0,11,0,3
Cache,Straight Party,,IAP,,TRENTON,10,0,10,0,0
Cache,Straight Party,,IAP,,WELLSVILLE 01,9,0,8,0,1
Cache,Straight Party,,IAP,,WELLSVILLE 02,4,0,4,0,0
Cache,Straight Party,,IAP,,WELLSVILLE 03,9,0,9,0,0
Cache,Straight Party,,IAP,,WELLSVILLE 04,10,0,9,0,1
Cache,Straight Party,,DEM,,LOGAN 01,29,0,22,0,7
Cache,Straight Party,,DEM,,LOGAN 02,54,0,49,0,5
Cache,Straight Party,,DEM,,LOGAN 03,63,0,48,0,15
Cache,Straight Party,,DEM,,LOGAN 04,34,0,26,0,8
Cache,Straight Party,,DEM,,LOGAN 05,82,0,69,1,12
Cache,Straight Party,,DEM,,LOGAN 06,40,0,35,0,5
Cache,Straight Party,,DEM,,LOGAN 07,22,0,15,0,7
Cache,Straight Party,,DEM,,LOGAN 08,17,0,16,0,1
Cache,Straight Party,,DEM,,LOGAN 09,39,0,36,0,3
Cache,Straight Party,,DEM,,LOGAN 10,23,0,17,0,6
Cache,Straight Party,,DEM,,LOGAN 11,16,0,13,0,3
Cache,Straight Party,,DEM,,LOGAN 12,28,0,20,0,8
Cache,Straight Party,,DEM,,LOGAN 13,49,0,45,0,4
Cache,Straight Party,,DEM,,LOGAN 14,40,0,35,0,5
Cache,Straight Party,,DEM,,LOGAN 15,23,0,18,0,5
Cache,Straight Party,,DEM,,LOGAN 16,44,0,37,0,7
Cache,Straight Party,,DEM,,LOGAN 17,32,0,24,0,8
Cache,Straight Party,,DEM,,LOGAN 18,16,0,13,0,3
Cache,Straight Party,,DEM,,LOGAN 19,10,0,10,0,0
Cache,Straight Party,,DEM,,LOGAN 20,29,0,26,0,3
Cache,Straight Party,,DEM,,LOGAN 21,32,0,31,0,1
Cache,Straight Party,,DEM,,LOGAN 22,40,0,37,0,3
Cache,Straight Party,,DEM,,LOGAN 23,34,0,20,0,14
Cache,Straight Party,,DEM,,LOGAN 24,21,0,16,0,5
Cache,Straight Party,,DEM,,LOGAN 25,32,0,27,0,5
Cache,Straight Party,,DEM,,LOGAN 26,27,0,26,0,1
Cache,Straight Party,,DEM,,LOGAN 27,44,0,33,1,10
Cache,Straight Party,,DEM,,LOGAN 28,11,0,6,0,5
Cache,Straight Party,,DEM,,LOGAN 29,47,0,45,0,2
Cache,Straight Party,,DEM,,LOGAN 30,41,0,31,0,10
Cache,Straight Party,,DEM,,LOGAN 31,25,0,22,0,3
Cache,Straight Party,,DEM,,LOGAN 32,15,0,13,0,2
Cache,Straight Party,,DEM,,LOGAN 33,35,0,32,0,3
Cache,Straight Party,,DEM,,AMALGA,6,0,6,0,0
Cache,Straight Party,,DEM,,BENSON,12,0,12,0,0
Cache,Straight Party,,DEM,,CLARKSTON,8,0,8,0,0
Cache,Straight Party,,DEM,,COLLEGE/YOUNG WARD,8,0,8,0,0
Cache,Straight Party,,DEM,,CORNISH,3,0,2,0,1
Cache,Straight Party,,DEM,,COVE,9,0,9,0,0
Cache,Straight Party,,DEM,,HYDE PARK 01,23,0,22,0,1
Cache,Straight Party,,DEM,,HYDE PARK 02,38,0,36,0,2
Cache,Straight Party,,DEM,,HYRUM 01,42,0,37,0,5
Cache,Straight Party,,DEM,,HYRUM 02,18,0,15,0,3
Cache,Straight Party,,DEM,,HYRUM 03,31,0,23,0,8
Cache,Straight Party,,DEM,,HYRUM 04,33,0,25,0,8
Cache,Straight Party,,DEM,,HYRUM 05,25,0,19,0,6
Cache,Straight Party,,DEM,,LEWISTON 01,10,0,10,0,0
Cache,Straight Party,,DEM,,LEWISTON 02,2,0,2,0,0
Cache,Straight Party,,DEM,,MENDON 01,2,0,2,0,0
Cache,Straight Party,,DEM,,MENDON 02,14,0,14,0,0
Cache,Straight Party,,DEM,,MILLVILLE 17,1,0,0,0,1
Cache,Straight Party,,DEM,,MILLVILLE 25,20,0,19,0,1
Cache,Straight Party,,DEM,,NEWTON,9,0,9,0,0
Cache,Straight Party,,DEM,,NIBLEY 01,37,0,26,0,11
Cache,Straight Party,,DEM,,NIBLEY 03,18,0,15,0,3
Cache,Straight Party,,DEM,,Nibley 17,18,0,17,0,1
Cache,Straight Party,,DEM,,Nibley 25,1,0,0,0,1
Cache,Straight Party,,DEM,,NORTH LOGAN 01,45,0,35,0,10
Cache,Straight Party,,DEM,,NORTH LOGAN 02,33,0,25,0,8
Cache,Straight Party,,DEM,,NORTH LOGAN 03,25,0,23,0,2
Cache,Straight Party,,DEM,,NORTH LOGAN 04,34,0,34,0,0
Cache,Straight Party,,DEM,,NORTH LOGAN 05,22,0,21,0,1
Cache,Straight Party,,DEM,,NORTH LOGAN 06,33,0,32,0,1
Cache,Straight Party,,DEM,,PARADISE,19,0,18,0,1
Cache,Straight Party,,DEM,,PROVIDENCE 01,13,0,12,0,1
Cache,Straight Party,,DEM,,PROVIDENCE 02,36,0,36,0,0
Cache,Straight Party,,DEM,,PROVIDENCE 03,14,0,14,0,0
Cache,Straight Party,,DEM,,PROVIDENCE 04,23,0,22,0,1
Cache,Straight Party,,DEM,,PROVIDENCE 05,14,0,12,0,2
Cache,Straight Party,,DEM,,RICHMOND 01,16,0,14,0,2
Cache,Straight Party,,DEM,,RICHMOND 02,22,0,22,0,0
Cache,Straight Party,,DEM,,RIVER HEIGHTS 01,25,0,24,0,1
Cache,Straight Party,,DEM,,RIVER HEIGHTS 02,25,0,24,0,1
Cache,Straight Party,,DEM,,SMITHFIELD 01,10,0,8,0,2
Cache,Straight Party,,DEM,,SMITHFIELD 02,10,0,8,0,2
Cache,Straight Party,,DEM,,SMITHFIELD 03,25,0,21,0,4
Cache,Straight Party,,DEM,,SMITHFIELD 04,18,0,14,0,4
Cache,Straight Party,,DEM,,SMITHFIELD 05,13,0,11,0,2
Cache,Straight Party,,DEM,,SMITHFIELD 06,17,0,16,0,1
Cache,Straight Party,,DEM,,SMITHFIELD 07,17,0,16,0,1
Cache,Straight Party,,DEM,,TRENTON,5,0,2,0,3
Cache,Straight Party,,DEM,,WELLSVILLE 01,4,0,3,0,1
Cache,Straight Party,,DEM,,WELLSVILLE 02,19,0,17,0,2
Cache,Straight Party,,DEM,,WELLSVILLE 03,8,0,8,0,0
Cache,Straight Party,,DEM,,WELLSVILLE 04,11,0,11,0,0
Cache,Straight Party,,REP,,LOGAN 01,39,0,29,0,10
Cache,Straight Party,,REP,,LOGAN 02,60,0,50,0,10
Cache,Straight Party,,REP,,LOGAN 03,77,0,68,0,9
Cache,Straight Party,,REP,,LOGAN 04,54,0,49,0,5
Cache,Straight Party,,REP,,LOGAN 05,88,0,86,0,2
Cache,Straight Party,,REP,,LOGAN 06,73,0,64,0,9
Cache,Straight Party,,REP,,LOGAN 07,38,0,28,0,10
Cache,Straight Party,,REP,,LOGAN 08,24,0,20,0,4
Cache,Straight Party,,REP,,LOGAN 09,42,0,33,0,9
Cache,Straight Party,,REP,,LOGAN 10,39,0,30,0,9
Cache,Straight Party,,REP,,LOGAN 11,44,0,35,0,9
Cache,Straight Party,,REP,,LOGAN 12,43,0,34,0,9
Cache,Straight Party,,REP,,LOGAN 13,74,0,72,0,2
Cache,Straight Party,,REP,,LOGAN 14,52,0,51,0,1
Cache,Straight Party,,REP,,LOGAN 15,44,0,39,0,5
Cache,Straight Party,,REP,,LOGAN 16,73,0,58,0,15
Cache,Straight Party,,REP,,LOGAN 17,82,0,70,0,12
Cache,Straight Party,,REP,,LOGAN 18,70,0,43,0,27
Cache,Straight Party,,REP,,LOGAN 19,58,0,49,0,9
Cache,Straight Party,,REP,,LOGAN 20,93,0,76,0,17
Cache,Straight Party,,REP,,LOGAN 21,43,0,41,0,2
Cache,Straight Party,,REP,,LOGAN 22,98,0,95,0,3
Cache,Straight Party,,REP,,LOGAN 23,60,0,35,0,25
Cache,Straight Party,,REP,,LOGAN 24,28,0,27,0,1
Cache,Straight Party,,REP,,LOGAN 25,78,0,67,0,11
Cache,Straight Party,,REP,,LOGAN 26,62,0,51,0,11
Cache,Straight Party,,REP,,LOGAN 27,102,0,88,0,14
Cache,Straight Party,,REP,,LOGAN 28,44,0,31,0,13
Cache,Straight Party,,REP,,LOGAN 29,84,0,77,0,7
Cache,Straight Party,,REP,,LOGAN 30,121,0,90,0,31
Cache,Straight Party,,REP,,LOGAN 31,56,0,39,0,17
Cache,Straight Party,,REP,,LOGAN 32,42,0,35,0,7
Cache,Straight Party,,REP,,LOGAN 33,92,0,69,0,23
Cache,Straight Party,,REP,,AMALGA,39,0,35,0,4
Cache,Straight Party,,REP,,BENSON,61,0,57,0,4
Cache,Straight Party,,REP,,CLARKSTON,55,0,48,0,7
Cache,Straight Party,,REP,,COLLEGE/YOUNG WARD,69,0,65,0,4
Cache,Straight Party,,REP,,CORNISH,13,0,12,0,1
Cache,Straight Party,,REP,,COVE,53,0,48,0,5
Cache,Straight Party,,REP,,HYDE PARK 01,183,0,167,0,16
Cache,Straight Party,,REP,,HYDE PARK 02,150,0,141,0,9
Cache,Straight Party,,REP,,HYRUM 01,116,0,108,0,8
Cache,Straight Party,,REP,,HYRUM 02,69,0,64,0,5
Cache,Straight Party,,REP,,HYRUM 03,128,0,125,0,3
Cache,Straight Party,,REP,,HYRUM 04,177,0,162,0,15
Cache,Straight Party,,REP,,HYRUM 05,76,0,64,0,12
Cache,Straight Party,,REP,,LEWISTON 01,109,0,99,0,10
Cache,Straight Party,,REP,,LEWISTON 02,59,0,57,0,2
Cache,Straight Party,,REP,,MENDON 01,8,0,6,0,2
Cache,Straight Party,,REP,,MENDON 02,194,0,172,0,22
Cache,Straight Party,,REP,,MILLVILLE 17,28,0,25,0,3
Cache,Straight Party,,REP,,MILLVILLE 25,130,0,125,0,5
Cache,Straight Party,,REP,,NEWTON,57,0,53,0,4
Cache,Straight Party,,REP,,NIBLEY 01,176,0,155,0,21
Cache,Straight Party,,REP,,NIBLEY 03,155,0,142,0,13
Cache,Straight Party,,REP,,Nibley 17,87,0,77,0,10
Cache,Straight Party,,REP,,Nibley 25,6,0,6,0,0
Cache,Straight Party,,REP,,NORTH LOGAN 01,123,0,97,0,26
Cache,Straight Party,,REP,,NORTH LOGAN 02,74,0,69,0,5
Cache,Straight Party,,REP,,NORTH LOGAN 03,107,0,97,0,10
Cache,Straight Party,,REP,,NORTH LOGAN 04,124,0,118,0,6
Cache,Straight Party,,REP,,NORTH LOGAN 05,116,0,106,0,10
Cache,Straight Party,,REP,,NORTH LOGAN 06,81,0,74,0,7
Cache,Straight Party,,REP,,PARADISE,160,0,146,0,14
Cache,Straight Party,,REP,,PROVIDENCE 01,132,0,126,0,6
Cache,Straight Party,,REP,,PROVIDENCE 02,165,0,162,0,3
Cache,Straight Party,,REP,,PROVIDENCE 03,111,0,104,0,7
Cache,Straight Party,,REP,,PROVIDENCE 04,97,0,84,0,13
Cache,Straight Party,,REP,,PROVIDENCE 05,99,0,88,0,11
Cache,Straight Party,,REP,,RICHMOND 01,94,0,86,0,8
Cache,Straight Party,,REP,,RICHMOND 02,109,0,100,0,9
Cache,Straight Party,,REP,,RIVER HEIGHTS 01,49,0,47,0,2
Cache,Straight Party,,REP,,RIVER HEIGHTS 02,78,0,73,0,5
Cache,Straight Party,,REP,,SMITHFIELD 01,106,0,96,0,10
Cache,Straight Party,,REP,,SMITHFIELD 02,107,0,90,0,17
Cache,Straight Party,,REP,,SMITHFIELD 03,122,0,105,0,17
Cache,Straight Party,,REP,,SMITHFIELD 04,143,0,129,0,14
