precinct,office,district,party,candidate,votes
Brigham City 03,Ballots Cast,,DEM,,20
Brigham City 03,Ballots Cast,,NP,,0
Brigham City 03,Blank Ballots Cast,,,,1
Brigham City 03,U.S. Senate,,REP,MITT ROMNEY,106
Brigham City 03,U.S. Senate,,REP,MIKE KENNEDY,56
Brigham City 03,State Senate,17,REP,SCOTT SANDALL,70
Brigham City 03,State Senate,17,REP,CLARK N. DAVIS,90
Brigham City 03,Commission A,,REP,CHARLES M. YOUNG,38
Brigham City 03,Commission A,,REP,JEFF HADFIELD,118
Brigham City 03,Commission B,,REP,JON E. ADAMS,48
Brigham City 03,Commission B,,REP,JEFFREY D. SCOTT,111
Brigham City 03,U.S. House,1,DEM,LEE CASTILLO,9
Brigham City 03,U.S. House,1,DEM,KURT WEILAND,10
Brigham City 04,Registered Voters,,,,504
Brigham City 04,Registered Voters,,REP,,246
Brigham City 04,Registered Voters,,DEM,,31
Brigham City 04,Registered Voters,,NP,,227
Brigham City 04,Ballots Cast,,,,150
Brigham City 04,Ballots Cast,,REP,,132
Brigham City 04,Ballots Cast,,DEM,,18
Brigham City 04,Ballots Cast,,NP,,0
Brigham City 04,Blank Ballots Cast,,,,0
Brigham City 04,U.S. Senate,,REP,MITT ROMNEY,94
Brigham City 04,U.S. Senate,,REP,MIKE KENNEDY,38
Brigham City 04,State Senate,17,REP,SCOTT SANDALL,61
Brigham City 04,State Senate,17,REP,CLARK N. DAVIS,67
Brigham City 04,Commission A,,REP,CHARLES M. YOUNG,37
Brigham City 04,Commission A,,REP,JEFF HADFIELD,91
Brigham City 04,Commission B,,REP,JON E. ADAMS,67
Brigham City 04,Commission B,,REP,JEFFREY D. SCOTT,57
Brigham City 04,U.S. House,1,DEM,LEE CASTILLO,12
Brigham City 04,U.S. House,1,DEM,KURT WEILAND,6
Brigham City 05,Registered Voters,,,,453
Brigham City 05,Registered Voters,,REP,,214
Brigham City 05,Registered Voters,,DEM,,43
Brigham City 05,Registered Voters,,NP,,196
Brigham City 05,Ballots Cast,,,,146
Brigham City 05,Ballots Cast,,REP,,131
Brigham City 05,Ballots Cast,,DEM,,15
Brigham City 05,Ballots Cast,,NP,,0
Brigham City 05,Blank Ballots Cast,,,,0
Brigham City 05,U.S. Senate,,REP,MITT ROMNEY,86
Brigham City 05,U.S. Senate,,REP,MIKE KENNEDY,45
Brigham City 05,State Senate,17,REP,SCOTT SANDALL,50
Brigham City 05,State Senate,17,REP,CLARK N. DAVIS,80
Brigham City 05,Commission A,,REP,CHARLES M. YOUNG,50
Brigham City 05,Commission A,,REP,JEFF HADFIELD,77
Brigham City 05,Commission B,,REP,JON E. ADAMS,77
Brigham City 05,Commission B,,REP,JEFFREY D. SCOTT,52
Brigham City 05,U.S. House,1,DEM,LEE CASTILLO,15
Brigham City 05,U.S. House,1,DEM,KURT WEILAND,0
Brigham City 06,Registered Voters,,,,681
Brigham City 06,Registered Voters,,REP,,406
Brigham City 06,Registered Voters,,DEM,,28
Brigham City 06,Registered Voters,,NP,,247
Brigham City 06,Ballots Cast,,,,248
Brigham City 06,Ballots Cast,,REP,,240
Brigham City 06,Ballots Cast,,DEM,,8
Brigham City 06,Ballots Cast,,NP,,0
Brigham City 06,Blank Ballots Cast,,,,1
Brigham City 06,U.S. Senate,,REP,MITT ROMNEY,179
Brigham City 06,U.S. Senate,,REP,MIKE KENNEDY,61
Brigham City 06,State Senate,17,REP,SCOTT SANDALL,53
Brigham City 06,State Senate,17,REP,CLARK N. DAVIS,186
Brigham City 06,Commission A,,REP,CHARLES M. YOUNG,48
Brigham City 06,Commission A,,REP,JEFF HADFIELD,191
Brigham City 06,Commission B,,REP,JON E. ADAMS,94
Brigham City 06,Commission B,,REP,JEFFREY D. SCOTT,144
Brigham City 06,U.S. House,1,DEM,LEE CASTILLO,5
Brigham City 06,U.S. House,1,DEM,KURT WEILAND,2
Brigham City 07,Registered Voters,,,,583
Brigham City 07,Registered Voters,,REP,,318
Brigham City 07,Registered Voters,,DEM,,30
Brigham City 07,Registered Voters,,NP,,235
Brigham City 07,Ballots Cast,,,,214
Brigham City 07,Ballots Cast,,REP,,200
Brigham City 07,Ballots Cast,,DEM,,14
Brigham City 07,Ballots Cast,,NP,,0
Brigham City 07,Blank Ballots Cast,,,,0
Brigham City 07,U.S. Senate,,REP,MITT ROMNEY,163
Brigham City 07,U.S. Senate,,REP,MIKE KENNEDY,37
Brigham City 07,State Senate,17,REP,SCOTT SANDALL,65
Brigham City 07,State Senate,17,REP,CLARK N. DAVIS,129
Brigham City 07,Commission A,,REP,CHARLES M. YOUNG,43
Brigham City 07,Commission A,,REP,JEFF HADFIELD,151
Brigham City 07,Commission B,,REP,JON E. ADAMS,88
Brigham City 07,Commission B,,REP,JEFFREY D. SCOTT,100
Brigham City 07,U.S. House,1,DEM,LEE CASTILLO,9
Brigham City 07,U.S. House,1,DEM,KURT WEILAND,5
Brigham City 08,Registered Voters,,,,338
Brigham City 08,Registered Voters,,REP,,170
Brigham City 08,Registered Voters,,DEM,,29
Brigham City 08,Registered Voters,,NP,,139
Brigham City 08,Ballots Cast,,,,110
Brigham City 08,Ballots Cast,,REP,,104
Brigham City 08,Ballots Cast,,DEM,,6
Brigham City 08,Ballots Cast,,NP,,0
Brigham City 08,Blank Ballots Cast,,,,0
Brigham City 08,U.S. Senate,,REP,MITT ROMNEY,78
Brigham City 08,U.S. Senate,,REP,MIKE KENNEDY,26
Brigham City 08,State Senate,17,REP,SCOTT SANDALL,32
Brigham City 08,State Senate,17,REP,CLARK N. DAVIS,72
Brigham City 08,Commission A,,REP,CHARLES M. YOUNG,29
Brigham City 08,Commission A,,REP,JEFF HADFIELD,74
Brigham City 08,Commission B,,REP,JON E. ADAMS,38
Brigham City 08,Commission B,,REP,JEFFREY D. SCOTT,65
Brigham City 08,U.S. House,1,DEM,LEE CASTILLO,4
Brigham City 08,U.S. House,1,DEM,KURT WEILAND,2
Brigham City 09,Registered Voters,,,,325
Brigham City 09,Registered Voters,,REP,,197
Brigham City 09,Registered Voters,,DEM,,16
Brigham City 09,Registered Voters,,NP,,112
Brigham City 09,Ballots Cast,,,,126
Brigham City 09,Ballots Cast,,REP,,124
Brigham City 09,Ballots Cast,,DEM,,2
Brigham City 09,Ballots Cast,,NP,,0
Brigham City 09,Blank Ballots Cast,,,,0
Brigham City 09,U.S. Senate,,REP,MITT ROMNEY,90
Brigham City 09,U.S. Senate,,REP,MIKE KENNEDY,33
Brigham City 09,State Senate,17,REP,SCOTT SANDALL,57
Brigham City 09,State Senate,17,REP,CLARK N. DAVIS,67
Brigham City 09,Commission A,,REP,CHARLES M. YOUNG,34
Brigham City 09,Commission A,,REP,JEFF HADFIELD,87
Brigham City 09,Commission B,,REP,JON E. ADAMS,42
Brigham City 09,Commission B,,REP,JEFFREY D. SCOTT,79
Brigham City 09,U.S. House,1,DEM,LEE CASTILLO,0
Brigham City 09,U.S. House,1,DEM,KURT WEILAND,2
Brigham City 10,Registered Voters,,,,546
Brigham City 10,Registered Voters,,REP,,353
Brigham City 10,Registered Voters,,DEM,,17
Brigham City 10,Registered Voters,,NP,,176
Brigham City 10,Ballots Cast,,,,242
Brigham City 10,Ballots Cast,,REP,,235
Brigham City 10,Ballots Cast,,DEM,,7
Brigham City 10,Ballots Cast,,NP,,0
Brigham City 10,Blank Ballots Cast,,,,0
Brigham City 10,U.S. Senate,,REP,MITT ROMNEY,186
Brigham City 10,U.S. Senate,,REP,MIKE KENNEDY,49
Brigham City 10,State Senate,17,REP,SCOTT SANDALL,73
Brigham City 10,State Senate,17,REP,CLARK N. DAVIS,160
Brigham City 10,Commission A,,REP,CHARLES M. YOUNG,45
Brigham City 10,Commission A,,REP,JEFF HADFIELD,187
Brigham City 10,Commission B,,REP,JON E. ADAMS,81
Brigham City 10,Commission B,,REP,JEFFREY D. SCOTT,145
Brigham City 10,U.S. House,1,DEM,LEE CASTILLO,6
Brigham City 10,U.S. House,1,DEM,KURT WEILAND,1
Brigham City 11,Registered Voters,,,,429
Brigham City 11,Registered Voters,,REP,,254
Brigham City 11,Registered Voters,,DEM,,21
Brigham City 11,Registered Voters,,NP,,154
Brigham City 11,Ballots Cast,,,,174
Brigham City 11,Ballots Cast,,REP,,170
Brigham City 11,Ballots Cast,,DEM,,4
Brigham City 11,Ballots Cast,,NP,,0
Brigham City 11,Blank Ballots Cast,,,,0
Brigham City 11,U.S. Senate,,REP,MITT ROMNEY,131
Brigham City 11,U.S. Senate,,REP,MIKE KENNEDY,39
Brigham City 11,State Senate,17,REP,SCOTT SANDALL,81
Brigham City 11,State Senate,17,REP,CLARK N. DAVIS,87
Brigham City 11,Commission A,,REP,CHARLES M. YOUNG,43
Brigham City 11,Commission A,,REP,JEFF HADFIELD,125
Brigham City 11,Commission B,,REP,JON E. ADAMS,53
Brigham City 11,Commission B,,REP,JEFFREY D. SCOTT,115
Brigham City 11,U.S. House,1,DEM,LEE CASTILLO,1
Brigham City 11,U.S. House,1,DEM,KURT WEILAND,3
Brigham City 12,Registered Voters,,,,752
Brigham City 12,Registered Voters,,REP,,432
Brigham City 12,Registered Voters,,DEM,,41
Brigham City 12,Registered Voters,,NP,,279
Brigham City 12,Ballots Cast,,,,276
Brigham City 12,Ballots Cast,,REP,,260
Brigham City 12,Ballots Cast,,DEM,,16
Brigham City 12,Ballots Cast,,NP,,0
Brigham City 12,Blank Ballots Cast,,,,0
Brigham City 12,U.S. Senate,,REP,MITT ROMNEY,193
Brigham City 12,U.S. Senate,,REP,MIKE KENNEDY,67
Brigham City 12,State Senate,17,REP,SCOTT SANDALL,84
Brigham City 12,State Senate,17,REP,CLARK N. DAVIS,168
Brigham City 12,Commission A,,REP,CHARLES M. YOUNG,56
Brigham City 12,Commission A,,REP,JEFF HADFIELD,197
Brigham City 12,Commission B,,REP,JON E. ADAMS,98
Brigham City 12,Commission B,,REP,JEFFREY D. SCOTT,152
Brigham City 12,U.S. House,1,DEM,LEE CASTILLO,11
Brigham City 12,U.S. House,1,DEM,KURT WEILAND,5
Brigham City 13,Registered Voters,,,,465
Brigham City 13,Registered Voters,,REP,,238
Brigham City 13,Registered Voters,,DEM,,28
Brigham City 13,Registered Voters,,NP,,199
Brigham City 13,Ballots Cast,,,,154
Brigham City 13,Ballots Cast,,REP,,143
Brigham City 13,Ballots Cast,,DEM,,11
Brigham City 13,Ballots Cast,,NP,,0
Brigham City 13,Blank Ballots Cast,,,,0
Brigham City 13,U.S. Senate,,REP,MITT ROMNEY,91
Brigham City 13,U.S. Senate,,REP,MIKE KENNEDY,52
Brigham City 13,State Senate,17,REP,SCOTT SANDALL,66
Brigham City 13,State Senate,17,REP,CLARK N. DAVIS,74
Brigham City 13,Commission A,,REP,CHARLES M. YOUNG,50
Brigham City 13,Commission A,,REP,JEFF HADFIELD,89
Brigham City 13,Commission B,,REP,JON E. ADAMS,63
Brigham City 13,Commission B,,REP,JEFFREY D. SCOTT,70
Brigham City 13,U.S. House,1,DEM,LEE CASTILLO,3
Brigham City 13,U.S. House,1,DEM,KURT WEILAND,8
Brigham City 14,Registered Voters,,,,629
Brigham City 14,Registered Voters,,REP,,330
Brigham City 14,Registered Voters,,DEM,,34
Brigham City 14,Registered Voters,,NP,,265
Brigham City 14,Ballots Cast,,,,225
Brigham City 14,Ballots Cast,,REP,,205
Brigham City 14,Ballots Cast,,DEM,,20
Brigham City 14,Ballots Cast,,NP,,0
Brigham City 14,Blank Ballots Cast,,,,0
Brigham City 14,U.S. Senate,,REP,MITT ROMNEY,141
Brigham City 14,U.S. Senate,,REP,MIKE KENNEDY,61
Brigham City 14,State Senate,17,REP,SCOTT SANDALL,101
Brigham City 14,State Senate,17,REP,CLARK N. DAVIS,95
Brigham City 14,Commission A,,REP,CHARLES M. YOUNG,36
Brigham City 14,Commission A,,REP,JEFF HADFIELD,160
Brigham City 14,Commission B,,REP,JON E. ADAMS,55
Brigham City 14,Commission B,,REP,JEFFREY D. SCOTT,144
Brigham City 14,U.S. House,1,DEM,LEE CASTILLO,15
Brigham City 14,U.S. House,1,DEM,KURT WEILAND,5
Brigham City 15,Registered Voters,,,,646
Brigham City 15,Registered Voters,,REP,,390
Brigham City 15,Registered Voters,,DEM,,27
Brigham City 15,Registered Voters,,NP,,229
Brigham City 15,Ballots Cast,,,,267
Brigham City 15,Ballots Cast,,REP,,255
Brigham City 15,Ballots Cast,,DEM,,12
Brigham City 15,Ballots Cast,,NP,,0
Brigham City 15,Blank Ballots Cast,,,,0
Brigham City 15,U.S. Senate,,REP,MITT ROMNEY,171
Brigham City 15,U.S. Senate,,REP,MIKE KENNEDY,81
Brigham City 15,State Senate,17,REP,SCOTT SANDALL,86
Brigham City 15,State Senate,17,REP,CLARK N. DAVIS,163
Brigham City 15,Commission A,,REP,CHARLES M. YOUNG,78
Brigham City 15,Commission A,,REP,JEFF HADFIELD,171
Brigham City 15,Commission B,,REP,JON E. ADAMS,129
Brigham City 15,Commission B,,REP,JEFFREY D. SCOTT,116
Brigham City 15,U.S. House,1,DEM,LEE CASTILLO,6
Brigham City 15,U.S. House,1,DEM,KURT WEILAND,6
Brigham City North,Registered Voters,,,,246
Brigham City North,Registered Voters,,REP,,172
Brigham City North,Registered Voters,,DEM,,8
Brigham City North,Registered Voters,,NP,,66
Brigham City North,Ballots Cast,,,,123
Brigham City North,Ballots Cast,,REP,,123
Brigham City North,Ballots Cast,,DEM,,0
Brigham City North,Ballots Cast,,NP,,0
Brigham City North,Blank Ballots Cast,,,,0
Brigham City North,U.S. Senate,,REP,MITT ROMNEY,85
Brigham City North,U.S. Senate,,REP,MIKE KENNEDY,38
Brigham City North,State Senate,17,REP,SCOTT SANDALL,71
Brigham City North,State Senate,17,REP,CLARK N. DAVIS,52
Brigham City North,Commission A,,REP,CHARLES M. YOUNG,98
Brigham City North,Commission A,,REP,JEFF HADFIELD,25
Brigham City North,Commission B,,REP,JON E. ADAMS,95
Brigham City North,Commission B,,REP,JEFFREY D. SCOTT,28
Brigham City North,U.S. House,1,DEM,LEE CASTILLO,0
Brigham City North,U.S. House,1,DEM,KURT WEILAND,0
Clear Creek,Registered Voters,,,,14
Clear Creek,Registered Voters,,REP,,12
Clear Creek,Registered Voters,,DEM,,0
Clear Creek,Registered Voters,,NP,,2
Clear Creek,Ballots Cast,,,,4
Clear Creek,Ballots Cast,,REP,,4
Clear Creek,Ballots Cast,,DEM,,0
Clear Creek,Ballots Cast,,NP,,0
Clear Creek,Blank Ballots Cast,,,,0
Clear Creek,U.S. Senate,,REP,MITT ROMNEY,4
Clear Creek,U.S. Senate,,REP,MIKE KENNEDY,0
Clear Creek,State Senate,17,REP,SCOTT SANDALL,2
Clear Creek,State Senate,17,REP,CLARK N. DAVIS,1
Clear Creek,Commission A,,REP,CHARLES M. YOUNG,3
Clear Creek,Commission A,,REP,JEFF HADFIELD,0
Clear Creek,Commission B,,REP,JON E. ADAMS,1
Clear Creek,Commission B,,REP,JEFFREY D. SCOTT,2
Clear Creek,U.S. House,1,DEM,LEE CASTILLO,0
Clear Creek,U.S. House,1,DEM,KURT WEILAND,0
Corinne 1,Registered Voters,,,,521
Corinne 1,Registered Voters,,REP,,282
Corinne 1,Registered Voters,,DEM,,33
Corinne 1,Registered Voters,,NP,,206
Corinne 1,Ballots Cast,,,,125
Corinne 1,Ballots Cast,,REP,,120
Corinne 1,Ballots Cast,,DEM,,5
Corinne 1,Ballots Cast,,NP,,0
Corinne 1,Blank Ballots Cast,,,,0
Corinne 1,U.S. Senate,,REP,MITT ROMNEY,79
Corinne 1,U.S. Senate,,REP,MIKE KENNEDY,41
Corinne 1,State Senate,17,REP,SCOTT SANDALL,59
Corinne 1,State Senate,17,REP,CLARK N. DAVIS,61
Corinne 1,Commission A,,REP,CHARLES M. YOUNG,49
Corinne 1,Commission A,,REP,JEFF HADFIELD,71
Corinne 1,Commission B,,REP,JON E. ADAMS,61
Corinne 1,Commission B,,REP,JEFFREY D. SCOTT,59
Corinne 1,U.S. House,1,DEM,LEE CASTILLO,4
Corinne 1,U.S. House,1,DEM,KURT WEILAND,1
Corinne 2,Registered Voters,,,,122
Corinne 2,Registered Voters,,REP,,91
Corinne 2,Registered Voters,,DEM,,2
Corinne 2,Registered Voters,,NP,,29
Corinne 2,Ballots Cast,,,,51
Corinne 2,Ballots Cast,,REP,,50
Corinne 2,Ballots Cast,,DEM,,1
Corinne 2,Ballots Cast,,NP,,0
Corinne 2,Blank Ballots Cast,,,,0
Corinne 2,U.S. Senate,,REP,MITT ROMNEY,32
Corinne 2,U.S. Senate,,REP,MIKE KENNEDY,18
Corinne 2,State Senate,17,REP,SCOTT SANDALL,34
Corinne 2,State Senate,17,REP,CLARK N. DAVIS,16
Corinne 2,Commission A,,REP,CHARLES M. YOUNG,25
Corinne 2,Commission A,,REP,JEFF HADFIELD,25
Corinne 2,Commission B,,REP,JON E. ADAMS,26
Corinne 2,Commission B,,REP,JEFFREY D. SCOTT,23
Corinne 2,U.S. House,1,DEM,LEE CASTILLO,0
Corinne 2,U.S. House,1,DEM,KURT WEILAND,1
Deweyville,Registered Voters,,,,307
Deweyville,Registered Voters,,REP,,177
Deweyville,Registered Voters,,DEM,,11
Deweyville,Registered Voters,,NP,,119
Deweyville,Ballots Cast,,,,104
Deweyville,Ballots Cast,,REP,,99
Deweyville,Ballots Cast,,DEM,,5
Deweyville,Ballots Cast,,NP,,0
Deweyville,Blank Ballots Cast,,,,0
Deweyville,U.S. Senate,,REP,MITT ROMNEY,70
Deweyville,U.S. Senate,,REP,MIKE KENNEDY,29
Deweyville,State Senate,17,REP,SCOTT SANDALL,75
Deweyville,State Senate,17,REP,CLARK N. DAVIS,22
Deweyville,Commission A,,REP,CHARLES M. YOUNG,50
Deweyville,Commission A,,REP,JEFF HADFIELD,45
Deweyville,Commission B,,REP,JON E. ADAMS,38
Deweyville,Commission B,,REP,JEFFREY D. SCOTT,56
Deweyville,U.S. House,1,DEM,LEE CASTILLO,2
Deweyville,U.S. House,1,DEM,KURT WEILAND,3
Elwood,Registered Voters,,,,732
Elwood,Registered Voters,,REP,,457
Elwood,Registered Voters,,DEM,,12
Elwood,Registered Voters,,NP,,263
Elwood,Ballots Cast,,,,255
Elwood,Ballots Cast,,REP,,251
Elwood,Ballots Cast,,DEM,,4
Elwood,Ballots Cast,,NP,,0
Elwood,Blank Ballots Cast,,,,0
Elwood,U.S. Senate,,REP,MITT ROMNEY,183
Elwood,U.S. Senate,,REP,MIKE KENNEDY,68
Elwood,State Senate,17,REP,SCOTT SANDALL,184
Elwood,State Senate,17,REP,CLARK N. DAVIS,61
Elwood,Commission A,,REP,CHARLES M. YOUNG,97
Elwood,Commission A,,REP,JEFF HADFIELD,140
Elwood,Commission B,,REP,JON E. ADAMS,85
Elwood,Commission B,,REP,JEFFREY D. SCOTT,149
Elwood,U.S. House,1,DEM,LEE CASTILLO,2
Elwood,U.S. House,1,DEM,KURT WEILAND,2
Fielding 1,Registered Voters,,,,238
Fielding 1,Registered Voters,,REP,,159
Fielding 1,Registered Voters,,DEM,,7
Fielding 1,Registered Voters,,NP,,72
Fielding 1,Ballots Cast,,,,96
Fielding 1,Ballots Cast,,REP,,96
Fielding 1,Ballots Cast,,DEM,,0
Fielding 1,Ballots Cast,,NP,,0
Fielding 1,Blank Ballots Cast,,,,0
Fielding 1,U.S. Senate,,REP,MITT ROMNEY,67
Fielding 1,U.S. Senate,,REP,MIKE KENNEDY,29
Fielding 1,State Senate,17,REP,SCOTT SANDALL,81
Fielding 1,State Senate,17,REP,CLARK N. DAVIS,15
Fielding 1,Commission A,,REP,CHARLES M. YOUNG,42
Fielding 1,Commission A,,REP,JEFF HADFIELD,53
Fielding 1,Commission B,,REP,JON E. ADAMS,32
Fielding 1,Commission B,,REP,JEFFREY D. SCOTT,62
Fielding 1,U.S. House,1,DEM,LEE CASTILLO,0
Fielding 1,U.S. House,1,DEM,KURT WEILAND,0
Fielding 2,Registered Voters,,,,246
Fielding 2,Registered Voters,,REP,,173
Fielding 2,Registered Voters,,DEM,,5
Fielding 2,Registered Voters,,NP,,68
Fielding 2,Ballots Cast,,,,100
Fielding 2,Ballots Cast,,REP,,100
Fielding 2,Ballots Cast,,DEM,,0
Fielding 2,Ballots Cast,,NP,,0
Fielding 2,Blank Ballots Cast,,,,0
Fielding 2,U.S. Senate,,REP,MITT ROMNEY,66
Fielding 2,U.S. Senate,,REP,MIKE KENNEDY,34
Fielding 2,State Senate,17,REP,SCOTT SANDALL,77
Fielding 2,State Senate,17,REP,CLARK N. DAVIS,21
Fielding 2,Commission A,,REP,CHARLES M. YOUNG,37
Fielding 2,Commission A,,REP,JEFF HADFIELD,56
Fielding 2,Commission B,,REP,JON E. ADAMS,35
Fielding 2,Commission B,,REP,JEFFREY D. SCOTT,56
Fielding 2,U.S. House,1,DEM,LEE CASTILLO,0
Fielding 2,U.S. House,1,DEM,KURT WEILAND,0
Garland 1,Registered Voters,,,,596
Garland 1,Registered Voters,,REP,,341
Garland 1,Registered Voters,,DEM,,20
Garland 1,Registered Voters,,NP,,235
Garland 1,Ballots Cast,,,,189
Garland 1,Ballots Cast,,REP,,185
Garland 1,Ballots Cast,,DEM,,4
Garland 1,Ballots Cast,,NP,,0
Garland 1,Blank Ballots Cast,,,,0
Garland 1,U.S. Senate,,REP,MITT ROMNEY,130
Garland 1,U.S. Senate,,REP,MIKE KENNEDY,53
Garland 1,State Senate,17,REP,SCOTT SANDALL,135
Garland 1,State Senate,17,REP,CLARK N. DAVIS,46
Garland 1,Commission A,,REP,CHARLES M. YOUNG,73
Garland 1,Commission A,,REP,JEFF HADFIELD,105
Garland 1,Commission B,,REP,JON E. ADAMS,58
Garland 1,Commission B,,REP,JEFFREY D. SCOTT,119
Garland 1,U.S. House,1,DEM,LEE CASTILLO,4
Garland 1,U.S. House,1,DEM,KURT WEILAND,0
Garland 2,Registered Voters,,,,539
Garland 2,Registered Voters,,REP,,325
Garland 2,Registered Voters,,DEM,,23
Garland 2,Registered Voters,,NP,,191
Garland 2,Ballots Cast,,,,199
Garland 2,Ballots Cast,,REP,,192
Garland 2,Ballots Cast,,DEM,,7
Garland 2,Ballots Cast,,NP,,0
Garland 2,Blank Ballots Cast,,,,0
Garland 2,U.S. Senate,,REP,MITT ROMNEY,128
Garland 2,U.S. Senate,,REP,MIKE KENNEDY,64
