candidate,office,district,party,county,precinct,By Mail,Polling,Provisional,Total,
,Straight Party,,LIB,Morgan,Peterson 4.2,2,1,0,3,
,Straight Party,,REP,Morgan,Peterson 4.2,118,1,0,119,
,Straight Party,,GRN,Morgan,Peterson 4.2,0,0,0,0,
,Straight Party,,DEM,Morgan,Peterson 4.2,7,0,0,7,
,Straight Party,,IAP,Morgan,Peterson 4.2,6,0,0,6,
Tim Aalders,U.S. Senate,,CON,Morgan,Peterson 4.2,8,0,0,8,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Peterson 4.2,10,0,0,10,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Peterson 4.2,2,0,0,2,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Peterson 4.2,50,0,0,50,
Mitt Romney,U.S. Senate,,REP,Morgan,Peterson 4.2,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,Peterson 4.2,46,0,0,46,
Rob Bishop ,U. S. House,1,REP,Morgan,Peterson 4.2,431,2,0,433,
Eric Eliason,U. S. House,1,UUP,Morgan,Peterson 4.2,63,0,0,63,
Adam Davis,U. S. House,1,GRN,Morgan,Peterson 4.2,5,0,0,5,
Jason Yu,State Senate ,18,DEM,Morgan,Peterson 4.2,49,0,0,49,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Peterson 4.2,30,0,0,30,
Ann Millner ,State Senate ,18,REP,Morgan,Peterson 4.2,455,2,0,457,
Logan Wilde,State House,53,REP,Morgan,Peterson 4.2,448,2,0,450,
Christopher Neville,State House,53,DEM,Morgan,Peterson 4.2,85,0,0,85,
,Registered Voters,,,Morgan,Peterson 5.2,321,321,321,321,
,Ballots Cast,,,Morgan,Peterson 5.2,243,3,0,246,
,Straight Party,,CON,Morgan,Peterson 5.2,0,0,0,0,
,Straight Party,,UUP,Morgan,Peterson 5.2,0,0,0,0,
,Straight Party,,LIB,Morgan,Peterson 5.2,2,0,0,2,
,Straight Party,,REP,Morgan,Peterson 5.2,41,1,0,42,
,Straight Party,,GRN,Morgan,Peterson 5.2,0,0,0,0,
,Straight Party,,DEM,Morgan,Peterson 5.2,4,1,0,5,
,Straight Party,,IAP,Morgan,Peterson 5.2,1,0,0,1,
Tim Aalders,U.S. Senate,,CON,Morgan,Peterson 5.2,8,0,0,8,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Peterson 5.2,9,0,0,9,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Peterson 5.2,9,0,0,9,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Peterson 5.2,32,1,0,33,
Mitt Romney,U.S. Senate,,REP,Morgan,Peterson 5.2,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,Peterson 5.2,25,1,0,26,
Rob Bishop ,U. S. House,1,REP,Morgan,Peterson 5.2,172,2,0,174,
Eric Eliason,U. S. House,1,UUP,Morgan,Peterson 5.2,32,0,0,32,
Adam Davis,U. S. House,1,GRN,Morgan,Peterson 5.2,8,0,0,8,
Jason Yu,State Senate ,18,DEM,Morgan,Peterson 5.2,24,1,0,25,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Peterson 5.2,18,0,0,18,
Ann Millner ,State Senate ,18,REP,Morgan,Peterson 5.2,198,2,0,200,
Logan Wilde,State House,53,REP,Morgan,Peterson 5.2,207,2,0,209,
Christopher Neville,State House,53,DEM,Morgan,Peterson 5.2,31,1,0,32,
,Registered Voters,,,Morgan,Peterson 6.2,382,382,382,382,
,Ballots Cast,,,Morgan,Peterson 6.2,286,2,0,288,
,Straight Party,,CON,Morgan,Peterson 6.2,1,0,0,1,
,Straight Party,,UUP,Morgan,Peterson 6.2,0,0,0,0,
,Straight Party,,LIB,Morgan,Peterson 6.2,2,0,0,2,
,Straight Party,,REP,Morgan,Peterson 6.2,52,1,0,53,
,Straight Party,,GRN,Morgan,Peterson 6.2,0,0,0,0,
,Straight Party,,DEM,Morgan,Peterson 6.2,4,0,0,4,
,Straight Party,,IAP,Morgan,Peterson 6.2,4,0,0,4,
Tim Aalders,U.S. Senate,,CON,Morgan,Peterson 6.2,17,0,0,17,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Peterson 6.2,9,0,0,9,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Peterson 6.2,2,0,0,2,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Peterson 6.2,40,0,0,40,
Mitt Romney,U.S. Senate,,REP,Morgan,Peterson 6.2,3,0,0,3,
Lee Castillo ,U. S. House,1,DEM,Morgan,Peterson 6.2,36,0,0,36,
Rob Bishop ,U. S. House,1,REP,Morgan,Peterson 6.2,219,2,0,221,
Eric Eliason,U. S. House,1,UUP,Morgan,Peterson 6.2,22,0,0,22,
Adam Davis,U. S. House,1,GRN,Morgan,Peterson 6.2,4,0,0,4,
Jason Yu,State Senate ,18,DEM,Morgan,Peterson 6.2,39,0,0,39,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Peterson 6.2,24,0,0,24,
Ann Millner ,State Senate ,18,REP,Morgan,Peterson 6.2,216,2,0,218,
Logan Wilde,State House,53,REP,Morgan,Peterson 6.2,239,2,0,241,
Christopher Neville,State House,53,DEM,Morgan,Peterson 6.2,33,0,0,33,
,Registered Voters,,,Morgan,Canyon Creek 7.3,326,326,326,326,
,Ballots Cast,,,Morgan,Canyon Creek 7.3,264,3,0,267,
,Straight Party,,CON,Morgan,Canyon Creek 7.3,0,0,0,0,
,Straight Party,,UUP,Morgan,Canyon Creek 7.3,1,0,0,1,
,Straight Party,,LIB,Morgan,Canyon Creek 7.3,0,0,0,0,
,Straight Party,,REP,Morgan,Canyon Creek 7.3,47,1,0,48,
,Straight Party,,GRN,Morgan,Canyon Creek 7.3,0,0,0,0,
,Straight Party,,DEM,Morgan,Canyon Creek 7.3,5,0,0,5,
,Straight Party,,IAP,Morgan,Canyon Creek 7.3,5,0,0,5,
Tim Aalders,U.S. Senate,,CON,Morgan,Canyon Creek 7.3,9,0,0,9,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Canyon Creek 7.3,3,0,0,3,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Canyon Creek 7.3,2,0,0,2,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Canyon Creek 7.3,20,0,0,20,
Mitt Romney,U.S. Senate,,REP,Morgan,Canyon Creek 7.3,1,0,0,1,
Lee Castillo ,U. S. House,1,DEM,Morgan,Canyon Creek 7.3,17,0,0,17,
Rob Bishop ,U. S. House,1,REP,Morgan,Canyon Creek 7.3,227,2,0,229,
Eric Eliason,U. S. House,1,UUP,Morgan,Canyon Creek 7.3,13,1,0,14,
Adam Davis,U. S. House,1,GRN,Morgan,Canyon Creek 7.3,4,0,0,4,
Jason Yu,State Senate ,18,DEM,Morgan,Canyon Creek 7.3,11,0,0,11,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Canyon Creek 7.3,11,0,0,11,
Ann Millner ,State Senate ,18,REP,Morgan,Canyon Creek 7.3,234,3,0,237,
Logan Wilde,State House,53,REP,Morgan,Canyon Creek 7.3,241,3,0,244,
Christopher Neville,State House,53,DEM,Morgan,Canyon Creek 7.3,16,0,0,16,
,Registered Voters,,,Morgan,Canyon Creek 8.3,309,309,309,309,
,Ballots Cast,,,Morgan,Canyon Creek 8.3,254,6,0,260,
,Straight Party,,CON,Morgan,Canyon Creek 8.3,0,0,0,0,
,Straight Party,,UUP,Morgan,Canyon Creek 8.3,0,0,0,0,
,Straight Party,,LIB,Morgan,Canyon Creek 8.3,0,1,0,1,
,Straight Party,,REP,Morgan,Canyon Creek 8.3,56,2,0,58,
,Straight Party,,GRN,Morgan,Canyon Creek 8.3,0,0,0,0,
,Straight Party,,DEM,Morgan,Canyon Creek 8.3,5,0,0,5,
,Straight Party,,IAP,Morgan,Canyon Creek 8.3,4,0,0,4,
Tim Aalders,U.S. Senate,,CON,Morgan,Canyon Creek 8.3,6,0,0,6,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Canyon Creek 8.3,5,1,0,6,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Canyon Creek 8.3,0,0,0,0,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Canyon Creek 8.3,23,0,0,23,
Mitt Romney,U.S. Senate,,REP,Morgan,Canyon Creek 8.3,2,0,0,2,
Lee Castillo ,U. S. House,1,DEM,Morgan,Canyon Creek 8.3,27,0,0,27,
Rob Bishop ,U. S. House,1,REP,Morgan,Canyon Creek 8.3,206,5,0,211,
Eric Eliason,U. S. House,1,UUP,Morgan,Canyon Creek 8.3,15,1,0,16,
Adam Davis,U. S. House,1,GRN,Morgan,Canyon Creek 8.3,1,0,0,1,
Jason Yu,State Senate ,18,DEM,Morgan,Canyon Creek 8.3,24,0,0,24,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Canyon Creek 8.3,4,1,0,5,
Ann Millner ,State Senate ,18,REP,Morgan,Canyon Creek 8.3,217,5,0,222,
Logan Wilde,State House,53,REP,Morgan,Canyon Creek 8.3,226,6,0,232,
Christopher Neville,State House,53,DEM,Morgan,Canyon Creek 8.3,22,0,0,22,
,Registered Voters,,,Morgan,Canyon Creek 9.3,406,406,406,406,
,Ballots Cast,,,Morgan,Canyon Creek 9.3,322,3,0,325,
,Straight Party,,CON,Morgan,Canyon Creek 9.3,1,0,0,1,
,Straight Party,,UUP,Morgan,Canyon Creek 9.3,0,0,0,0,
,Straight Party,,LIB,Morgan,Canyon Creek 9.3,0,0,0,0,
,Straight Party,,REP,Morgan,Canyon Creek 9.3,64,0,0,64,
,Straight Party,,GRN,Morgan,Canyon Creek 9.3,0,0,0,0,
,Straight Party,,DEM,Morgan,Canyon Creek 9.3,2,1,0,3,
,Straight Party,,IAP,Morgan,Canyon Creek 9.3,3,0,0,3,
Tim Aalders,U.S. Senate,,CON,Morgan,Canyon Creek 9.3,11,0,0,11,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Canyon Creek 9.3,13,0,0,13,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Canyon Creek 9.3,2,0,0,2,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Canyon Creek 9.3,38,1,0,39,
Mitt Romney,U.S. Senate,,REP,Morgan,Canyon Creek 9.3,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,Canyon Creek 9.3,23,1,0,24,
Rob Bishop ,U. S. House,1,REP,Morgan,Canyon Creek 9.3,270,2,0,272,
Eric Eliason,U. S. House,1,UUP,Morgan,Canyon Creek 9.3,21,0,0,21,
Adam Davis,U. S. House,1,GRN,Morgan,Canyon Creek 9.3,3,0,0,3,
Jason Yu,State Senate ,18,DEM,Morgan,Canyon Creek 9.3,,,,,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Canyon Creek 9.3,,,,,
Ann Millner ,State Senate ,18,REP,Morgan,Canyon Creek 9.3,,,,,
Logan Wilde,State House,53,REP,Morgan,Canyon Creek 9.3,299,2,0,301,
Christopher Neville,State House,53,DEM,Morgan,Canyon Creek 9.3,20,1,0,21,
,Registered Voters,,,Morgan,City 10.4,469,469,469,469,
,Ballots Cast,,,Morgan,City 10.4,368,6,0,374,
,Straight Party,,CON,Morgan,City 10.4,0,0,0,0,
,Straight Party,,UUP,Morgan,City 10.4,0,0,0,0,
,Straight Party,,LIB,Morgan,City 10.4,0,0,0,0,
,Straight Party,,REP,Morgan,City 10.4,58,4,0,62,
,Straight Party,,GRN,Morgan,City 10.4,0,0,0,0,
,Straight Party,,DEM,Morgan,City 10.4,5,0,0,5,
,Straight Party,,IAP,Morgan,City 10.4,1,0,0,1,
Tim Aalders,U.S. Senate,,CON,Morgan,City 10.4,8,0,0,8,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,City 10.4,17,0,0,17,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,City 10.4,0,0,0,0,
Jenny Wilson,U. S. Senate,,DEM,Morgan,City 10.4,42,0,0,42,
Mitt Romney,U.S. Senate,,REP,Morgan,City 10.4,1,0,0,1,
Lee Castillo ,U. S. House,1,DEM,Morgan,City 10.4,34,0,0,34,
Rob Bishop ,U. S. House,1,REP,Morgan,City 10.4,294,6,0,300,
Eric Eliason,U. S. House,1,UUP,Morgan,City 10.4,31,0,0,31,
Adam Davis,U. S. House,1,GRN,Morgan,City 10.4,0,0,0,0,
Jason Yu,State Senate ,18,DEM,Morgan,City 10.4,31,0,0,31,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,City 10.4,20,0,0,20,
Ann Millner ,State Senate ,18,REP,Morgan,City 10.4,303,5,0,308,
Logan Wilde,State House,53,REP,Morgan,City 10.4,324,6,0,330,
Christopher Neville,State House,53,DEM,Morgan,City 10.4,37,0,0,37,
,Registered Voters,,,Morgan,City 11.4,235,235,235,235,
,Ballots Cast,,,Morgan,City 11.4,195,3,0,198,
,Straight Party,,CON,Morgan,City 11.4,3,0,0,3,
,Straight Party,,UUP,Morgan,City 11.4,0,0,0,0,
,Straight Party,,LIB,Morgan,City 11.4,0,0,0,0,
,Straight Party,,REP,Morgan,City 11.4,25,2,0,27,
,Straight Party,,GRN,Morgan,City 11.4,0,0,0,0,
,Straight Party,,DEM,Morgan,City 11.4,2,0,0,2,
,Straight Party,,IAP,Morgan,City 11.4,4,0,0,4,
Tim Aalders,U.S. Senate,,CON,Morgan,City 11.4,8,1,0,9,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,City 11.4,8,0,0,8,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,City 11.4,3,0,0,3,
Jenny Wilson,U. S. Senate,,DEM,Morgan,City 11.4,33,0,0,33,
Mitt Romney,U.S. Senate,,REP,Morgan,City 11.4,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,City 11.4,28,0,0,28,
Rob Bishop ,U. S. House,1,REP,Morgan,City 11.4,133,3,0,136,
Eric Eliason,U. S. House,1,UUP,Morgan,City 11.4,16,0,0,16,
Adam Davis,U. S. House,1,GRN,Morgan,City 11.4,6,0,0,6,
Jason Yu,State Senate ,18,DEM,Morgan,City 11.4,29,0,0,29,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,City 11.4,9,0,0,9,
Ann Millner ,State Senate ,18,REP,Morgan,City 11.4,143,3,0,146,
Logan Wilde,State House,53,REP,Morgan,City 11.4,172,3,0,175,
Christopher Neville,State House,53,DEM,Morgan,City 11.4,18,0,0,18,
,Registered Voters,,,Morgan,City 12.4,450,450,450,450,
,Ballots Cast,,,Morgan,City 12.4,351,9,0,360,
,Straight Party,,CON,Morgan,City 12.4,0,0,0,0,
,Straight Party,,UUP,Morgan,City 12.4,0,0,0,0,
,Straight Party,,LIB,Morgan,City 12.4,0,0,0,0,
,Straight Party,,REP,Morgan,City 12.4,59,2,0,61,
,Straight Party,,GRN,Morgan,City 12.4,0,0,0,0,
,Straight Party,,DEM,Morgan,City 12.4,2,0,0,2,
,Straight Party,,IAP,Morgan,City 12.4,4,0,0,4,
Tim Aalders,U.S. Senate,,CON,Morgan,City 12.4,7,1,0,8,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,City 12.4,9,0,0,9,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,City 12.4,3,0,0,3,
Jenny Wilson,U. S. Senate,,DEM,Morgan,City 12.4,42,2,0,44,
Mitt Romney,U.S. Senate,,REP,Morgan,City 12.4,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,City 12.4,38,3,0,41,
Rob Bishop ,U. S. House,1,REP,Morgan,City 12.4,280,6,0,286,
Eric Eliason,U. S. House,1,UUP,Morgan,City 12.4,24,0,0,24,
Adam Davis,U. S. House,1,GRN,Morgan,City 12.4,2,0,0,2,
Jason Yu,State Senate ,18,DEM,Morgan,City 12.4,39,3,0,42,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,City 12.4,21,0,0,21,
Ann Millner ,State Senate ,18,REP,Morgan,City 12.4,283,6,0,289,
Logan Wilde,State House,53,REP,Morgan,City 12.4,309,7,0,316,
Christopher Neville,State House,53,DEM,Morgan,City 12.4,33,2,0,35,
,Registered Voters,,,Morgan,No Morgan 13.5,596,596,596,596,
,Ballots Cast,,,Morgan,No Morgan 13.5,487,8,0,495,
,Straight Party,,CON,Morgan,No Morgan 13.5,2,0,0,2,
,Straight Party,,UUP,Morgan,No Morgan 13.5,0,0,0,0,
,Straight Party,,LIB,Morgan,No Morgan 13.5,0,0,0,0,
,Straight Party,,REP,Morgan,No Morgan 13.5,65,0,0,65,
,Straight Party,,GRN,Morgan,No Morgan 13.5,0,0,0,0,
,Straight Party,,DEM,Morgan,No Morgan 13.5,5,1,0,6,
,Straight Party,,IAP,Morgan,No Morgan 13.5,9,0,0,9,
Tim Aalders,U.S. Senate,,CON,Morgan,No Morgan 13.5,13,1,0,14,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,No Morgan 13.5,6,0,0,6,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,No Morgan 13.5,7,0,0,7,
Jenny Wilson,U. S. Senate,,DEM,Morgan,No Morgan 13.5,36,1,0,37,
Mitt Romney,U.S. Senate,,REP,Morgan,No Morgan 13.5,3,0,0,3,
Lee Castillo ,U. S. House,1,DEM,Morgan,No Morgan 13.5,55,1,0,56,
Rob Bishop ,U. S. House,1,REP,Morgan,No Morgan 13.5,359,6,0,365,
Eric Eliason,U. S. House,1,UUP,Morgan,No Morgan 13.5,48,1,0,49,
Adam Davis,U. S. House,1,GRN,Morgan,No Morgan 13.5,10,0,0,10,
Jason Yu,State Senate ,18,DEM,Morgan,No Morgan 13.5,39,1,0,40,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,No Morgan 13.5,22,0,0,22,
Ann Millner ,State Senate ,18,REP,Morgan,No Morgan 13.5,404,7,0,411,
Logan Wilde,State House,53,REP,Morgan,No Morgan 13.5,437,7,0,444,
Christopher Neville,State House,53,DEM,Morgan,No Morgan 13.5,34,1,0,35,
,Registered Voters,,,Morgan,No Morgan 14.5,460,460,460,460,
,Ballots Cast,,,Morgan,No Morgan 14.5,364,5,0,369,
,Straight Party,,CON,Morgan,No Morgan 14.5,0,0,0,0,
,Straight Party,,UUP,Morgan,No Morgan 14.5,0,0,0,0,
,Straight Party,,LIB,Morgan,No Morgan 14.5,1,0,0,1,
,Straight Party,,REP,Morgan,No Morgan 14.5,67,2,0,69,
,Straight Party,,GRN,Morgan,No Morgan 14.5,2,0,0,2,
,Straight Party,,DEM,Morgan,No Morgan 14.5,10,0,0,10,
,Straight Party,,IAP,Morgan,No Morgan 14.5,8,0,0,8,
Tim Aalders,U.S. Senate,,CON,Morgan,No Morgan 14.5,14,0,0,14,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,No Morgan 14.5,5,0,0,5,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,No Morgan 14.5,7,0,0,7,
Jenny Wilson,U. S. Senate,,DEM,Morgan,No Morgan 14.5,44,1,0,45,
Mitt Romney,U.S. Senate,,REP,Morgan,No Morgan 14.5,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,No Morgan 14.5,49,1,0,50,
Rob Bishop ,U. S. House,1,REP,Morgan,No Morgan 14.5,277,4,0,281,
Eric Eliason,U. S. House,1,UUP,Morgan,No Morgan 14.5,21,0,0,21,
Adam Davis,U. S. House,1,GRN,Morgan,No Morgan 14.5,7,0,0,7,
Jason Yu,State Senate ,18,DEM,Morgan,No Morgan 14.5,54,1,0,55,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,No Morgan 14.5,19,0,0,19,
Ann Millner ,State Senate ,18,REP,Morgan,No Morgan 14.5,277,4,0,281,
Logan Wilde,State House,53,REP,Morgan,No Morgan 14.5,321,4,0,325,
Christopher Neville,State House,53,DEM,Morgan,No Morgan 14.5,37,1,0,38,
,Registered Voters,,,Morgan,Croydon 15.5,100,100,100,100,
,Ballots Cast,,,Morgan,Croydon 15.5,83,1,0,84,
,Straight Party,,CON,Morgan,Croydon 15.5,0,0,0,0,
,Straight Party,,UUP,Morgan,Croydon 15.5,0,0,0,0,
,Straight Party,,LIB,Morgan,Croydon 15.5,0,0,0,0,
,Straight Party,,REP,Morgan,Croydon 15.5,13,0,0,13,
,Straight Party,,GRN,Morgan,Croydon 15.5,0,0,0,0,
,Straight Party,,DEM,Morgan,Croydon 15.5,2,0,0,2,
,Straight Party,,IAP,Morgan,Croydon 15.5,2,0,0,2,
Tim Aalders,U.S. Senate,,CON,Morgan,Croydon 15.5,11,0,0,11,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Croydon 15.5,4,0,0,4,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Croydon 15.5,0,0,0,0,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Croydon 15.5,6,0,0,6,
Mitt Romney,U.S. Senate,,REP,Morgan,Croydon 15.5,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,Croydon 15.5,9,0,0,9,
Rob Bishop ,U. S. House,1,REP,Morgan,Croydon 15.5,61,1,0,62,
Eric Eliason,U. S. House,1,UUP,Morgan,Croydon 15.5,8,0,0,8,
Adam Davis,U. S. House,1,GRN,Morgan,Croydon 15.5,2,0,0,2,
Jason Yu,State Senate ,18,DEM,Morgan,Croydon 15.5,,,,,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Croydon 15.5,,,,,
Ann Millner ,State Senate ,18,REP,Morgan,Croydon 15.5,,,,,
Logan Wilde,State House,53,REP,Morgan,Croydon 15.5,77,1,0,78,
Christopher Neville,State House,53,DEM,Morgan,Croydon 15.5,6,0,0,6,
,,,,,,,,,,
,,,,,,,,,,
