county,precinct,office,district,Candidate,party,polling,polling_2 ,polling_3 ,early_voting ,absentee ,provisional ,paper ,votes 
Washington,SG15,Registered Voters,,,,811,811,811,811,811,811,811,811
Washington,SG16,Registered Voters,,,,706,706,706,706,706,706,706,706
Washington,SG17,Registered Voters,,,,987,987,937,987,987,987,937,987
Washington,SG18,Registered Voters,,,,827,827,827,827,827,827,827,827
Washington,SG19,Registered Voters,,,,929,929,929,929,929,929,929,929
Washington,SG20,Registered Voters,,,,912,912,912,912,912,912,912,912
Washington,SG21,Registered Voters,,,,941,941,941,941,941,941,941,941
Washington,SG22,Registered Voters,,,,635,635,635,635,635,635,635,635
Washington,SG23,Registered Voters,,,,886,886,886,886,836,886,886,886
Washington,SG24,Registered Voters,,,,435,485,485,485,485,485,485,485
Washington,SG25,Registered Voters,,,,586,586,586,586,586,586,586,586
Washington,SG26,Registered Voters,,,,730,730,730,730,730,730,730,730
Washington,SG27,Registered Voters,,,,874,874,874,874,874,874,874,874
Washington,SG28,Registered Voters,,,,1018,1018,1018,1018,1918,1018,1018,1018
Washington,SG29,Registered Voters,,,,861,861,861,861,861,861,861,861
Washington,SG30,Registered Voters,,,,1102,1102,1102,1102,1102,1102,1102,1102
Washington,SG31,Registered Voters,,,,855,855,855,855,855,855,55,855
Washington,SG32,Registered Voters,,,,826,826,826,826,826,826,826,826
Washington,SG33,Registered Voters,,,,568,568,568,568,568,568,568,568
Washington,SG34,Registered Voters,,,,1003,1003,1003,1003,1003,1003,1003,1003
Washington,SG35,Registered Voters,,,,898,898,898,898,898,898,898,898
Washington,SG36,Registered Voters,,,,864,864,864,864,864,864,864,864
Washington,SG37,Registered Voters,,,,756,756,756,756,756,756,756,756
Washington,SG38,Registered Voters,,,,870,870,870,870,870,870,870,870
Washington,SG39,Registered Voters,,,,1140,1140,1140,1140,1140,1140,1140,1140
Washington,SG40,Registered Voters,,,,758,758,758,758,758,758,738,758
Washington,SG41,Registered Voters,,,,684,684,684,684,684,684,684,684
Washington,SG42,Registered Voters,,,,785,785,785,785,785,785,785,785
Washington,SG43,Registered Voters,,,,740,740,740,740,740,740,740,740
Washington,SG44,Registered Voters,,,,777,777,777,777,777,777,777,777
Washington,SG45,Registered Voters,,,,1058,1058,1058,1058,1058,1058,1058,1058
Washington,SG46,Registered Voters,,,,1197,1197,1197,1197,1197,1197,1197,1197
Washington,SG47,Registered Voters,,,,798,798,798,798,798,798,798,798
Washington,SG48,Registered Voters,,,,513,513,513,513,513,513,513,513
Washington,SG49,Registered Voters,,,,876,876,876,876,876,876,876,876
Washington,SP95,Registered Voters,,,,364,364,364,364,364,364,364,364
Washington,TQ96,Registered Voters,,,,852,852,852,852,852,852,852,852
Washington,VI89,Registered Voters,,,,430,430,430,430,430,430,430,430
Washington,WA60,Registered Voters,,,,759,759,759,759,759,759,759,759
Washington,WA61,Registered Voters,,,,789,789,789,789,789,789,789,789
Washington,WA62,Registered Voters,,,,798,798,798,798,798,798,798,798
Washington,WA63,Registered Voters,,,,786,786,786,786,786,786,786,786
Washington,WA64,Registered Voters,,,,1163,1163,1163,1163,1163,1163,1163,1163
Washington,WA65,Registered Voters,,,,523,523,523,523,523,523,523,523
Washington,WA66,Registered Voters,,,,640,640,640,640,640,640,640,640
Washington,WA67,Registered Voters,,,,994,994,994,994,994,994,994,994
Washington,WA68,Registered Voters,,,,983,983,983,983,983,983,983,983
Washington,WA69,Registered Voters,,,,663,663,663,663,663,663,663,663
Washington,WA70,Registered Voters,,,,794,794,794,794,794,794,794,794
Washington,WA71,Registered Voters,,,,851,851,851,851,851,851,851,851
Washington,WA72,Registered Voters,,,,651,651,651,651,651,651,651,651
Washington,WA73,Registered Voters,,,,788,788,788,788,788,788,788,788
Washington,Total,Registered Voters,,,,74227,74227,74227,74227,74227,74227,74227,74227
Washington,AV51,Ballots Cast,,,,0,0,0,0,104,0,0,104
Washington,COAND,Ballots Cast,,,,0,0,0,0,0,0,0,0
Washington,COCDSR,Ballots Cast,,,,3,1,0,0,43,0,0,47
Washington,COCNBR,Ballots Cast,,,,0,2,0,0,103,2,0,107
Washington,CODAV,Ballots Cast,,,,0,5,0,3,191,3,0,202
Washington,CODIV,Ballots Cast,,,,3,105,0,3,36,2,0,149
Washington,CODXDR,Ballots Cast,,,,0,1,0,0,111,2,0,114
Washington,COGL,Ballots Cast,,,,0,0,0,0,22,0,0,22
Washington,COGUBL,Ballots Cast,,,,0,0,0,0,2,0,0,2
Washington,COHS74,Ballots Cast,,,,0,0,0,0,8,0,0,8
Washington,COHV28,Ballots Cast,,,,0,0,0,0,9,0,0,9
Washington,COHV29,Ballots Cast,,,,0,0,0,0,3,0,0,3
Washington,COLEED,Ballots Cast,,,,0,0,0,0,70,0,0,70
Washington,CONCF,Ballots Cast,,,,0,1,0,0,36,0,0,37
Washington,CONH,Ballots Cast,,,,1,0,0,2,227,0,0,230
Washington,COPINE,Ballots Cast,,,,0,2,0,0,87,0,0,89
Washington,COSN28,Ballots Cast,,,,0,0,0,0,6,0,0,6
Washington,COVE,Ballots Cast,,,,0,0,0,0,105,0,0,105
Washington,COWH,Ballots Cast,,,,0,176,0,18,50,5,0,249
Washington,EN82,Ballots Cast,,,,1,3,0,0,275,2,0,281
Washington,HIL97,Ballots Cast,,,,0,0,0,0,49,0,0,49
Washington,HU52,Ballots Cast,,,,145,0,0,17,52,3,0,217
Washington,HU53,Ballots Cast,,,,145,0,0,13,48,0,0,206
Washington,HU54,Ballots Cast,,,,120,0,0,23,94,2,0,239
Washington,HU55,Ballots Cast,,,,77,1,0,2,24,0,0,104
Washington,HU56,Ballots Cast,,,,123,0,0,12,127,4,0,266
Washington,HU57,Ballots Cast,,,,82,1,0,8,48,12,0,151
Washington,HU58,Ballots Cast,,,,152,4,0,19,67,0,0,242
Washington,HU59,Ballots Cast,,,,69,0,0,9,55,2,0,135
Washington,HU60,Ballots Cast,,,,123,2,0,15,103,7,0,250
Washington,IV76,Ballots Cast,,,,1,92,0,16,48,5,0,162
Washington,IV77,Ballots Cast,,,,7,92,0,12,79,5,0,195
Washington,IV78,Ballots Cast,,,,2,95,0,15,105,6,0,223
Washington,IV79,Ballots Cast,,,,5,132,0,31,60,3,0,231
Washington,IV80,Ballots Cast,,,,8,130,0,23,66,4,0,231
Washington,LA85,Ballots Cast,,,,8,0,0,2,186,0,0,196
Washington,LA86,Ballots Cast,,,,6,2,0,1,160,0,0,169
Washington,LA87,Ballots Cast,,,,9,0,0,0,156,0,0,165
Washington,LE90,Ballots Cast,,,,0,1,0,0,228,1,0,230
Washington,NH93,Ballots Cast,,,,0,0,0,0,58,0,0,58
Washington,RC94,Ballots Cast,,,,0,0,0,0,34,0,0,34
Washington,SC71,Ballots Cast,,,,153,5,0,23,63,3,0,247
Washington,SC72,Ballots Cast,,,,101,0,0,18,33,2,0,154
Washington,SC73,Ballots Cast,,,,148,0,0,26,51,1,0,226
Washington,SC74,Ballots Cast,,,,167,0,0,48,78,3,0,296
Washington,SG01,Ballots Cast,,,,46,24,0,9,32,3,0,114
Washington,SG02,Ballots Cast,,,,5,59,0,8,60,8,0,140
Washington,SG03,Ballots Cast,,,,4,99,0,12,50,7,0,172
Washington,SG04,Ballots Cast,,,,69,2,0,10,32,3,0,116
Washington,SG05,Ballots Cast,,,,1,71,0,13,72,2,0,159
Washington,SG06,Ballots Cast,,,,2,80,0,13,23,6,0,124
Washington,SG07,Ballots Cast,,,,1,86,0,15,54,8,0,164
Washington,SG08,Ballots Cast,,,,105,10,0,6,56,3,0,180
Washington,SG09,Ballots Cast,,,,97,7,0,27,109,0,0,240
Washington,SG10,Ballots Cast,,,,69,2,0,18,32,3,0,124
Washington,SG11,Ballots Cast,,,,85,9,0,7,48,5,0,154
Washington,SG12,Ballots Cast,,,,71,0,0,13,66,6,0,156
Washington,SG13,Ballots Cast,,,,45,4,0,9,45,0,0,103
Washington,SG14,Ballots Cast,,,,8,51,0,9,44,1,0,113
Washington,SG15,Ballots Cast,,,,17,95,0,19,48,6,0,185
Washington,SG16,Ballots Cast,,,,99,2,0,17,61,2,0,181
Washington,SG17,Ballots Cast,,,,133,5,0,30,146,0,0,314
Washington,SG18,Ballots Cast,,,,8,116,0,15,68,4,0,211
Washington,SG19,Ballots Cast,,,,10,120,0,10,46,4,0,190
Washington,SG20,Ballots Cast,,,,119,5,0,15,80,3,0,222
Washington,SG21,Ballots Cast,,,,132,4,0,29,72,3,0,240
Washington,SG22,Ballots Cast,,,,14,83,0,11,82,1,0,196
Washington,SG23,Ballots Cast,,,,32,113,0,17,69,2,0,233
Washington,SG24,Ballots Cast,,,,5,104,0,4,41,2,0,156
Washington,SG25,Ballots Cast,,,,127,2,0,16,38,7,0,190
Washington,SG26,Ballots Cast,,,,114,1,0,18,80,4,0,217
Washington,SG27,Ballots Cast,,,,143,7,0,36,35,7,0,228
Washington,SG28,Ballots Cast,,,,212,5,0,20,76,5,0,318
Washington,SG29,Ballots Cast,,,,135,7,0,28,78,23,0,271
Washington,SG30,Ballots Cast,,,,215,6,0,51,130,1,0,403
Washington,SG31,Ballots Cast,,,,165,2,0,36,95,2,0,300
Washington,SG32,Ballots Cast,,,,112,3,0,20,99,5,0,239
Washington,SG33,Ballots Cast,,,,91,3,0,14,100,2,0,210
Washington,SG34,Ballots Cast,,,,97,11,0,29,114,7,0,258
Washington,SG35,Ballots Cast,,,,74,18,0,8,51,4,0,155
Washington,SG36,Ballots Cast,,,,8,94,0,6,137,3,0,248
Washington,SG37,Ballots Cast,,,,2,103,0,4,72,6,0,187
Washington,SG38,Ballots Cast,,,,0,55,0,14,43,7,0,119
Washington,SG39,Ballots Cast,,,,8,217,0,23,120,4,0,372
Washington,SG40,Ballots Cast,,,,4,123,0,13,55,0,0,195
Washington,SG41,Ballots Cast,,,,0,128,0,7,103,5,0,243
Washington,SG42,Ballots Cast,,,,100,1,0,21,90,5,0,217
Washington,SG43,Ballots Cast,,,,96,37,0,16,55,8,0,212
Washington,SG44,Ballots Cast,,,,101,40,0,12,63,12,0,228
Washington,SG45,Ballots Cast,,,,4,168,0,10,52,1,0,235
Washington,SG46,Ballots Cast,,,,2,227,0,28,190,7,0,454
Washington,SG47,Ballots Cast,,,,4,99,0,31,83,5,0,222
Washington,SG48,Ballots Cast,,,,0,66,0,4,60,6,0,136
Washington,SG49,Ballots Cast,,,,0,89,0,10,36,0,0,135
Washington,SP95,Ballots Cast,,,,1,1,0,0,81,0,0,83
Washington,TQ96,Ballots Cast,,,,3,3,0,1,333,0,0,340
Washington,VI89,Ballots Cast,,,,1,0,0,0,116,0,0,117
Washington,WA60,Ballots Cast,,,,0,132,0,34,80,4,0,250
Washington,WA61,Ballots Cast,,,,0,88,0,19,43,5,0,155
Washington,WA62,Ballots Cast,,,,2,135,0,19,33,4,0,193
Washington,WA63,Ballots Cast,,,,1,84,0,14,36,6,0,141
Washington,WA64,Ballots Cast,,,,1,161,0,23,66,3,0,254
Washington,WA65,Ballots Cast,,,,83,9,0,10,34,3,0,139
Washington,WA66,Ballots Cast,,,,15,74,0,13,54,5,0,161
Washington,WA67,Ballots Cast,,,,30,134,0,19,63,1,0,247
Washington,WA68,Ballots Cast,,,,136,12,0,13,69,9,0,239
Washington,WA69,Ballots Cast,,,,67,22,0,22,84,8,0,203
Washington,WA70,Ballots Cast,,,,17,72,0,15,52,2,0,158
Washington,WA71,Ballots Cast,,,,0,101,0,27,115,6,0,249
Washington,WA72,Ballots Cast,,,,97,3,0,8,29,5,0,142
Washington,WA73,Ballots Cast,,,,112,9,0,8,49,1,0,179
Washington,Total,Ballots Cast,,,,5216,4561,0,1415,8388,359,0,19739
Washington,AV51,U.S. Senate,,Mitt Romney,,0,0,0,0,47,0,0,47
Washington,COAND,U.S. Senate,,Mitt Romney,,0,0,0,0,0,0,0,0
Washington,COCDSR,U.S. Senate,,Mitt Romney,,2,1,0,0,16,0,0,19
Washington,COCNBR,U.S. Senate,,Mitt Romney,,0,0,0,0,48,1,0,49
Washington,CODAV,U.S. Senate,,Mitt Romney,,0,3,0,1,69,2,0,75
Washington,CODIV,U.S. Senate,,Mitt Romney,,0,37,0,1,17,0,0,55
Washington,CODXDR,U.S. Senate,,Mitt Romney,,0,0,0,0,36,0,0,36
Washington,COGL,U.S. Senate,,Mitt Romney,,0,0,0,0,16,0,0,16
Washington,COGUBL,U.S. Senate,,Mitt Romney,,0,0,0,0,2,0,0,2
Washington,COHS74,U.S. Senate,,Mitt Romney,,0,0,0,0,5,0,0,5
Washington,COHV28,U.S. Senate,,Mitt Romney,,0,0,0,0,1,0,0,1
Washington,COHV29,U.S. Senate,,Mitt Romney,,0,0,0,0,2,0,0,2
Washington,COLEED,U.S. Senate,,Mitt Romney,,0,0,0,0,40,0,0,40
Washington,CONCF,U.S. Senate,,Mitt Romney,,0,0,0,0,19,0,0,19
Washington,CONH,U.S. Senate,,Mitt Romney,,0,0,0,0,97,0,0,97
Washington,COPINE,U.S. Senate,,Mitt Romney,,0,2,0,0,61,0,0,63
Washington,COSN28,U.S. Senate,,Mitt Romney,,0,0,0,0,2,0,0,2
Washington,COVE,U.S. Senate,,Mitt Romney,,0,0,0,0,56,0,0,56
Washington,COWH,U.S. Senate,,Mitt Romney,,0,69,0,6,28,3,0,106
Washington,EN82,U.S. Senate,,Mitt Romney,,0,1,0,0,172,0,0,173
Washington,HIL97,U.S. Senate,,Mitt Romney,,0,0,0,0,15,0,0,15
Washington,HU52,U.S. Senate,,Mitt Romney,,72,0,0,14,24,0,0,110
Washington,HU53,U.S. Senate,,Mitt Romney,,73,0,0,61,32,0,0,113
Washington,HU54,U.S. Senate,,Mitt Romney,,63,0,0,20,61,0,0,144
Washington,HU55,U.S. Senate,,Mitt Romney,,37,0,0,0,8,0,0,45
Washington,HU56,U.S. Senate,,Mitt Romney,,53,0,0,8,59,3,0,123
Washington,HU57,U.S. Senate,,Mitt Romney,,29,0,0,6,21,2,0,58
Washington,HU58,U.S. Senate,,Mitt Romney,,75,1,0,12,43,0,0,131
Washington,HU59,U.S. Senate,,Mitt Romney,,28,0,0,5,28,1,0,62
Washington,HU60,U.S. Senate,,Mitt Romney,,55,0,0,5,59,4,0,123
Washington,IV76,U.S. Senate,,Mitt Romney,,0,50,0,8,29,2,0,89
Washington,IV77,U.S. Senate,,Mitt Romney,,4,47,0,7,46,2,0,106
Washington,IV78,U.S. Senate,,Mitt Romney,,2,45,0,9,64,2,0,122
Washington,IV79,U.S. Senate,,Mitt Romney,,5,79,0,17,48,1,0,150
Washington,IV80,U.S. Senate,,Mitt Romney,,6,70,0,19,48,2,0,145
Washington,LA85,U.S. Senate,,Mitt Romney,,1,0,0,1,103,0,0,105
Washington,LA86,U.S. Senate,,Mitt Romney,,1,2,0,0,84,0,0,87
Washington,LA87,U.S. Senate,,Mitt Romney,,3,0,0,0,85,0,0,88
Washington,LE90,U.S. Senate,,Mitt Romney,,0,0,0,0,114,0,0,114
Washington,NH93,U.S. Senate,,Mitt Romney,,0,0,38,0,0,0,0,38
Washington,RC94,U.S. Senate,,Mitt Romney,,0,0,0,0,24,0,0,24
Washington,SC71,U.S. Senate,,Mitt Romney,,87,4,0,17,46,2,0,156
Washington,SC72,U.S. Senate,,Mitt Romney,,50,0,0,10,20,2,0,82
Washington,SC73,U.S. Senate,,Mitt Romney,,84,0,0,14,36,0,0,134
Washington,SC74,U.S. Senate,,Mitt Romney,,85,0,0,35,52,1,0,173
Washington,SG01,U.S. Senate,,Mitt Romney,,19,10,0,3,16,0,0,48
Washington,SG02,U.S. Senate,,Mitt Romney,,1,34,0,5,32,5,0,77
Washington,SG03,U.S. Senate,,Mitt Romney,,3,55,0,4,37,7,0,106
Washington,SG04,U.S. Senate,,Mitt Romney,,30,1,0,9,24,2,0,66
Washington,SG05,U.S. Senate,,Mitt Romney,,0,42,0,7,51,1,0,101
Washington,SG06,U.S. Senate,,Mitt Romney,,2,45,0,12,15,4,0,78
Washington,SG07,U.S. Senate,,Mitt Romney,,1,53,0,10,33,5,0,102
Washington,SG08,U.S. Senate,,Mitt Romney,,62,5,0,6,31,2,0,106
Washington,SG09,U.S. Senate,,Mitt Romney,,60,3,0,23,81,0,0,167
Washington,SG10,U.S. Senate,,Mitt Romney,,45,1,0,14,20,3,0,83
Washington,SG11,U.S. Senate,,Mitt Romney,,52,4,0,2,25,1,0,84
Washington,SG12,U.S. Senate,,Mitt Romney,,36,0,0,6,40,3,0,85
Washington,SG13,U.S. Senate,,Mitt Romney,,28,2,0,4,26,0,0,60
Washington,SG14,U.S. Senate,,Mitt Romney,,5,22,0,3,27,0,0,57
Washington,SG15,U.S. Senate,,Mitt Romney,,11,56,0,16,33,4,0,120
Washington,SG16,U.S. Senate,,Mitt Romney,,37,0,0,9,35,0,0,81
Washington,SG17,U.S. Senate,,Mitt Romney,,79,3,0,21,103,0,0,206
Washington,SG18,U.S. Senate,,Mitt Romney,,4,64,0,7,49,3,0,127
Washington,SG19,U.S. Senate,,Mitt Romney,,6,80,0,8,29,4,0,127
Washington,SG20,U.S. Senate,,Mitt Romney,,58,4,0,9,57,2,0,130
Washington,SG21,U.S. Senate,,Mitt Romney,,71,2,0,23,44,1,0,141
Washington,SG22,U.S. Senate,,Mitt Romney,,5,47,0,3,43,0,0,98
Washington,SG23,U.S. Senate,,Mitt Romney,,22,59,0,13,35,2,0,131
Washington,SG24,U.S. Senate,,Mitt Romney,,1,52,0,3,29,2,0,87
Washington,SG25,U.S. Senate,,Mitt Romney,,81,1,0,9,21,2,0,114
Washington,SG26,U.S. Senate,,Mitt Romney,,59,0,0,12,48,0,0,119
Washington,SG27,U.S. Senate,,Mitt Romney,,91,2,0,23,26,3,0,145
Washington,SG28,U.S. Senate,,Mitt Romney,,140,3,0,15,50,3,0,211
Washington,SG29,U.S. Senate,,Mitt Romney,,72,7,0,16,47,10,0,152
Washington,SG30,U.S. Senate,,Mitt Romney,,133,5,0,42,87,0,0,267
Washington,SG31,U.S. Senate,,Mitt Romney,,107,2,0,26,64,0,0,199
Washington,SG32,U.S. Senate,,Mitt Romney,,66,2,0,13,69,3,0,153
Washington,SG33,U.S. Senate,,Mitt Romney,,66,2,0,1,70,12,0,151
Washington,SG34,U.S. Senate,,Mitt Romney,,56,6,0,19,68,3,0,152
Washington,SG35,U.S. Senate,,Mitt Romney,,35,8,0,5,18,2,0,68
Washington,SG36,U.S. Senate,,Mitt Romney,,7,48,0,2,98,2,0,157
Washington,SG37,U.S. Senate,,Mitt Romney,,1,53,0,0,46,5,0,105
Washington,SG38,U.S. Senate,,Mitt Romney,,0,23,0,11,25,4,0,63
Washington,SG39,U.S. Senate,,Mitt Romney,,6,87,0,16,69,0,0,178
Washington,SG40,U.S. Senate,,Mitt Romney,,2,73,0,7,31,0,0,113
Washington,SG41,U.S. Senate,,Mitt Romney,,0,42,0,3,44,2,0,91
Washington,SG42,U.S. Senate,,Mitt Romney,,61,1,0,14,62,2,0,140
Washington,SG43,U.S. Senate,,Mitt Romney,,56,26,0,5,32,3,0,125
Washington,SG44,U.S. Senate,,Mitt Romney,,54,20,0,3,45,5,0,127
Washington,SG45,U.S. Senate,,Mitt Romney,,3,111,0,6,34,1,0,155
Washington,SG46,U.S. Senate,,Mitt Romney,,0,83,0,10,87,5,0,185
Washington,SG47,U.S. Senate,,Mitt Romney,,0,63,0,14,41,2,0,120
Washington,SG48,U.S. Senate,,Mitt Romney,,0,46,0,2,35,5,0,88
Washington,SG49,U.S. Senate,,Mitt Romney,,0,47,0,6,25,0,0,78
Washington,SP95,U.S. Senate,,Mitt Romney,,0,1,0,0,53,0,0,54
Washington,TQ96,U.S. Senate,,Mitt Romney,,1,0,0,0,111,0,0,172
Washington,VI89,U.S. Senate,,Mitt Romney,,0,0,0,0,50,0,0,50
Washington,WA60,U.S. Senate,,Mitt Romney,,0,81,0,19,53,2,0,155
Washington,WA61,U.S. Senate,,Mitt Romney,,0,44,0,7,28,1,0,80
Washington,WA62,U.S. Senate,,Mitt Romney,,2,69,0,7,22,0,0,100
Washington,WA63,U.S. Senate,,Mitt Romney,,0,32,0,7,21,2,0,62
Washington,WA64,U.S. Senate,,Mitt Romney,,1,79,0,18,39,2,0,139
Washington,WA65,U.S. Senate,,Mitt Romney,,52,7,0,7,24,3,0,93
Washington,WA66,U.S. Senate,,Mitt Romney,,7,48,0,11,28,3,0,97
Washington,WA67,U.S. Senate,,Mitt Romney,,21,58,0,10,40,1,0,130
Washington,WA68,U.S. Senate,,Mitt Romney,,67,6,0,6,42,5,0,126
Washington,WA69,U.S. Senate,,Mitt Romney,,29,9,0,14,51,5,0,108
Washington,WA70,U.S. Senate,,Mitt Romney,,8,40,0,5,26,2,0,81
Washington,WA71,U.S. Senate,,Mitt Romney,,0,53,0,16,62,4,0,135
Washington,WA72,U.S. Senate,,Mitt Romney,,40,3,0,4,23,4,0,74
Washington,WA73,U.S. Senate,,Mitt Romney,,75,3,0,5,30,1,0,114
Washington,Total,U.S. Senate,,Mitt Romney,,2855,2349,0,869,4841,180,0,11094
Washington,AV51,U.S. Senate,,Mike Kennedy,,0,0,0,0,57,0,0,57
Washington,COAND,U.S. Senate,,Mike Kennedy,,0,0,0,0,0,0,0,0
Washington,COCDSR,U.S. Senate,,Mike Kennedy,,1,0,0,0,27,0,0,28
Washington,COCNBR,U.S. Senate,,Mike Kennedy,,0,2,0,0,55,1,0,58
Washington,CODAV,U.S. Senate,,Mike Kennedy,,0,2,0,2,122,1,0,127
Washington,CODIV,U.S. Senate,,Mike Kennedy,,3,68,0,2,19,2,0,94
Washington,CODXDR,U.S. Senate,,Mike Kennedy,,0,1,0,0,75,2,0,78
Washington,COGL,U.S. Senate,,Mike Kennedy,,0,0,0,0,6,0,0,6
Washington,COGUBL,U.S. Senate,,Mike Kennedy,,0,0,0,0,0,0,0,0
Washington,COHS74,U.S. Senate,,Mike Kennedy,,0,0,0,0,3,0,0,3
Washington,COHV28,U.S. Senate,,Mike Kennedy,,0,0,0,0,8,0,0,8
Washington,COHV29,U.S. Senate,,Mike Kennedy,,0,0,0,0,1,0,0,1
Washington,COLEED,U.S. Senate,,Mike Kennedy,,0,0,0,0,30,0,0,30
Washington,CONCF,U.S. Senate,,Mike Kennedy,,0,1,0,0,17,0,0,18
Washington,CONH,U.S. Senate,,Mike Kennedy,,1,0,0,0,133,0,0,133
Washington,COPINE,U.S. Senate,,Mike Kennedy,,0,0,0,0,26,0,0,26
Washington,COSN28,U.S. Senate,,Mike Kennedy,,0,0,0,0,4,0,0,4
Washington,COVE,U.S. Senate,,Mike Kennedy,,0,0,0,0,49,0,0,49
Washington,COWH,U.S. Senate,,Mike Kennedy,,0,107,0,12,22,2,0,143
Washington,EN82,U.S. Senate,,Mike Kennedy,,1,2,0,1,103,1,0,108
Washington,HIL97,U.S. Senate,,Mike Kennedy,,0,0,0,0,34,0,0,34
Washington,HU52,U.S. Senate,,Mike Kennedy,,73,0,0,3,28,3,0,107
Washington,HU53,U.S. Senate,,Mike Kennedy,,72,0,0,5,16,0,0,93
Washington,HU54,U.S. Senate,,Mike Kennedy,,57,0,0,3,33,2,0,95
Washington,HU55,U.S. Senate,,Mike Kennedy,,40,1,0,2,16,0,0,59
Washington,HU56,U.S. Senate,,Mike Kennedy,,70,0,0,4,67,1,0,142
Washington,HU57,U.S. Senate,,Mike Kennedy,,53,1,0,2,27,10,0,93
Washington,HU58,U.S. Senate,,Mike Kennedy,,77,3,0,7,24,0,0,111
Washington,HU59,U.S. Senate,,Mike Kennedy,,41,0,0,4,27,1,0,73
