county,precincts,office,district,party,candidate,votes
Duchesne,BB21,President,,Republican,Donald J. Trump,103
Duchesne,BB21,President,,Constitution,Darrell L. Castle,0
Duchesne,BB21,President,,Democratic,Hillary Rodham Clinton,5
Duchesne,CE11,President,,Democratic,'Rocky' Roque De La Fuente,1
Duchesne,CE11,President,,Green,Jill Stein,4
Duchesne,CE11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,CE11,President,,Libertarian,Gary Johnson,4
Duchesne,CE11,President,,Independent,Rocky Giordani,1
Duchesne,CE11,President,,Republican,Donald J. Trump,218
Duchesne,CE11,President,,Constitution,Darrell L. Castle,2
Duchesne,CE11,President,,Democratic,Hillary Rodham Clinton,14
Duchesne,DU11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,DU11,President,,Green,Jill Stein,0
Duchesne,DU11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,DU11,President,,Libertarian,Gary Johnson,1
Duchesne,DU11,President,,Independent,Rocky Giordani,0
Duchesne,DU11,President,,Republican,Donald J. Trump,219
Duchesne,DU11,President,,Constitution,Darrell L. Castle,4
Duchesne,DU11,President,,Democratic,Hillary Rodham Clinton,20
Duchesne,DU12,President,,Democratic,'Rocky' Roque De La Fuente,1
Duchesne,DU12,President,,Green,Jill Stein,1
Duchesne,DU12,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,DU12,President,,Libertarian,Gary Johnson,8
Duchesne,DU12,President,,Independent,Rocky Giordani,1
Duchesne,DU12,President,,Republican,Donald J. Trump,230
Duchesne,DU12,President,,Constitution,Darrell L. Castle,6
Duchesne,DU12,President,,Democratic,Hillary Rodham Clinton,17
Duchesne,DU21,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,DU21,President,,Green,Jill Stein,0
Duchesne,DU21,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,DU21,President,,Libertarian,Gary Johnson,1
Duchesne,DU21,President,,Independent,Rocky Giordani,0
Duchesne,DU21,President,,Republican,Donald J. Trump,175
Duchesne,DU21,President,,Constitution,Darrell L. Castle,8
Duchesne,DU21,President,,Democratic,Hillary Rodham Clinton,18
Duchesne,DU22,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,DU22,President,,Green,Jill Stein,0
Duchesne,DU22,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,DU22,President,,Libertarian,Gary Johnson,5
Duchesne,DU22,President,,Independent,Rocky Giordani,1
Duchesne,DU22,President,,Republican,Donald J. Trump,279
Duchesne,DU22,President,,Constitution,Darrell L. Castle,6
Duchesne,DU22,President,,Democratic,Hillary Rodham Clinton,7
Duchesne,FR11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,FR11,President,,Green,Jill Stein,0
Duchesne,FR11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,FR11,President,,Libertarian,Gary Johnson,6
Duchesne,FR11,President,,Independent,Rocky Giordani,0
Duchesne,FR11,President,,Republican,Donald J. Trump,136
Duchesne,FR11,President,,Constitution,Darrell L. Castle,7
Duchesne,FR11,President,,Democratic,Hillary Rodham Clinton,42
Duchesne,FR21,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,FR21,President,,Green,Jill Stein,0
Duchesne,FR21,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,FR21,President,,Libertarian,Gary Johnson,1
Duchesne,FR21,President,,Independent,Rocky Giordani,0
Duchesne,FR21,President,,Republican,Donald J. Trump,44
Duchesne,FR21,President,,Constitution,Darrell L. Castle,1
Duchesne,FR21,President,,Democratic,Hillary Rodham Clinton,12
Duchesne,MH11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,MH11,President,,Green,Jill Stein,1
Duchesne,MH11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,MH11,President,,Libertarian,Gary Johnson,8
Duchesne,MH11,President,,Independent,Rocky Giordani,0
Duchesne,MH11,President,,Republican,Donald J. Trump,337
Duchesne,MH11,President,,Constitution,Darrell L. Castle,2
Duchesne,MH11,President,,Democratic,Hillary Rodham Clinton,31
Duchesne,MY11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,MY11,President,,Green,Jill Stein,0
Duchesne,MY11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,MY11,President,,Libertarian,Gary Johnson,1
Duchesne,MY11,President,,Independent,Rocky Giordani,1
Duchesne,MY11,President,,Republican,Donald J. Trump,170
Duchesne,MY11,President,,Constitution,Darrell L. Castle,6
Duchesne,MY11,President,,Democratic,Hillary Rodham Clinton,19
Duchesne,MY12,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,MY12,President,,Green,Jill Stein,1
Duchesne,MY12,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,MY12,President,,Libertarian,Gary Johnson,5
Duchesne,MY12,President,,Independent,Rocky Giordani,0
Duchesne,MY12,President,,Republican,Donald J. Trump,105
Duchesne,MY12,President,,Constitution,Darrell L. Castle,1
Duchesne,MY12,President,,Democratic,Hillary Rodham Clinton,14
Duchesne,NE11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,NE11,President,,Green,Jill Stein,1
Duchesne,NE11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,NE11,President,,Libertarian,Gary Johnson,1
Duchesne,NE11,President,,Independent,Rocky Giordani,0
Duchesne,NE11,President,,Republican,Donald J. Trump,237
Duchesne,NE11,President,,Constitution,Darrell L. Castle,1
Duchesne,NE11,President,,Democratic,Hillary Rodham Clinton,14
Duchesne,NE21,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,NE21,President,,Green,Jill Stein,1
Duchesne,NE21,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,NE21,President,,Libertarian,Gary Johnson,5
Duchesne,NE21,President,,Independent,Rocky Giordani,0
Duchesne,NE21,President,,Republican,Donald J. Trump,190
Duchesne,NE21,President,,Constitution,Darrell L. Castle,4
Duchesne,NE21,President,,Democratic,Hillary Rodham Clinton,21
Duchesne,RO12,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO12,President,,Green,Jill Stein,3
Duchesne,RO12,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO12,President,,Libertarian,Gary Johnson,3
Duchesne,RO12,President,,Independent,Rocky Giordani,0
Duchesne,RO12,President,,Republican,Donald J. Trump,130
Duchesne,RO12,President,,Constitution,Darrell L. Castle,1
Duchesne,RO12,President,,Democratic,Hillary Rodham Clinton,25
Duchesne,RO21,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO21,President,,Green,Jill Stein,0
Duchesne,RO21,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO21,President,,Libertarian,Gary Johnson,0
Duchesne,RO21,President,,Independent,Rocky Giordani,0
Duchesne,RO21,President,,Republican,Donald J. Trump,34
Duchesne,RO21,President,,Constitution,Darrell L. Castle,1
Duchesne,RO21,President,,Democratic,Hillary Rodham Clinton,0
Duchesne,RO22,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO22,President,,Green,Jill Stein,1
Duchesne,RO22,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO22,President,,Libertarian,Gary Johnson,4
Duchesne,RO22,President,,Independent,Rocky Giordani,0
Duchesne,RO22,President,,Republican,Donald J. Trump,268
Duchesne,RO22,President,,Constitution,Darrell L. Castle,2
Duchesne,RO22,President,,Democratic,Hillary Rodham Clinton,25
Duchesne,RO32,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO32,President,,Green,Jill Stein,0
Duchesne,RO32,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO32,President,,Libertarian,Gary Johnson,8
Duchesne,RO32,President,,Independent,Rocky Giordani,0
Duchesne,RO32,President,,Republican,Donald J. Trump,144
Duchesne,RO32,President,,Constitution,Darrell L. Castle,1
Duchesne,RO32,President,,Democratic,Hillary Rodham Clinton,28
Duchesne,RO41,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO41,President,,Green,Jill Stein,0
Duchesne,RO41,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO41,President,,Libertarian,Gary Johnson,4
Duchesne,RO41,President,,Independent,Rocky Giordani,0
Duchesne,RO41,President,,Republican,Donald J. Trump,306
Duchesne,RO41,President,,Constitution,Darrell L. Castle,0
Duchesne,RO41,President,,Democratic,Hillary Rodham Clinton,18
Duchesne,RO42,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO42,President,,Green,Jill Stein,0
Duchesne,RO42,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO42,President,,Libertarian,Gary Johnson,6
Duchesne,RO42,President,,Independent,Rocky Giordani,1
Duchesne,RO42,President,,Republican,Donald J. Trump,116
Duchesne,RO42,President,,Constitution,Darrell L. Castle,0
Duchesne,RO42,President,,Democratic,Hillary Rodham Clinton,22
Duchesne,RO51,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO51,President,,Green,Jill Stein,0
Duchesne,RO51,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO51,President,,Libertarian,Gary Johnson,0
Duchesne,RO51,President,,Independent,Rocky Giordani,0
Duchesne,RO51,President,,Republican,Donald J. Trump,118
Duchesne,RO51,President,,Constitution,Darrell L. Castle,1
Duchesne,RO51,President,,Democratic,Hillary Rodham Clinton,10
Duchesne,RO52,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO52,President,,Green,Jill Stein,1
Duchesne,RO52,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO52,President,,Libertarian,Gary Johnson,6
Duchesne,RO52,President,,Independent,Rocky Giordani,0
Duchesne,RO52,President,,Republican,Donald J. Trump,224
Duchesne,RO52,President,,Constitution,Darrell L. Castle,1
Duchesne,RO52,President,,Democratic,Hillary Rodham Clinton,12
Duchesne,RO62,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO62,President,,Green,Jill Stein,0
Duchesne,RO62,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO62,President,,Libertarian,Gary Johnson,7
Duchesne,RO62,President,,Independent,Rocky Giordani,0
Duchesne,RO62,President,,Republican,Donald J. Trump,236
Duchesne,RO62,President,,Constitution,Darrell L. Castle,1
Duchesne,RO62,President,,Democratic,Hillary Rodham Clinton,16
Duchesne,RO71,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO71,President,,Green,Jill Stein,1
Duchesne,RO71,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO71,President,,Libertarian,Gary Johnson,2
Duchesne,RO71,President,,Independent,Rocky Giordani,0
Duchesne,RO71,President,,Republican,Donald J. Trump,186
Duchesne,RO71,President,,Constitution,Darrell L. Castle,0
Duchesne,RO71,President,,Democratic,Hillary Rodham Clinton,14
Duchesne,RO72,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO72,President,,Green,Jill Stein,1
Duchesne,RO72,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO72,President,,Libertarian,Gary Johnson,1
Duchesne,RO72,President,,Independent,Rocky Giordani,0
Duchesne,RO72,President,,Republican,Donald J. Trump,132
Duchesne,RO72,President,,Constitution,Darrell L. Castle,1
Duchesne,RO72,President,,Democratic,Hillary Rodham Clinton,13
Duchesne,RO81,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO81,President,,Green,Jill Stein,1
Duchesne,RO81,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO81,President,,Libertarian,Gary Johnson,2
Duchesne,RO81,President,,Independent,Rocky Giordani,0
Duchesne,RO81,President,,Republican,Donald J. Trump,216
Duchesne,RO81,President,,Constitution,Darrell L. Castle,0
Duchesne,RO81,President,,Democratic,Hillary Rodham Clinton,9
Duchesne,RO82,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO82,President,,Green,Jill Stein,0
Duchesne,RO82,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO82,President,,Libertarian,Gary Johnson,2
Duchesne,RO82,President,,Independent,Rocky Giordani,0
Duchesne,RO82,President,,Republican,Donald J. Trump,75
Duchesne,RO82,President,,Constitution,Darrell L. Castle,1
Duchesne,RO82,President,,Democratic,Hillary Rodham Clinton,15
Duchesne,RO91,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO91,President,,Green,Jill Stein,0
Duchesne,RO91,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO91,President,,Libertarian,Gary Johnson,0
Duchesne,RO91,President,,Independent,Rocky Giordani,0
Duchesne,RO91,President,,Republican,Donald J. Trump,0
Duchesne,RO91,President,,Constitution,Darrell L. Castle,1
Duchesne,RO91,President,,Democratic,Hillary Rodham Clinton,0
Duchesne,RO92,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,RO92,President,,Green,Jill Stein,0
Duchesne,RO92,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,RO92,President,,Libertarian,Gary Johnson,0
Duchesne,RO92,President,,Independent,Rocky Giordani,0
Duchesne,RO92,President,,Republican,Donald J. Trump,9
Duchesne,RO92,President,,Constitution,Darrell L. Castle,1
Duchesne,RO92,President,,Democratic,Hillary Rodham Clinton,0
Duchesne,TA11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,TA11,President,,Green,Jill Stein,0
Duchesne,TA11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,TA11,President,,Libertarian,Gary Johnson,3
Duchesne,TA11,President,,Independent,Rocky Giordani,0
Duchesne,TA11,President,,Republican,Donald J. Trump,197
Duchesne,TA11,President,,Constitution,Darrell L. Castle,0
Duchesne,TA11,President,,Democratic,Hillary Rodham Clinton,12
Duchesne,TA12,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,TA12,President,,Green,Jill Stein,0
Duchesne,TA12,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,TA12,President,,Libertarian,Gary Johnson,0
Duchesne,TA12,President,,Independent,Rocky Giordani,0
Duchesne,TA12,President,,Republican,Donald J. Trump,51
Duchesne,TA12,President,,Constitution,Darrell L. Castle,0
Duchesne,TA12,President,,Democratic,Hillary Rodham Clinton,2
Duchesne,AL11,President,,Workers World,Monica Moorehead,0
Duchesne,AL11,President,,Independent,Evan McMullin,25
Duchesne,AL11,President,,,Write-In,5
Duchesne,AL12,President,,Workers World,Monica Moorehead,0
Duchesne,AL12,President,,Independent,Evan McMullin,13
Duchesne,AL12,President,,,Write-In,0
Duchesne,AR11,President,,Workers World,Monica Moorehead,0
Duchesne,AR11,President,,Independent,Evan McMullin,16
Duchesne,AR11,President,,,Write-In,1
Duchesne,BB11,President,,Workers World,Monica Moorehead,0
Duchesne,BB11,President,,Independent,Evan McMullin,33
Duchesne,BB11,President,,,Write-In,4
Duchesne,BB21,President,,Workers World,Monica Moorehead,0
Duchesne,BB21,President,,Independent,Evan McMullin,8
Duchesne,BB21,President,,,Write-In,0
Duchesne,CE11,President,,Workers World,Monica Moorehead,0
Duchesne,CE11,President,,Independent,Evan McMullin,32
Duchesne,CE11,President,,,Write-In,2
Duchesne,DU11,President,,Workers World,Monica Moorehead,0
Duchesne,DU11,President,,Independent,Evan McMullin,17
Duchesne,DU11,President,,,Write-In,1
Duchesne,DU12,President,,Workers World,Monica Moorehead,0
Duchesne,DU12,President,,Independent,Evan McMullin,22
Duchesne,DU12,President,,,Write-In,0
Duchesne,DU21,President,,Workers World,Monica Moorehead,0
Duchesne,DU21,President,,Independent,Evan McMullin,17
Duchesne,DU21,President,,,Write-In,3
Duchesne,DU22,President,,Workers World,Monica Moorehead,0
Duchesne,DU22,President,,Independent,Evan McMullin,28
Duchesne,DU22,President,,,Write-In,1
Duchesne,FR11,President,,Workers World,Monica Moorehead,0
Duchesne,FR11,President,,Independent,Evan McMullin,16
Duchesne,FR11,President,,,Write-In,2
Duchesne,FR21,President,,Workers World,Monica Moorehead,0
Duchesne,FR21,President,,Independent,Evan McMullin,6
Duchesne,FR21,President,,,Write-In,0
Duchesne,MH11,President,,Workers World,Monica Moorehead,0
Duchesne,MH11,President,,Independent,Evan McMullin,46
Duchesne,MH11,President,,,Write-In,2
Duchesne,MY11,President,,Workers World,Monica Moorehead,0
Duchesne,MY11,President,,Independent,Evan McMullin,14
Duchesne,MY11,President,,,Write-In,1
Duchesne,MY12,President,,Workers World,Monica Moorehead,0
Duchesne,MY12,President,,Independent,Evan McMullin,10
Duchesne,MY12,President,,,Write-In,2
Duchesne,NE11,President,,Workers World,Monica Moorehead,0
Duchesne,NE11,President,,Independent,Evan McMullin,14
Duchesne,NE11,President,,,Write-In,2
Duchesne,NE21,President,,Workers World,Monica Moorehead,0
Duchesne,NE21,President,,Independent,Evan McMullin,33
Duchesne,NE21,President,,,Write-In,1
Duchesne,RO12,President,,Workers World,Monica Moorehead,0
Duchesne,RO12,President,,Independent,Evan McMullin,32
Duchesne,RO12,President,,,Write-In,1
Duchesne,RO21,President,,Workers World,Monica Moorehead,0
Duchesne,RO21,President,,Independent,Evan McMullin,4
Duchesne,RO21,President,,,Write-In,0
Duchesne,RO22,President,,Workers World,Monica Moorehead,1
Duchesne,RO22,President,,Independent,Evan McMullin,38
Duchesne,RO22,President,,,Write-In,6
Duchesne,RO32,President,,Workers World,Monica Moorehead,1
Duchesne,RO32,President,,Independent,Evan McMullin,23
Duchesne,RO32,President,,,Write-In,3
Duchesne,RO41,President,,Workers World,Monica Moorehead,0
Duchesne,RO41,President,,Independent,Evan McMullin,38
Duchesne,RO41,President,,,Write-In,2
Duchesne,RO42,President,,Workers World,Monica Moorehead,0
Duchesne,RO42,President,,Independent,Evan McMullin,35
Duchesne,RO42,President,,,Write-In,1
Duchesne,RO51,President,,Workers World,Monica Moorehead,0
Duchesne,RO51,President,,Independent,Evan McMullin,20
Duchesne,RO51,President,,,Write-In,1
Duchesne,RO52,President,,Workers World,Monica Moorehead,0
Duchesne,RO52,President,,Independent,Evan McMullin,48
Duchesne,RO52,President,,,Write-In,2
Duchesne,RO62,President,,Workers World,Monica Moorehead,0
Duchesne,RO62,President,,Independent,Evan McMullin,40
Duchesne,RO62,President,,,Write-In,0
Duchesne,RO71,President,,Workers World,Monica Moorehead,0
Duchesne,RO71,President,,Independent,Evan McMullin,24
Duchesne,RO71,President,,,Write-In,1
Duchesne,RO72,President,,Workers World,Monica Moorehead,0
Duchesne,RO72,President,,Independent,Evan McMullin,22
Duchesne,RO72,President,,,Write-In,1
Duchesne,RO81,President,,Workers World,Monica Moorehead,0
Duchesne,RO81,President,,Independent,Evan McMullin,18
Duchesne,RO81,President,,,Write-In,0
Duchesne,RO82,President,,Workers World,Monica Moorehead,0
Duchesne,RO82,President,,Independent,Evan McMullin,13
Duchesne,RO82,President,,,Write-In,0
Duchesne,RO91,President,,Workers World,Monica Moorehead,0
Duchesne,RO91,President,,Independent,Evan McMullin,2
Duchesne,RO91,President,,,Write-In,0
Duchesne,RO92,President,,Workers World,Monica Moorehead,0
Duchesne,RO92,President,,Independent,Evan McMullin,2
Duchesne,RO92,President,,,Write-In,0
Duchesne,TA11,President,,Workers World,Monica Moorehead,0
Duchesne,TA11,President,,Independent,Evan McMullin,17
Duchesne,TA11,President,,,Write-In,1
Duchesne,TA12,President,,Workers World,Monica Moorehead,0
Duchesne,TA12,President,,Independent,Evan McMullin,4
Duchesne,TA12,President,,,Write-In,0
Duchesne,AL11,U.S. Senate,,Democratic,Misty K Snow,17
Duchesne,AL11,U.S. Senate,,Independent,Bill Barron,4
Duchesne,AL11,U.S. Senate,,Independent American,Stoney Fonua,4
Duchesne,AL11,U.S. Senate,,Republican,Mike Lee,273
Duchesne,AL12,U.S. Senate,,Democratic,Misty K Snow,7
Duchesne,AL12,U.S. Senate,,Independent,Bill Barron,0
Duchesne,AL12,U.S. Senate,,Independent American,Stoney Fonua,2
Duchesne,AL12,U.S. Senate,,Republican,Mike Lee,62
Duchesne,AR11,U.S. Senate,,Democratic,Misty K Snow,17
Duchesne,AR11,U.S. Senate,,Independent,Bill Barron,1
Duchesne,AR11,U.S. Senate,,Independent American,Stoney Fonua,4
Duchesne,AR11,U.S. Senate,,Republican,Mike Lee,108
Duchesne,BB11,U.S. Senate,,Democratic,Misty K Snow,15
Duchesne,BB11,U.S. Senate,,Independent,Bill Barron,5
Duchesne,BB11,U.S. Senate,,Independent American,Stoney Fonua,2
Duchesne,BB11,U.S. Senate,,Republican,Mike Lee,253
Duchesne,BB21,U.S. Senate,,Democratic,Misty K Snow,7
Duchesne,BB21,U.S. Senate,,Independent,Bill Barron,0
Duchesne,BB21,U.S. Senate,,Independent American,Stoney Fonua,3
Duchesne,BB21,U.S. Senate,,Republican,Mike Lee,110
Duchesne,CE11,U.S. Senate,,Democratic,Misty K Snow,23
Duchesne,CE11,U.S. Senate,,Independent,Bill Barron,7
Duchesne,CE11,U.S. Senate,,Independent American,Stoney Fonua,5
Duchesne,CE11,U.S. Senate,,Republican,Mike Lee,237
Duchesne,DU11,U.S. Senate,,Democratic,Misty K Snow,27
Duchesne,DU11,U.S. Senate,,Independent,Bill Barron,1
Duchesne,DU11,U.S. Senate,,Independent American,Stoney Fonua,3
Duchesne,DU11,U.S. Senate,,Republican,Mike Lee,221
Duchesne,DU12,U.S. Senate,,Democratic,Misty K Snow,16
Duchesne,DU12,U.S. Senate,,Independent,Bill Barron,5
Duchesne,DU12,U.S. Senate,,Independent American,Stoney Fonua,1
Duchesne,DU12,U.S. Senate,,Republican,Mike Lee,254
Duchesne,DU21,U.S. Senate,,Democratic,Misty K Snow,27
Duchesne,DU21,U.S. Senate,,Independent,Bill Barron,2
Duchesne,DU21,U.S. Senate,,Independent American,Stoney Fonua,2
Duchesne,DU21,U.S. Senate,,Republican,Mike Lee,189
Duchesne,DU22,U.S. Senate,,Democratic,Misty K Snow,20
Duchesne,DU22,U.S. Senate,,Independent,Bill Barron,4
Duchesne,DU22,U.S. Senate,,Independent American,Stoney Fonua,12
Duchesne,DU22,U.S. Senate,,Republican,Mike Lee,293
Duchesne,FR11,U.S. Senate,,Democratic,Misty K Snow,56
Duchesne,FR11,U.S. Senate,,Independent,Bill Barron,7
Duchesne,FR11,U.S. Senate,,Independent American,Stoney Fonua,3
Duchesne,FR11,U.S. Senate,,Republican,Mike Lee,140
Duchesne,FR21,U.S. Senate,,Democratic,Misty K Snow,12
Duchesne,FR21,U.S. Senate,,Independent,Bill Barron,1
Duchesne,FR21,U.S. Senate,,Independent American,Stoney Fonua,0
Duchesne,FR21,U.S. Senate,,Republican,Mike Lee,52
Duchesne,MH11,U.S. Senate,,Democratic,Misty K Snow,30
Duchesne,MH11,U.S. Senate,,Independent,Bill Barron,7
Duchesne,MH11,U.S. Senate,,Independent American,Stoney Fonua,7
Duchesne,MH11,U.S. Senate,,Republican,Mike Lee,379
Duchesne,MY11,U.S. Senate,,Democratic,Misty K Snow,24
Duchesne,MY11,U.S. Senate,,Independent,Bill Barron,2
Duchesne,MY11,U.S. Senate,,Independent American,Stoney Fonua,5
Duchesne,MY11,U.S. Senate,,Republican,Mike Lee,179
Duchesne,MY12,U.S. Senate,,Democratic,Misty K Snow,19
Duchesne,MY12,U.S. Senate,,Independent,Bill Barron,1
Duchesne,MY12,U.S. Senate,,Independent American,Stoney Fonua,0
Duchesne,MY12,U.S. Senate,,Republican,Mike Lee,114
Duchesne,NE11,U.S. Senate,,Democratic,Misty K Snow,19
Duchesne,NE11,U.S. Senate,,Independent,Bill Barron,1
Duchesne,NE11,U.S. Senate,,Independent American,Stoney Fonua,3
Duchesne,NE11,U.S. Senate,,Republican,Mike Lee,245
Duchesne,NE21,U.S. Senate,,Democratic,Misty K Snow,23
Duchesne,NE21,U.S. Senate,,Independent,Bill Barron,2
Duchesne,NE21,U.S. Senate,,Independent American,Stoney Fonua,6
Duchesne,NE21,U.S. Senate,,Republican,Mike Lee,219
Duchesne,RO12,U.S. Senate,,Democratic,Misty K Snow,30
Duchesne,RO12,U.S. Senate,,Independent,Bill Barron,5
Duchesne,RO12,U.S. Senate,,Independent American,Stoney Fonua,2
Duchesne,RO12,U.S. Senate,,Republican,Mike Lee,157
Duchesne,RO21,U.S. Senate,,Democratic,Misty K Snow,0
Duchesne,RO21,U.S. Senate,,Independent,Bill Barron,0
Duchesne,RO21,U.S. Senate,,Independent American,Stoney Fonua,2
Duchesne,RO21,U.S. Senate,,Republican,Mike Lee,35
Duchesne,RO22,U.S. Senate,,Democratic,Misty K Snow,36
Duchesne,RO22,U.S. Senate,,Independent,Bill Barron,4
Duchesne,RO22,U.S. Senate,,Independent American,Stoney Fonua,4
Duchesne,RO22,U.S. Senate,,Republican,Mike Lee,293
Duchesne,RO32,U.S. Senate,,Democratic,Misty K Snow,33
Duchesne,RO32,U.S. Senate,,Independent,Bill Barron,4
Duchesne,RO32,U.S. Senate,,Independent American,Stoney Fonua,4
Duchesne,RO32,U.S. Senate,,Republican,Mike Lee,164
Duchesne,RO41,U.S. Senate,,Democratic,Misty K Snow,19
Duchesne,RO41,U.S. Senate,,Independent,Bill Barron,2
Duchesne,RO41,U.S. Senate,,Independent American,Stoney Fonua,8
Duchesne,RO41,U.S. Senate,,Republican,Mike Lee,336
Duchesne,RO42,U.S. Senate,,Democratic,Misty K Snow,19
Duchesne,RO42,U.S. Senate,,Independent,Bill Barron,1
Duchesne,RO42,U.S. Senate,,Independent American,Stoney Fonua,4
Duchesne,RO42,U.S. Senate,,Republican,Mike Lee,153
Duchesne,RO51,U.S. Senate,,Democratic,Misty K Snow,15
