county,precincts,office,district,party,candidate,votes
Carbon,Castle Heights North,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Castle Heights North,President,,Libertarian,Gary Johnson,14
Carbon,Central Price,President,,Democratic,Rocky De La Fuente,0
Carbon,Central Price,President,,Green,Jill Stein,0
Carbon,Central Price,President,,Socialist Workers,Alyson Kennedy,1
Carbon,Central Price,President,,Libertarian,Gary Johnson,10
Carbon,North East Price,President,,Democratic,Rocky De La Fuente,1
Carbon,North East Price,President,,Green,Jill Stein,5
Carbon,North East Price,President,,Socialist Workers,Alyson Kennedy,2
Carbon,North East Price,President,,Libertarian,Gary Johnson,11
Carbon,North Price,President,,Democratic,Rocky De La Fuente,0
Carbon,North Price,President,,Green,Jill Stein,4
Carbon,North Price,President,,Socialist Workers,Alyson Kennedy,0
Carbon,North Price,President,,Libertarian,Gary Johnson,7
Carbon,Castle Heights,President,,Democratic,Rocky De La Fuente,0
Carbon,Castle Heights,President,,Green,Jill Stein,1
Carbon,Castle Heights,President,,Socialist Workers,Alyson Kennedy,1
Carbon,Castle Heights,President,,Libertarian,Gary Johnson,7
Carbon,South County,President,,Democratic,Rocky De La Fuente,0
Carbon,South County,President,,Green,Jill Stein,3
Carbon,South County,President,,Socialist Workers,Alyson Kennedy,0
Carbon,South County,President,,Libertarian,Gary Johnson,12
Carbon,Spring Glen,President,,Democratic,Rocky De La Fuente,1
Carbon,Spring Glen,President,,Green,Jill Stein,4
Carbon,Spring Glen,President,,Socialist Workers,Alyson Kennedy,1
Carbon,Spring Glen,President,,Libertarian,Gary Johnson,11
Carbon,Carbonville,President,,Democratic,Rocky De La Fuente,0
Carbon,Carbonville,President,,Green,Jill Stein,4
Carbon,Carbonville,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Carbonville,President,,Libertarian,Gary Johnson,12
Carbon,Westwood,President,,Democratic,Rocky De La Fuente,0
Carbon,Westwood,President,,Green,Jill Stein,0
Carbon,Westwood,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Westwood,President,,Libertarian,Gary Johnson,9
Carbon,Miller Creek,President,,Democratic,Rocky De La Fuente,2
Carbon,Miller Creek,President,,Green,Jill Stein,0
Carbon,Miller Creek,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Miller Creek,President,,Libertarian,Gary Johnson,6
Carbon,Scofield,President,,Independent,Rocky Giordani,0
Carbon,Scofield,President,,Republican,Donald Trump,15
Carbon,Scofield,President,,Constitution,Darrell L. Castle,0
Carbon,Scofield,President,,Democratic,Hillary Clinton,8
Carbon,Scofield,President,,Workers World,Monica Moorehead,0
Carbon,Scofield,President,,Independent,Evan McMullin,3
Carbon,Pleasant Valley,President,,Independent,Rocky Giordani,0
Carbon,Pleasant Valley,President,,Republican,Donald Trump,5
Carbon,Pleasant Valley,President,,Constitution,Darrell L. Castle,0
Carbon,Pleasant Valley,President,,Democratic,Hillary Clinton,5
Carbon,Pleasant Valley,President,,Workers World,Monica Moorehead,0
Carbon,Pleasant Valley,President,,Independent,Evan McMullin,2
Carbon,East Helper,President,,Independent,Rocky Giordani,4
Carbon,East Helper,President,,Republican,Donald Trump,187
Carbon,East Helper,President,,Constitution,Darrell L. Castle,0
Carbon,East Helper,President,,Democratic,Hillary Clinton,124
Carbon,East Helper,President,,Workers World,Monica Moorehead,1
Carbon,East Helper,President,,Independent,Evan McMullin,15
Carbon,South Price,President,,Independent,Rocky Giordani,0
Carbon,South Price,President,,Republican,Donald Trump,323
Carbon,South Price,President,,Constitution,Darrell L. Castle,1
Carbon,South Price,President,,Democratic,Hillary Clinton,109
Carbon,South Price,President,,Workers World,Monica Moorehead,0
Carbon,South Price,President,,Independent,Evan McMullin,29
Carbon,East Price,President,,Independent,Rocky Giordani,2
Carbon,East Price,President,,Republican,Donald Trump,266
Carbon,East Price,President,,Constitution,Darrell L. Castle,3
Carbon,East Price,President,,Democratic,Hillary Clinton,103
Carbon,East Price,President,,Workers World,Monica Moorehead,0
Carbon,East Price,President,,Independent,Evan McMullin,32
Carbon,Wellington,President,,Independent,Rocky Giordani,0
Carbon,Wellington,President,,Republican,Donald Trump,412
Carbon,Wellington,President,,Constitution,Darrell L. Castle,2
Carbon,Wellington,President,,Democratic,Hillary Clinton,78
Carbon,Wellington,President,,Workers World,Monica Moorehead,1
Carbon,Wellington,President,,Independent,Evan McMullin,43
Carbon,East Carbon,President,,Independent,Rocky Giordani,11
Carbon,East Carbon,President,,Republican,Donald Trump,333
Carbon,East Carbon,President,,Constitution,Darrell L. Castle,5
Carbon,East Carbon,President,,Democratic,Hillary Clinton,195
Carbon,East Carbon,President,,Workers World,Monica Moorehead,0
Carbon,East Carbon,President,,Independent,Evan McMullin,28
Carbon,West Helper,President,,Independent,Rocky Giordani,3
Carbon,West Helper,President,,Republican,Donald Trump,249
Carbon,West Helper,President,,Constitution,Darrell L. Castle,2
Carbon,West Helper,President,,Democratic,Hillary Clinton,157
Carbon,West Helper,President,,Workers World,Monica Moorehead,0
Carbon,West Helper,President,,Independent,Evan McMullin,27
Carbon,East County,President,,Independent,Rocky Giordani,1
Carbon,East County,President,,Republican,Donald Trump,413
Carbon,East County,President,,Constitution,Darrell L. Castle,3
Carbon,East County,President,,Democratic,Hillary Clinton,79
Carbon,East County,President,,Workers World,Monica Moorehead,1
Carbon,East County,President,,Independent,Evan McMullin,44
Carbon,Fairgrounds,President,,Independent,Rocky Giordani,4
Carbon,Fairgrounds,President,,Republican,Donald Trump,147
Carbon,Fairgrounds,President,,Constitution,Darrell L. Castle,1
Carbon,Fairgrounds,President,,Democratic,Hillary Clinton,41
Carbon,Fairgrounds,President,,Workers World,Monica Moorehead,0
Carbon,Fairgrounds,President,,Independent,Evan McMullin,18
Carbon,Castle Heights North,President,,Independent,Rocky Giordani,2
Carbon,Castle Heights North,President,,Republican,Donald Trump,356
Carbon,Castle Heights North,President,,Constitution,Darrell L. Castle,3
Carbon,Castle Heights North,President,,Democratic,Hillary Clinton,80
Carbon,Castle Heights North,President,,Workers World,Monica Moorehead,0
Carbon,Castle Heights North,President,,Independent,Evan McMullin,64
Carbon,Central Price,President,,Independent,Rocky Giordani,2
Carbon,Central Price,President,,Republican,Donald Trump,177
Carbon,Central Price,President,,Constitution,Darrell L. Castle,0
Carbon,Central Price,President,,Democratic,Hillary Clinton,74
Carbon,Central Price,President,,Workers World,Monica Moorehead,0
Carbon,Central Price,President,,Independent,Evan McMullin,19
Carbon,North East Price,President,,Independent,Rocky Giordani,3
Carbon,North East Price,President,,Republican,Donald Trump,256
Carbon,North East Price,President,,Constitution,Darrell L. Castle,12
Carbon,North East Price,President,,Democratic,Hillary Clinton,86
Carbon,North East Price,President,,Workers World,Monica Moorehead,2
Carbon,North East Price,President,,Independent,Evan McMullin,44
Carbon,North Price,President,,Independent,Rocky Giordani,3
Carbon,North Price,President,,Republican,Donald Trump,241
Carbon,North Price,President,,Constitution,Darrell L. Castle,1
Carbon,North Price,President,,Democratic,Hillary Clinton,84
Carbon,North Price,President,,Workers World,Monica Moorehead,0
Carbon,North Price,President,,Independent,Evan McMullin,45
Carbon,Castle Heights,President,,Independent,Rocky Giordani,0
Carbon,Castle Heights,President,,Republican,Donald Trump,285
Carbon,Castle Heights,President,,Constitution,Darrell L. Castle,7
Carbon,Castle Heights,President,,Democratic,Hillary Clinton,82
Carbon,Castle Heights,President,,Workers World,Monica Moorehead,0
Carbon,Castle Heights,President,,Independent,Evan McMullin,49
Carbon,South County,President,,Independent,Rocky Giordani,0
Carbon,South County,President,,Republican,Donald Trump,336
Carbon,South County,President,,Constitution,Darrell L. Castle,2
Carbon,South County,President,,Democratic,Hillary Clinton,62
Carbon,South County,President,,Workers World,Monica Moorehead,0
Carbon,South County,President,,Independent,Evan McMullin,20
Carbon,Spring Glen,President,,Independent,Rocky Giordani,3
Carbon,Spring Glen,President,,Republican,Donald Trump,416
Carbon,Spring Glen,President,,Constitution,Darrell L. Castle,2
Carbon,Spring Glen,President,,Democratic,Hillary Clinton,144
Carbon,Spring Glen,President,,Workers World,Monica Moorehead,0
Carbon,Spring Glen,President,,Independent,Evan McMullin,23
Carbon,Carbonville,President,,Independent,Rocky Giordani,6
Carbon,Carbonville,President,,Republican,Donald Trump,369
Carbon,Carbonville,President,,Constitution,Darrell L. Castle,0
Carbon,Carbonville,President,,Democratic,Hillary Clinton,97
Carbon,Carbonville,President,,Workers World,Monica Moorehead,0
Carbon,Carbonville,President,,Independent,Evan McMullin,27
Carbon,Westwood,President,,Independent,Rocky Giordani,1
Carbon,Westwood,President,,Republican,Donald Trump,367
Carbon,Westwood,President,,Constitution,Darrell L. Castle,2
Carbon,Westwood,President,,Democratic,Hillary Clinton,91
Carbon,Westwood,President,,Workers World,Monica Moorehead,0
Carbon,Westwood,President,,Independent,Evan McMullin,77
Carbon,Miller Creek,President,,Independent,Rocky Giordani,1
Carbon,Miller Creek,President,,Republican,Donald Trump,122
Carbon,Miller Creek,President,,Constitution,Darrell L. Castle,1
Carbon,Miller Creek,President,,Democratic,Hillary Clinton,18
Carbon,Miller Creek,President,,Workers World,Monica Moorehead,0
Carbon,Miller Creek,President,,Independent,Evan McMullin,6
Carbon,Scofield,President,,,Write-in,0
Carbon,Pleasant Valley,President,,,Write-in,0
Carbon,East Helper,President,,,Write-in,2
Carbon,South Price,President,,,Write-in,1
Carbon,East Price,President,,,Write-in,3
Carbon,Wellington,President,,,Write-in,2
Carbon,East Carbon,President,,,Write-in,3
Carbon,West Helper,President,,,Write-in,0
Carbon,East County,President,,,Write-in,2
Carbon,Fairgrounds,President,,,Write-in,3
Carbon,Castle Heights North,President,,,Write-in,6
Carbon,Central Price,President,,,Write-in,1
Carbon,North East Price,President,,,Write-in,2
Carbon,North Price,President,,,Write-in,5
Carbon,Castle Heights,President,,,Write-in,3
Carbon,South County,President,,,Write-in,4
Carbon,Spring Glen,President,,,Write-in,2
Carbon,Carbonville,President,,,Write-in,3
Carbon,Westwood,President,,,Write-in,4
Carbon,Miller Creek,President,,,Write-in,1
Carbon,Scofield,U.S. Senate,,Democratic,Misty K Snow,8
Carbon,Scofield,U.S. Senate,,Independent,Bill Barron,1
Carbon,Scofield,U.S. Senate,,Independent American,Stoney Fonua,2
Carbon,Scofield,U.S. Senate,,Republican,Mike Lee,16
Carbon,Pleasant Valley,U.S. Senate,,Democratic,Misty K Snow,6
Carbon,Pleasant Valley,U.S. Senate,,Independent,Bill Barron,0
Carbon,Pleasant Valley,U.S. Senate,,Independent American,Stoney Fonua,0
Carbon,Pleasant Valley,U.S. Senate,,Republican,Mike Lee,6
Carbon,East Helper,U.S. Senate,,Democratic,Misty K Snow,134
Carbon,East Helper,U.S. Senate,,Independent,Bill Barron,4
Carbon,East Helper,U.S. Senate,,Independent American,Stoney Fonua,18
Carbon,East Helper,U.S. Senate,,Republican,Mike Lee,180
Carbon,South Price,U.S. Senate,,Democratic,Misty K Snow,136
Carbon,South Price,U.S. Senate,,Independent,Bill Barron,6
Carbon,South Price,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,South Price,U.S. Senate,,Republican,Mike Lee,326
Carbon,East Price,U.S. Senate,,Democratic,Misty K Snow,113
Carbon,East Price,U.S. Senate,,Independent,Bill Barron,14
Carbon,East Price,U.S. Senate,,Independent American,Stoney Fonua,15
Carbon,East Price,U.S. Senate,,Republican,Mike Lee,268
Carbon,Wellington,U.S. Senate,,Democratic,Misty K Snow,103
Carbon,Wellington,U.S. Senate,,Independent,Bill Barron,11
Carbon,Wellington,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,Wellington,U.S. Senate,,Republican,Mike Lee,414
Carbon,East Carbon,U.S. Senate,,Democratic,Misty K Snow,203
Carbon,East Carbon,U.S. Senate,,Independent,Bill Barron,9
Carbon,East Carbon,U.S. Senate,,Independent American,Stoney Fonua,21
Carbon,East Carbon,U.S. Senate,,Republican,Mike Lee,341
Carbon,West Helper,U.S. Senate,,Democratic,Misty K Snow,160
Carbon,West Helper,U.S. Senate,,Independent,Bill Barron,6
Carbon,West Helper,U.S. Senate,,Independent American,Stoney Fonua,12
Carbon,West Helper,U.S. Senate,,Republican,Mike Lee,263
Carbon,East County,U.S. Senate,,Democratic,Misty K Snow,84
Carbon,East County,U.S. Senate,,Independent,Bill Barron,10
Carbon,East County,U.S. Senate,,Independent American,Stoney Fonua,8
Carbon,East County,U.S. Senate,,Republican,Mike Lee,448
Carbon,Fairgrounds,U.S. Senate,,Democratic,Misty K Snow,37
Carbon,Fairgrounds,U.S. Senate,,Independent,Bill Barron,6
Carbon,Fairgrounds,U.S. Senate,,Independent American,Stoney Fonua,9
Carbon,Fairgrounds,U.S. Senate,,Republican,Mike Lee,166
Carbon,Castle Heights North,U.S. Senate,,Democratic,Misty K Snow,98
Carbon,Castle Heights North,U.S. Senate,,Independent,Bill Barron,8
Carbon,Castle Heights North,U.S. Senate,,Independent American,Stoney Fonua,13
Carbon,Castle Heights North,U.S. Senate,,Republican,Mike Lee,400
Carbon,Central Price,U.S. Senate,,Democratic,Misty K Snow,74
Carbon,Central Price,U.S. Senate,,Independent,Bill Barron,6
Carbon,Central Price,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,Central Price,U.S. Senate,,Republican,Mike Lee,186
Carbon,North East Price,U.S. Senate,,Democratic,Misty K Snow,96
Carbon,North East Price,U.S. Senate,,Independent,Bill Barron,5
Carbon,North East Price,U.S. Senate,,Independent American,Stoney Fonua,9
Carbon,North East Price,U.S. Senate,,Republican,Mike Lee,306
Carbon,North Price,U.S. Senate,,Democratic,Misty K Snow,90
Carbon,North Price,U.S. Senate,,Independent,Bill Barron,9
Carbon,North Price,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,North Price,U.S. Senate,,Republican,Mike Lee,275
Carbon,Castle Heights,U.S. Senate,,Democratic,Misty K Snow,76
Carbon,Castle Heights,U.S. Senate,,Independent,Bill Barron,3
Carbon,Castle Heights,U.S. Senate,,Independent American,Stoney Fonua,15
Carbon,Castle Heights,U.S. Senate,,Republican,Mike Lee,335
Carbon,South County,U.S. Senate,,Democratic,Misty K Snow,75
Carbon,South County,U.S. Senate,,Independent,Bill Barron,12
Carbon,South County,U.S. Senate,,Independent American,Stoney Fonua,7
Carbon,South County,U.S. Senate,,Republican,Mike Lee,330
Carbon,Spring Glen,U.S. Senate,,Democratic,Misty K Snow,144
Carbon,Spring Glen,U.S. Senate,,Independent,Bill Barron,11
Carbon,Spring Glen,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,Spring Glen,U.S. Senate,,Republican,Mike Lee,421
Carbon,Carbonville,U.S. Senate,,Democratic,Misty K Snow,117
Carbon,Carbonville,U.S. Senate,,Independent,Bill Barron,7
Carbon,Carbonville,U.S. Senate,,Independent American,Stoney Fonua,16
Carbon,Carbonville,U.S. Senate,,Republican,Mike Lee,373
Carbon,Westwood,U.S. Senate,,Democratic,Misty K Snow,103
Carbon,Westwood,U.S. Senate,,Independent,Bill Barron,6
Carbon,Westwood,U.S. Senate,,Independent American,Stoney Fonua,10
Carbon,Westwood,U.S. Senate,,Republican,Mike Lee,430
Carbon,Miller Creek,U.S. Senate,,Democratic,Misty K Snow,25
Carbon,Miller Creek,U.S. Senate,,Independent,Bill Barron,2
Carbon,Miller Creek,U.S. Senate,,Independent American,Stoney Fonua,5
Carbon,Miller Creek,U.S. Senate,,Republican,Mike Lee,122
Carbon,Scofield,U.S. House,,Democratic,Stephen P. Tyron,10
Carbon,Scofield,U.S. House,,Republican,Jason Chaffetz,17
Carbon,Pleasant Valley,U.S. House,,Democratic,Stephen P. Tyron,6
Carbon,Pleasant Valley,U.S. House,,Republican,Jason Chaffetz,6
Carbon,East Helper,U.S. House,,Democratic,Stephen P. Tyron,168
Carbon,East Helper,U.S. House,,Republican,Jason Chaffetz,175
Carbon,South Price,U.S. House,,Democratic,Stephen P. Tyron,146
Carbon,South Price,U.S. House,,Republican,Jason Chaffetz,327
Carbon,East Price,U.S. House,,Democratic,Stephen P. Tyron,158
Carbon,East Price,U.S. House,,Republican,Jason Chaffetz,250
Carbon,Wellington,U.S. House,,Democratic,Stephen P. Tyron,138
Carbon,Wellington,U.S. House,,Republican,Jason Chaffetz,392
Carbon,East Carbon,U.S. House,,Democratic,Stephen P. Tyron,238
Carbon,East Carbon,U.S. House,,Republican,Jason Chaffetz,327
Carbon,West Helper,U.S. House,,Democratic,Stephen P. Tyron,197
Carbon,West Helper,U.S. House,,Republican,Jason Chaffetz,247
Carbon,East County,U.S. House,,Democratic,Stephen P. Tyron,120
Carbon,East County,U.S. House,,Republican,Jason Chaffetz,425
Carbon,Fairgrounds,U.S. House,,Democratic,Stephen P. Tyron,55
Carbon,Fairgrounds,U.S. House,,Republican,Jason Chaffetz,162
Carbon,Castle Heights North,U.S. House,,Democratic,Stephen P. Tyron,126
Carbon,Castle Heights North,U.S. House,,Republican,Jason Chaffetz,393
Carbon,Central Price,U.S. House,,Democratic,Stephen P. Tyron,108
Carbon,Central Price,U.S. House,,Republican,Jason Chaffetz,169
Carbon,North East Price,U.S. House,,Democratic,Stephen P. Tyron,129
Carbon,North East Price,U.S. House,,Republican,Jason Chaffetz,281
Carbon,North Price,U.S. House,,Democratic,Stephen P. Tyron,119
Carbon,North Price,U.S. House,,Republican,Jason Chaffetz,261
Carbon,Castle Heights,U.S. House,,Democratic,Stephen P. Tyron,100
Carbon,Castle Heights,U.S. House,,Republican,Jason Chaffetz,330
Carbon,South County,U.S. House,,Democratic,Stephen P. Tyron,108
Carbon,South County,U.S. House,,Republican,Jason Chaffetz,315
Carbon,Spring Glen,U.S. House,,Democratic,Stephen P. Tyron,202
Carbon,Spring Glen,U.S. House,,Republican,Jason Chaffetz,395
Carbon,Carbonville,U.S. House,,Democratic,Stephen P. Tyron,152
Carbon,Carbonville,U.S. House,,Republican,Jason Chaffetz,354
Carbon,Westwood,U.S. House,,Democratic,Stephen P. Tyron,141
Carbon,Westwood,U.S. House,,Republican,Jason Chaffetz,408
Carbon,Miller Creek,U.S. House,,Democratic,Stephen P. Tyron,35
Carbon,Miller Creek,U.S. House,,Republican,Jason Chaffetz,118
Carbon,Scofield,Governor,,Republican,Gary R. Herbert,16
Carbon,Scofield,Governor,,Independent,Superdell Schanze,1
Carbon,Scofield,Governor,,Libertarian,Brian E. Kamerath,0
Carbon,Scofield,Governor,,Democratic,Mike Weinholtz,10
Carbon,Pleasant Valley,Governor,,Republican,Gary R. Herbert,6
Carbon,Pleasant Valley,Governor,,Independent,Superdell Schanze,1
Carbon,Pleasant Valley,Governor,,Libertarian,Brian E. Kamerath,0
Carbon,Pleasant Valley,Governor,,Democratic,Mike Weinholtz,5
Carbon,East Helper,Governor,,Republican,Gary R. Herbert,194
Carbon,East Helper,Governor,,Independent,Superdell Schanze,9
Carbon,East Helper,Governor,,Libertarian,Brian E. Kamerath,9
Carbon,East Helper,Governor,,Democratic,Mike Weinholtz,133
Carbon,South Price,Governor,,Republican,Gary R. Herbert,330
Carbon,South Price,Governor,,Independent,Superdell Schanze,10
Carbon,South Price,Governor,,Libertarian,Brian E. Kamerath,12
Carbon,South Price,Governor,,Democratic,Mike Weinholtz,127
Carbon,East Price,Governor,,Republican,Gary R. Herbert,258
Carbon,East Price,Governor,,Independent,Superdell Schanze,13
Carbon,East Price,Governor,,Libertarian,Brian E. Kamerath,14
Carbon,East Price,Governor,,Democratic,Mike Weinholtz,129
Carbon,Wellington,Governor,,Republican,Gary R. Herbert,408
Carbon,Wellington,Governor,,Independent,Superdell Schanze,6
Carbon,Wellington,Governor,,Libertarian,Brian E. Kamerath,10
Carbon,Wellington,Governor,,Democratic,Mike Weinholtz,123
Carbon,East Carbon,Governor,,Republican,Gary R. Herbert,343
Carbon,East Carbon,Governor,,Independent,Superdell Schanze,15
Carbon,East Carbon,Governor,,Libertarian,Brian E. Kamerath,19
Carbon,East Carbon,Governor,,Democratic,Mike Weinholtz,202
Carbon,West Helper,Governor,,Republican,Gary R. Herbert,259
Carbon,West Helper,Governor,,Independent,Superdell Schanze,9
Carbon,West Helper,Governor,,Libertarian,Brian E. Kamerath,8
Carbon,West Helper,Governor,,Democratic,Mike Weinholtz,171
Carbon,East County,Governor,,Republican,Gary R. Herbert,442
Carbon,East County,Governor,,Independent,Superdell Schanze,4
Carbon,East County,Governor,,Libertarian,Brian E. Kamerath,11
Carbon,East County,Governor,,Democratic,Mike Weinholtz,93
Carbon,Fairgrounds,Governor,,Republican,Gary R. Herbert,168
Carbon,Fairgrounds,Governor,,Independent,Superdell Schanze,6
Carbon,Fairgrounds,Governor,,Libertarian,Brian E. Kamerath,5
Carbon,Fairgrounds,Governor,,Democratic,Mike Weinholtz,46
Carbon,Castle Heights North,Governor,,Republican,Gary R. Herbert,411
Carbon,Castle Heights North,Governor,,Independent,Superdell Schanze,5
Carbon,Castle Heights North,Governor,,Libertarian,Brian E. Kamerath,11
Carbon,Castle Heights North,Governor,,Democratic,Mike Weinholtz,102
Carbon,Central Price,Governor,,Republican,Gary R. Herbert,185
Carbon,Central Price,Governor,,Independent,Superdell Schanze,5
Carbon,Central Price,Governor,,Libertarian,Brian E. Kamerath,5
Carbon,Central Price,Governor,,Democratic,Mike Weinholtz,85
Carbon,North East Price,Governor,,Republican,Gary R. Herbert,294
Carbon,North East Price,Governor,,Independent,Superdell Schanze,10
Carbon,North East Price,Governor,,Libertarian,Brian E. Kamerath,12
Carbon,North East Price,Governor,,Democratic,Mike Weinholtz,104
Carbon,North Price,Governor,,Republican,Gary R. Herbert,263
Carbon,North Price,Governor,,Independent,Superdell Schanze,9
Carbon,North Price,Governor,,Libertarian,Brian E. Kamerath,7
Carbon,North Price,Governor,,Democratic,Mike Weinholtz,103
Carbon,Castle Heights,Governor,,Republican,Gary R. Herbert,337
Carbon,Castle Heights,Governor,,Independent,Superdell Schanze,7
Carbon,Castle Heights,Governor,,Libertarian,Brian E. Kamerath,11
Carbon,Castle Heights,Governor,,Democratic,Mike Weinholtz,81
Carbon,South County,Governor,,Republican,Gary R. Herbert,326
Carbon,South County,Governor,,Independent,Superdell Schanze,7
Carbon,South County,Governor,,Libertarian,Brian E. Kamerath,10
Carbon,South County,Governor,,Democratic,Mike Weinholtz,92
Carbon,Spring Glen,Governor,,Republican,Gary R. Herbert,421
Carbon,Spring Glen,Governor,,Independent,Superdell Schanze,5
Carbon,Spring Glen,Governor,,Libertarian,Brian E. Kamerath,12
Carbon,Spring Glen,Governor,,Democratic,Mike Weinholtz,165
Carbon,Carbonville,Governor,,Republican,Gary R. Herbert,367
Carbon,Carbonville,Governor,,Independent,Superdell Schanze,7
Carbon,Carbonville,Governor,,Libertarian,Brian E. Kamerath,14
Carbon,Carbonville,Governor,,Democratic,Mike Weinholtz,126
Carbon,Westwood,Governor,,Republican,Gary R. Herbert,440
Carbon,Westwood,Governor,,Independent,Superdell Schanze,4
Carbon,Westwood,Governor,,Libertarian,Brian E. Kamerath,7
Carbon,Westwood,Governor,,Democratic,Mike Weinholtz,102
Carbon,Miller Creek,Governor,,Republican,Gary R. Herbert,106
Carbon,Miller Creek,Governor,,Independent,Superdell Schanze,9
Carbon,Miller Creek,Governor,,Libertarian,Brian E. Kamerath,3
Carbon,Miller Creek,Governor,,Democratic,Mike Weinholtz,35
Carbon,Scofield,Governor,,,Write-in,0
Carbon,Pleasant Valley,Governor,,,Write-in,0
Carbon,East Helper,Governor,,,Write-in,0
Carbon,South Price,Governor,,,Write-in,0
Carbon,East Price,Governor,,,Write-in,0
Carbon,Wellington,Governor,,,Write-in,2
Carbon,East Carbon,Governor,,,Write-in,2
Carbon,West Helper,Governor,,,Write-in,0
Carbon,East County,Governor,,,Write-in,0
Carbon,Fairgrounds,Governor,,,Write-in,0
Carbon,Castle Heights North,Governor,,,Write-in,0
Carbon,Central Price,Governor,,,Write-in,0
Carbon,North East Price,Governor,,,Write-in,0
Carbon,North Price,Governor,,,Write-in,2
Carbon,Castle Heights,Governor,,,Write-in,0
Carbon,South County,Governor,,,Write-in,0
Carbon,Spring Glen,Governor,,,Write-in,0
Carbon,Carbonville,Governor,,,Write-in,2
Carbon,Westwood,Governor,,,Write-in,0
Carbon,Miller Creek,Governor,,,Write-in,0
Carbon,Scofield,Attorney General,,Independent,Michael W. Isbell,1
Carbon,Scofield,Attorney General,,Democratic,Jon V. Harper,7
Carbon,Scofield,Attorney General,,Republican,Sean D. Reyes,16
Carbon,Scofield,Attorney General,,Libertarian,W. Andrew McCullough,3
Carbon,Pleasant Valley,Attorney General,,Independent,Michael W. Isbell,2
Carbon,Pleasant Valley,Attorney General,,Democratic,Jon V. Harper,5
Carbon,Pleasant Valley,Attorney General,,Republican,Sean D. Reyes,5
Carbon,Pleasant Valley,Attorney General,,Libertarian,W. Andrew McCullough,0
Carbon,East Helper,Attorney General,,Independent,Michael W. Isbell,15
Carbon,East Helper,Attorney General,,Democratic,Jon V. Harper,122
Carbon,East Helper,Attorney General,,Republican,Sean D. Reyes,166
Carbon,East Helper,Attorney General,,Libertarian,W. Andrew McCullough,32
Carbon,South Price,Attorney General,,Independent,Michael W. Isbell,22
Carbon,South Price,Attorney General,,Democratic,Jon V. Harper,111
Carbon,South Price,Attorney General,,Republican,Sean D. Reyes,310
