county,precinct,office,district,candidate,party,votes,election_day,mail,absentee,provisional
San Pete,FAIRVIEW UNINCORPORATED,U.S. House,4,Collin Simonsen,Constitution,44,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. House,4,Doug Owens,Democratic,96,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. House,4,Mia Love,Republican,383,,,,
San Pete,FAIRVIEW UNINCORPORATED,Governor,,Gary Herbert,Republican,442,,,,
San Pete,FAIRVIEW UNINCORPORATED,Governor,,Dell Schanze,Independent American,11,,,,
San Pete,FAIRVIEW UNINCORPORATED,Governor,,Brian Kamerath,Libertarian,12,,,,
San Pete,FAIRVIEW UNINCORPORATED,Governor,,Mike Weinholtz,Democratic,61,,,,
San Pete,FAIRVIEW UNINCORPORATED,Governor,,Write In,,0,,,,
San Pete,FAIRVIEW UNINCORPORATED,Attorney General,,Michael Isbell,Independent American,24,,,,
San Pete,FAIRVIEW UNINCORPORATED,Attorney General,,Jon Harper,Democratic,70,,,,
San Pete,FAIRVIEW UNINCORPORATED,Attorney General,,Sean Reyes,Republican,388,,,,
San Pete,FAIRVIEW UNINCORPORATED,Attorney General,,W. Andrew McCullough,Libertarian,32,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Auditor,,John Dougall,Republican,382,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Auditor,,Jared Green,Independent American,44,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Auditor,,Mike Mitchell,Democratic,76,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Treasurer,,Richard Proctor,Constitution,64,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Treasurer,,Neil Hansen,Democratic,87,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Treasurer,,David Damschen,Republican,356,,,,
San Pete,FAIRVIEW UNINCORPORATED,State Senate,24,Ralph Okerlund,Republican,448,,,,
San Pete,FAIRVIEW UNINCORPORATED,State House,58,Derrin Owens,Republican,452,,,,
San Pete,FOUNTAIN GREEN,President,,Rocky De La Fuente,,0,,,,
San Pete,FOUNTAIN GREEN,President,,Jill Stein,,3,,,,
San Pete,FOUNTAIN GREEN,President,,Alyson Kennedy,,0,,,,
San Pete,FOUNTAIN GREEN,President,,Gary Johnson,Libertarian,6,,,,
San Pete,FOUNTAIN GREEN,President,,Rocky Giordani,Independent American,1,,,,
San Pete,FOUNTAIN GREEN,President,,Donald Trump,Republican,302,,,,
San Pete,FOUNTAIN GREEN,President,,Darrell Castle,Constitution,6,,,,
San Pete,FOUNTAIN GREEN,President,,Hillary Clinton,Democratic,37,,,,
San Pete,FOUNTAIN GREEN,President,,Monica Moorehead,,0,,,,
San Pete,FOUNTAIN GREEN,President,,Evan McMullin,,79,,,,
San Pete,FOUNTAIN GREEN,President,,Write In,,2,,,,
San Pete,FOUNTAIN GREEN,U.S. Senate,,Misty Snow,Democratic,33,,,,
San Pete,FOUNTAIN GREEN,U.S. Senate,,Bill Barron,,2,,,,
San Pete,FOUNTAIN GREEN,U.S. Senate,,Stoney Fonua,Independent American,16,,,,
San Pete,FOUNTAIN GREEN,U.S. Senate,,Mike Lee,Republican,370,,,,
San Pete,FOUNTAIN GREEN,U.S. House,4,Collin Simonsen,Constitution,20,,,,
San Pete,FOUNTAIN GREEN,U.S. House,4,Doug Owens,Democratic,69,,,,
San Pete,FOUNTAIN GREEN,U.S. House,4,Mia Love,Republican,340,,,,
San Pete,FOUNTAIN GREEN,Governor,,Gary Herbert,Republican,381,,,,
San Pete,FOUNTAIN GREEN,Governor,,Dell Schanze,Independent American,4,,,,
San Pete,FOUNTAIN GREEN,Governor,,Brian Kamerath,Libertarian,8,,,,
San Pete,FOUNTAIN GREEN,Governor,,Mike Weinholtz,Democratic,32,,,,
San Pete,FOUNTAIN GREEN,Governor,,Write In,,1,,,,
San Pete,FOUNTAIN GREEN,Attorney General,,Michael Isbell,Independent American,20,,,,
San Pete,FOUNTAIN GREEN,Attorney General,,Jon Harper,Democratic,40,,,,
San Pete,FOUNTAIN GREEN,Attorney General,,Sean Reyes,Republican,327,,,,
San Pete,FOUNTAIN GREEN,Attorney General,,W. Andrew McCullough,Libertarian,24,,,,
San Pete,FOUNTAIN GREEN,State Auditor,,John Dougall,Republican,329,,,,
San Pete,FOUNTAIN GREEN,State Auditor,,Jared Green,Independent American,27,,,,
San Pete,FOUNTAIN GREEN,State Auditor,,Mike Mitchell,Democratic,52,,,,
San Pete,FOUNTAIN GREEN,State Treasurer,,Richard Proctor,Constitution,37,,,,
San Pete,FOUNTAIN GREEN,State Treasurer,,Neil Hansen,Democratic,64,,,,
San Pete,FOUNTAIN GREEN,State Treasurer,,David Damschen,Republican,308,,,,
San Pete,FOUNTAIN GREEN,State Senate,24,Ralph Okerlund,Republican,359,,,,
San Pete,FOUNTAIN GREEN,State House,58,Derrin Owens,Republican,384,,,,
San Pete,WALES MUNICIPAL,President,,Rocky De La Fuente,,0,,,,
San Pete,WALES MUNICIPAL,President,,Jill Stein,,1,,,,
San Pete,WALES MUNICIPAL,President,,Alyson Kennedy,,0,,,,
San Pete,WALES MUNICIPAL,President,,Gary Johnson,Libertarian,6,,,,
San Pete,WALES MUNICIPAL,President,,Rocky Giordani,Independent American,0,,,,
San Pete,WALES MUNICIPAL,President,,Donald Trump,Republican,101,,,,
San Pete,WALES MUNICIPAL,President,,Darrell Castle,Constitution,1,,,,
San Pete,WALES MUNICIPAL,President,,Hillary Clinton,Democratic,25,,,,
San Pete,WALES MUNICIPAL,President,,Monica Moorehead,,0,,,,
San Pete,WALES MUNICIPAL,President,,Evan McMullin,,21,,,,
San Pete,WALES MUNICIPAL,President,,Write In,,1,,,,
San Pete,WALES MUNICIPAL,U.S. Senate,,Misty Snow,Democratic,28,,,,
San Pete,WALES MUNICIPAL,U.S. Senate,,Bill Barron,,1,,,,
San Pete,WALES MUNICIPAL,U.S. Senate,,Stoney Fonua,Independent American,1,,,,
San Pete,WALES MUNICIPAL,U.S. Senate,,Mike Lee,Republican,125,,,,
San Pete,WALES MUNICIPAL,U.S. House,4,Collin Simonsen,Constitution,8,,,,
San Pete,WALES MUNICIPAL,U.S. House,4,Doug Owens,Democratic,39,,,,
San Pete,WALES MUNICIPAL,U.S. House,4,Mia Love,Republican,109,,,,
San Pete,WALES MUNICIPAL,Governor,,Gary Herbert,Republican,125,,,,
San Pete,WALES MUNICIPAL,Governor,,Dell Schanze,Independent American,1,,,,
San Pete,WALES MUNICIPAL,Governor,,Brian Kamerath,Libertarian,2,,,,
San Pete,WALES MUNICIPAL,Governor,,Mike Weinholtz,Democratic,25,,,,
San Pete,WALES MUNICIPAL,Governor,,Write In,,0,,,,
San Pete,WALES MUNICIPAL,Attorney General,,Michael Isbell,Independent American,3,,,,
San Pete,WALES MUNICIPAL,Attorney General,,Jon Harper,Democratic,26,,,,
San Pete,WALES MUNICIPAL,Attorney General,,Sean Reyes,Republican,117,,,,
San Pete,WALES MUNICIPAL,Attorney General,,W. Andrew McCullough,Libertarian,7,,,,
San Pete,WALES MUNICIPAL,State Auditor,,John Dougall,Republican,110,,,,
San Pete,WALES MUNICIPAL,State Auditor,,Jared Green,Independent American,7,,,,
San Pete,WALES MUNICIPAL,State Auditor,,Mike Mitchell,Democratic,35,,,,
San Pete,WALES MUNICIPAL,State Treasurer,,Richard Proctor,Constitution,5,,,,
San Pete,WALES MUNICIPAL,State Treasurer,,Neil Hansen,Democratic,39,,,,
San Pete,WALES MUNICIPAL,State Treasurer,,David Damschen,Republican,107,,,,
San Pete,WALES MUNICIPAL,State Senate,24,Ralph Okerlund,Republican,128,,,,
San Pete,WALES MUNICIPAL,State House,58,Derrin Owens,Republican,133,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Rocky De La Fuente,,0,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Jill Stein,,0,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Alyson Kennedy,,0,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Gary Johnson,Libertarian,4,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Rocky Giordani,Independent American,0,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Donald Trump,Republican,150,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Darrell Castle,Constitution,8,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Hillary Clinton,Democratic,22,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Monica Moorehead,,0,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Evan McMullin,,40,,,,
San Pete,NORTH SANPETE UNINCORPORATED,President,,Write In,,3,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. Senate,,Misty Snow,Democratic,25,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. Senate,,Bill Barron,,3,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. Senate,,Stoney Fonua,Independent American,7,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. Senate,,Mike Lee,Republican,186,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. House,4,Collin Simonsen,Constitution,10,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. House,4,Doug Owens,Democratic,42,,,,
San Pete,NORTH SANPETE UNINCORPORATED,U.S. House,4,Mia Love,Republican,173,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Governor,,Gary Herbert,Republican,185,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Governor,,Dell Schanze,Independent American,5,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Governor,,Brian Kamerath,Libertarian,9,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Governor,,Mike Weinholtz,Democratic,27,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Governor,,Write In,,1,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Attorney General,,Michael Isbell,Independent American,7,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Attorney General,,Jon Harper,Democratic,16,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Attorney General,,Sean Reyes,Republican,179,,,,
San Pete,NORTH SANPETE UNINCORPORATED,Attorney General,,W. Andrew McCullough,Libertarian,16,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Auditor,,John Dougall,Republican,167,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Auditor,,Jared Green,Independent American,17,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Auditor,,Mike Mitchell,Democratic,29,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Treasurer,,Richard Proctor,Constitution,22,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Treasurer,,Neil Hansen,Democratic,33,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Treasurer,,David Damschen,Republican,160,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State Senate,24,Ralph Okerlund,Republican,176,,,,
San Pete,NORTH SANPETE UNINCORPORATED,State House,58,Derrin Owens,Republican,179,,,,
San Pete,MORONI MUNICIPAL,President,,Rocky De La Fuente,,3,,,,
San Pete,MORONI MUNICIPAL,President,,Jill Stein,,1,,,,
San Pete,MORONI MUNICIPAL,President,,Alyson Kennedy,,0,,,,
San Pete,MORONI MUNICIPAL,President,,Gary Johnson,Libertarian,13,,,,
San Pete,MORONI MUNICIPAL,President,,Rocky Giordani,Independent American,3,,,,
San Pete,MORONI MUNICIPAL,President,,Donald Trump,Republican,336,,,,
San Pete,MORONI MUNICIPAL,President,,Darrell Castle,Constitution,1,,,,
San Pete,MORONI MUNICIPAL,President,,Hillary Clinton,Democratic,52,,,,
San Pete,MORONI MUNICIPAL,President,,Monica Moorehead,,0,,,,
San Pete,MORONI MUNICIPAL,President,,Evan McMullin,,86,,,,
San Pete,MORONI MUNICIPAL,President,,Write In,,5,,,,
San Pete,MORONI MUNICIPAL,U.S. Senate,,Misty Snow,Democratic,59,,,,
San Pete,MORONI MUNICIPAL,U.S. Senate,,Bill Barron,,2,,,,
San Pete,MORONI MUNICIPAL,U.S. Senate,,Stoney Fonua,Independent American,13,,,,
San Pete,MORONI MUNICIPAL,U.S. Senate,,Mike Lee,Republican,420,,,,
San Pete,MORONI MUNICIPAL,U.S. House,4,Collin Simonsen,Constitution,26,,,,
San Pete,MORONI MUNICIPAL,U.S. House,4,Doug Owens,Democratic,83,,,,
San Pete,MORONI MUNICIPAL,U.S. House,4,Mia Love,Republican,388,,,,
San Pete,MORONI MUNICIPAL,Governor,,Gary Herbert,Republican,440,,,,
San Pete,MORONI MUNICIPAL,Governor,,Dell Schanze,Independent American,7,,,,
San Pete,MORONI MUNICIPAL,Governor,,Brian Kamerath,Libertarian,12,,,,
San Pete,MORONI MUNICIPAL,Governor,,Mike Weinholtz,Democratic,38,,,,
San Pete,MORONI MUNICIPAL,Governor,,Write In,,0,,,,
San Pete,MORONI MUNICIPAL,Attorney General,,Michael Isbell,Independent American,18,,,,
San Pete,MORONI MUNICIPAL,Attorney General,,Jon Harper,Democratic,56,,,,
San Pete,MORONI MUNICIPAL,Attorney General,,Sean Reyes,Republican,395,,,,
San Pete,MORONI MUNICIPAL,Attorney General,,W. Andrew McCullough,Libertarian,20,,,,
San Pete,MORONI MUNICIPAL,State Auditor,,John Dougall,Republican,371,,,,
San Pete,MORONI MUNICIPAL,State Auditor,,Jared Green,Independent American,28,,,,
San Pete,MORONI MUNICIPAL,State Auditor,,Mike Mitchell,Democratic,82,,,,
San Pete,MORONI MUNICIPAL,State Treasurer,,Richard Proctor,Constitution,39,,,,
San Pete,MORONI MUNICIPAL,State Treasurer,,Neil Hansen,Democratic,94,,,,
San Pete,MORONI MUNICIPAL,State Treasurer,,David Damschen,Republican,348,,,,
San Pete,MORONI MUNICIPAL,State Senate,24,Ralph Okerlund,Republican,447,,,,
San Pete,MORONI MUNICIPAL,State House,58,Derrin Owens,Republican,447,,,,
San Pete,MORONI UNINCORPORATED,President,,Rocky De La Fuente,,0,,,,
San Pete,MORONI UNINCORPORATED,President,,Jill Stein,,0,,,,
San Pete,MORONI UNINCORPORATED,President,,Alyson Kennedy,,0,,,,
San Pete,MORONI UNINCORPORATED,President,,Gary Johnson,Libertarian,3,,,,
San Pete,MORONI UNINCORPORATED,President,,Rocky Giordani,Independent American,0,,,,
San Pete,MORONI UNINCORPORATED,President,,Donald Trump,Republican,59,,,,
San Pete,MORONI UNINCORPORATED,President,,Darrell Castle,Constitution,1,,,,
San Pete,MORONI UNINCORPORATED,President,,Hillary Clinton,Democratic,7,,,,
San Pete,MORONI UNINCORPORATED,President,,Monica Moorehead,,0,,,,
San Pete,MORONI UNINCORPORATED,President,,Evan McMullin,,30,,,,
San Pete,MORONI UNINCORPORATED,President,,Write In,,5,,,,
San Pete,MORONI UNINCORPORATED,U.S. Senate,,Misty Snow,Democratic,10,,,,
San Pete,MORONI UNINCORPORATED,U.S. Senate,,Bill Barron,,0,,,,
San Pete,MORONI UNINCORPORATED,U.S. Senate,,Stoney Fonua,Independent American,0,,,,
San Pete,MORONI UNINCORPORATED,U.S. Senate,,Mike Lee,Republican,93,,,,
San Pete,MORONI UNINCORPORATED,U.S. House,4,Collin Simonsen,Constitution,5,,,,
San Pete,MORONI UNINCORPORATED,U.S. House,4,Doug Owens,Democratic,14,,,,
San Pete,MORONI UNINCORPORATED,U.S. House,4,Mia Love,Republican,83,,,,
San Pete,MORONI UNINCORPORATED,Governor,,Gary Herbert,Republican,93,,,,
San Pete,MORONI UNINCORPORATED,Governor,,Dell Schanze,Independent American,1,,,,
San Pete,MORONI UNINCORPORATED,Governor,,Brian Kamerath,Libertarian,1,,,,
San Pete,MORONI UNINCORPORATED,Governor,,Mike Weinholtz,Democratic,9,,,,
San Pete,MORONI UNINCORPORATED,Governor,,Write In,,0,,,,
San Pete,MORONI UNINCORPORATED,Attorney General,,Michael Isbell,Independent American,2,,,,
San Pete,MORONI UNINCORPORATED,Attorney General,,Jon Harper,Democratic,9,,,,
San Pete,MORONI UNINCORPORATED,Attorney General,,Sean Reyes,Republican,77,,,,
San Pete,MORONI UNINCORPORATED,Attorney General,,W. Andrew McCullough,Libertarian,10,,,,
San Pete,MORONI UNINCORPORATED,State Auditor,,John Dougall,Republican,75,,,,
San Pete,MORONI UNINCORPORATED,State Auditor,,Jared Green,Independent American,7,,,,
San Pete,MORONI UNINCORPORATED,State Auditor,,Mike Mitchell,Democratic,15,,,,
San Pete,MORONI UNINCORPORATED,State Treasurer,,Richard Proctor,Constitution,11,,,,
San Pete,MORONI UNINCORPORATED,State Treasurer,,Neil Hansen,Democratic,14,,,,
San Pete,MORONI UNINCORPORATED,State Treasurer,,David Damschen,Republican,71,,,,
San Pete,MORONI UNINCORPORATED,State Senate,24,Ralph Okerlund,Republican,81,,,,
San Pete,MORONI UNINCORPORATED,State House,58,Derrin Owens,Republican,83,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Rocky De La Fuente,,1,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Jill Stein,,5,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Alyson Kennedy,,0,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Gary Johnson,Libertarian,21,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Rocky Giordani,Independent American,1,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Donald Trump,Republican,488,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Darrell Castle,Constitution,14,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Hillary Clinton,Democratic,144,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Monica Moorehead,,0,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Evan McMullin,,140,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,President,,Write In,,5,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. Senate,,Misty Snow,Democratic,155,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. Senate,,Bill Barron,,12,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. Senate,,Stoney Fonua,Independent American,22,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. Senate,,Mike Lee,Republican,611,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. House,4,Collin Simonsen,Constitution,59,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. House,4,Doug Owens,Democratic,192,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,U.S. House,4,Mia Love,Republican,553,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Governor,,Gary Herbert,Republican,638,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Governor,,Dell Schanze,Independent American,18,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Governor,,Brian Kamerath,Libertarian,26,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Governor,,Mike Weinholtz,Democratic,131,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Governor,,Write In,,1,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Attorney General,,Michael Isbell,Independent American,44,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Attorney General,,Jon Harper,Democratic,132,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Attorney General,,Sean Reyes,Republican,571,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,Attorney General,,W. Andrew McCullough,Libertarian,34,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Auditor,,John Dougall,Republican,526,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Auditor,,Jared Green,Independent American,58,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Auditor,,Mike Mitchell,Democratic,169,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Treasurer,,Richard Proctor,Constitution,70,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Treasurer,,Neil Hansen,Democratic,191,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Treasurer,,David Damschen,Republican,491,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State Senate,24,Ralph Okerlund,Republican,630,,,,
San Pete,MT PLEASANT 1 MUNICIPAL,State House,58,Derrin Owens,Republican,626,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Rocky De La Fuente,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Jill Stein,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Alyson Kennedy,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Gary Johnson,Libertarian,1,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Rocky Giordani,Independent American,2,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Donald Trump,Republican,133,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Darrell Castle,Constitution,5,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Hillary Clinton,Democratic,8,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Monica Moorehead,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Evan McMullin,,44,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,President,,Write In,,1,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. Senate,,Misty Snow,Democratic,10,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. Senate,,Bill Barron,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. Senate,,Stoney Fonua,Independent American,7,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. Senate,,Mike Lee,Republican,175,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. House,4,Collin Simonsen,Constitution,8,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. House,4,Doug Owens,Democratic,18,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,U.S. House,4,Mia Love,Republican,166,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Governor,,Gary Herbert,Republican,169,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Governor,,Dell Schanze,Independent American,4,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Governor,,Brian Kamerath,Libertarian,10,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Governor,,Mike Weinholtz,Democratic,10,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Governor,,Write In,,0,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Attorney General,,Michael Isbell,Independent American,8,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Attorney General,,Jon Harper,Democratic,17,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Attorney General,,Sean Reyes,Republican,158,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,Attorney General,,W. Andrew McCullough,Libertarian,8,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,State Auditor,,John Dougall,Republican,143,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,State Auditor,,Jared Green,Independent American,17,,,,
San Pete,MT PLEASANT 1 UNINCORPORATED,State Auditor,,Mike Mitchell,Democratic,23,,,,
