county,precincts,office,district,party,candidate,votes
Garfield,Escalante,U.S. Senate,,Independent,Bill Barron,10
Garfield,Escalante,U.S. Senate,,Independent American,Stoney Fonua,5
Garfield,Hatch,U.S. Senate,,Democratic,Misty K Snow,19
Garfield,Hatch,U.S. Senate,,Independent,Bill Barron,5
Garfield,Hatch,U.S. Senate,,Independent American,Stoney Fonua,1
Garfield,Henrieville,U.S. Senate,,Democratic,Misty K Snow,13
Garfield,Henrieville,U.S. Senate,,Independent,Bill Barron,0
Garfield,Henrieville,U.S. Senate,,Independent American,Stoney Fonua,4
Garfield,Pang1,U.S. Senate,,Democratic,Misty K Snow,49
Garfield,Pang1,U.S. Senate,,Independent,Bill Barron,2
Garfield,Pang1,U.S. Senate,,Independent American,Stoney Fonua,4
Garfield,Pang2,U.S. Senate,,Democratic,Misty K Snow,31
Garfield,Pang2,U.S. Senate,,Independent,Bill Barron,1
Garfield,Pang2,U.S. Senate,,Independent American,Stoney Fonua,5
Garfield,Ticaboo,U.S. Senate,,Democratic,Misty K Snow,7
Garfield,Ticaboo,U.S. Senate,,Independent,Bill Barron,2
Garfield,Ticaboo,U.S. Senate,,Independent American,Stoney Fonua,0
Garfield,Tropic,U.S. Senate,,Democratic,Misty K Snow,20
Garfield,Tropic,U.S. Senate,,Independent,Bill Barron,2
Garfield,Tropic,U.S. Senate,,Independent American,Stoney Fonua,2
Garfield,Bryce,U.S. Senate,,Democratic,Misty K Snow,2
Garfield,Bryce,U.S. Senate,,Independent,Bill Barron,0
Garfield,Bryce,U.S. Senate,,Independent American,Stoney Fonua,0
Garfield,Antimony,U.S. Senate,,Republican,Mike Lee,66
Garfield,Boulder,U.S. Senate,,Republican,Mike Lee,92
Garfield,Cannonville,U.S. Senate,,Republican,Mike Lee,68
Garfield,Escalante,U.S. Senate,,Republican,Mike Lee,339
Garfield,Hatch,U.S. Senate,,Republican,Mike Lee,136
Garfield,Henrieville,U.S. Senate,,Republican,Mike Lee,101
Garfield,Pang1,U.S. Senate,,Republican,Mike Lee,464
Garfield,Pang2,U.S. Senate,,Republican,Mike Lee,357
Garfield,Ticaboo,U.S. Senate,,Republican,Mike Lee,15
Garfield,Tropic,U.S. Senate,,Republican,Mike Lee,239
Garfield,Bryce,U.S. Senate,,Republican,Mike Lee,26
Garfield,Antimony,U.S. House,2,Republican,Chris Stewart,61
Garfield,Antimony,U.S. House,2,Democratic,Charlene Albarran,5
Garfield,Antimony,U.S. House,2,Constitution,Paul J. McCollaum Jr,3
Garfield,Boulder,U.S. House,2,Republican,Chris Stewart,82
Garfield,Boulder,U.S. House,2,Democratic,Charlene Albarran,108
Garfield,Boulder,U.S. House,2,Constitution,Paul J. McCollaum Jr,10
Garfield,Cannonville,U.S. House,2,Republican,Chris Stewart,64
Garfield,Cannonville,U.S. House,2,Democratic,Charlene Albarran,5
Garfield,Cannonville,U.S. House,2,Constitution,Paul J. McCollaum Jr,2
Garfield,Escalante,U.S. House,2,Republican,Chris Stewart,334
Garfield,Escalante,U.S. House,2,Democratic,Charlene Albarran,120
Garfield,Escalante,U.S. House,2,Constitution,Paul J. McCollaum Jr,10
Garfield,Hatch,U.S. House,2,Republican,Chris Stewart,127
Garfield,Hatch,U.S. House,2,Democratic,Charlene Albarran,25
Garfield,Hatch,U.S. House,2,Constitution,Paul J. McCollaum Jr,6
Garfield,Henrieville,U.S. House,2,Republican,Chris Stewart,97
Garfield,Henrieville,U.S. House,2,Democratic,Charlene Albarran,13
Garfield,Henrieville,U.S. House,2,Constitution,Paul J. McCollaum Jr,8
Garfield,Pang1,U.S. House,2,Republican,Chris Stewart,452
Garfield,Pang1,U.S. House,2,Democratic,Charlene Albarran,44
Garfield,Pang1,U.S. House,2,Constitution,Paul J. McCollaum Jr,11
Garfield,Pang2,U.S. House,2,Republican,Chris Stewart,338
Garfield,Pang2,U.S. House,2,Democratic,Charlene Albarran,36
Garfield,Pang2,U.S. House,2,Constitution,Paul J. McCollaum Jr,14
Garfield,Ticaboo,U.S. House,2,Republican,Chris Stewart,14
Garfield,Ticaboo,U.S. House,2,Democratic,Charlene Albarran,5
Garfield,Ticaboo,U.S. House,2,Constitution,Paul J. McCollaum Jr,4
Garfield,Tropic,U.S. House,2,Republican,Chris Stewart,234
Garfield,Tropic,U.S. House,2,Democratic,Charlene Albarran,23
Garfield,Tropic,U.S. House,2,Constitution,Paul J. McCollaum Jr,6
Garfield,Bryce,U.S. House,2,Republican,Chris Stewart,26
Garfield,Bryce,U.S. House,2,Democratic,Charlene Albarran,2
Garfield,Bryce,U.S. House,2,Constitution,Paul J. McCollaum Jr,0
Garfield,Antimony,Governor,,Republican,Gary R. Herbert,67
Garfield,Antimony,Governor,,Independent,Superdell Schanze,1
Garfield,Antimony,Governor,,Libertarian,Brian E. Kamerath,1
Garfield,Boulder,Governor,,Republican,Gary R. Herbert,90
Garfield,Boulder,Governor,,Independent,Superdell Schanze,1
Garfield,Boulder,Governor,,Libertarian,Brian E. Kamerath,5
Garfield,Cannonville,Governor,,Republican,Gary R. Herbert,67
Garfield,Cannonville,Governor,,Independent,Superdell Schanze,0
Garfield,Cannonville,Governor,,Libertarian,Brian E. Kamerath,2
Garfield,Escalante,Governor,,Republican,Gary R. Herbert,344
Garfield,Escalante,Governor,,Independent,Superdell Schanze,1
Garfield,Escalante,Governor,,Libertarian,Brian E. Kamerath,9
Garfield,Hatch,Governor,,Republican,Gary R. Herbert,123
Garfield,Hatch,Governor,,Independent,Superdell Schanze,6
Garfield,Hatch,Governor,,Libertarian,Brian E. Kamerath,7
Garfield,Henrieville,Governor,,Republican,Gary R. Herbert,96
Garfield,Henrieville,Governor,,Independent,Superdell Schanze,0
Garfield,Henrieville,Governor,,Libertarian,Brian E. Kamerath,5
Garfield,Pang1,Governor,,Republican,Gary R. Herbert,468
Garfield,Pang1,Governor,,Independent,Superdell Schanze,7
Garfield,Pang1,Governor,,Libertarian,Brian E. Kamerath,7
Garfield,Pang2,Governor,,Republican,Gary R. Herbert,348
Garfield,Pang2,Governor,,Independent,Superdell Schanze,7
Garfield,Pang2,Governor,,Libertarian,Brian E. Kamerath,6
Garfield,Ticaboo,Governor,,Republican,Gary R. Herbert,17
Garfield,Ticaboo,Governor,,Independent,Superdell Schanze,2
Garfield,Ticaboo,Governor,,Libertarian,Brian E. Kamerath,2
Garfield,Tropic,Governor,,Republican,Gary R. Herbert,242
Garfield,Tropic,Governor,,Independent,Superdell Schanze,1
Garfield,Tropic,Governor,,Libertarian,Brian E. Kamerath,3
Garfield,Bryce,Governor,,Republican,Gary R. Herbert,26
Garfield,Bryce,Governor,,Independent,Superdell Schanze,0
Garfield,Bryce,Governor,,Libertarian,Brian E. Kamerath,0
Garfield,Antimony,Governor,,Democratic,Mike Weinholtz,4
Garfield,Antimony,Governor,,,Write-In,0
Garfield,Boulder,Governor,,Democratic,Mike Weinholtz,108
Garfield,Boulder,Governor,,,Write-In,0
Garfield,Cannonville,Governor,,Democratic,Mike Weinholtz,5
Garfield,Cannonville,Governor,,,Write-In,0
Garfield,Escalante,Governor,,Democratic,Mike Weinholtz,120
Garfield,Escalante,Governor,,,Write-In,1
Garfield,Hatch,Governor,,Democratic,Mike Weinholtz,23
Garfield,Hatch,Governor,,,Write-In,0
Garfield,Henrieville,Governor,,Democratic,Mike Weinholtz,16
Garfield,Henrieville,Governor,,,Write-In,1
Garfield,Pang1,Governor,,Democratic,Mike Weinholtz,41
Garfield,Pang1,Governor,,,Write-In,0
Garfield,Pang2,Governor,,Democratic,Mike Weinholtz,37
Garfield,Pang2,Governor,,,Write-In,2
Garfield,Ticaboo,Governor,,Democratic,Mike Weinholtz,3
Garfield,Ticaboo,Governor,,,Write-In,0
Garfield,Tropic,Governor,,Democratic,Mike Weinholtz,19
Garfield,Tropic,Governor,,,Write-In,1
Garfield,Bryce,Governor,,Democratic,Mike Weinholtz,2
Garfield,Bryce,Governor,,,Write-In,0
Garfield,Antimony,Attorney General,,Independent American,Michael W. Isbell,1
Garfield,Antimony,Attorney General,,Democratic,Jon V. Harper,5
Garfield,Antimony,Attorney General,,Republican,Sean D. Reyes,63
Garfield,Boulder,Attorney General,,Independent American,Michael W. Isbell,6
Garfield,Boulder,Attorney General,,Democratic,Jon V. Harper,88
Garfield,Boulder,Attorney General,,Republican,Sean D. Reyes,72
Garfield,Cannonville,Attorney General,,Independent American,Michael W. Isbell,0
Garfield,Cannonville,Attorney General,,Democratic,Jon V. Harper,6
Garfield,Cannonville,Attorney General,,Republican,Sean D. Reyes,64
Garfield,Escalante,Attorney General,,Independent American,Michael W. Isbell,5
Garfield,Escalante,Attorney General,,Democratic,Jon V. Harper,113
Garfield,Escalante,Attorney General,,Republican,Sean D. Reyes,320
Garfield,Hatch,Attorney General,,Independent American,Michael W. Isbell,6
Garfield,Hatch,Attorney General,,Democratic,Jon V. Harper,23
Garfield,Hatch,Attorney General,,Republican,Sean D. Reyes,122
Garfield,Henrieville,Attorney General,,Independent American,Michael W. Isbell,1
Garfield,Henrieville,Attorney General,,Democratic,Jon V. Harper,11
Garfield,Henrieville,Attorney General,,Republican,Sean D. Reyes,94
Garfield,Pang1,Attorney General,,Independent American,Michael W. Isbell,14
Garfield,Pang1,Attorney General,,Democratic,Jon V. Harper,45
Garfield,Pang1,Attorney General,,Republican,Sean D. Reyes,430
Garfield,Pang2,Attorney General,,Independent American,Michael W. Isbell,4
Garfield,Pang2,Attorney General,,Democratic,Jon V. Harper,33
Garfield,Pang2,Attorney General,,Republican,Sean D. Reyes,343
Garfield,Ticaboo,Attorney General,,Independent American,Michael W. Isbell,0
Garfield,Ticaboo,Attorney General,,Democratic,Jon V. Harper,4
Garfield,Ticaboo,Attorney General,,Republican,Sean D. Reyes,12
Garfield,Tropic,Attorney General,,Independent American,Michael W. Isbell,2
Garfield,Tropic,Attorney General,,Democratic,Jon V. Harper,23
Garfield,Tropic,Attorney General,,Republican,Sean D. Reyes,229
Garfield,Bryce,Attorney General,,Independent American,Michael W. Isbell,0
Garfield,Bryce,Attorney General,,Democratic,Jon V. Harper,3
Garfield,Bryce,Attorney General,,Republican,Sean D. Reyes,25
Garfield,Antimony,Attorney General,,Libertarian,W. Andrew McCullough,4
Garfield,Boulder,Attorney General,,Libertarian,W. Andrew McCullough,25
Garfield,Cannonville,Attorney General,,Libertarian,W. Andrew McCullough,5
Garfield,Escalante,Attorney General,,Libertarian,W. Andrew McCullough,24
Garfield,Hatch,Attorney General,,Libertarian,W. Andrew McCullough,4
Garfield,Henrieville,Attorney General,,Libertarian,W. Andrew McCullough,10
Garfield,Pang1,Attorney General,,Libertarian,W. Andrew McCullough,18
Garfield,Pang2,Attorney General,,Libertarian,W. Andrew McCullough,9
