county,party,district,candidate,precinct,office,votes,early_voting,election_day
Summit,,,,8 Silver Creek Upper,Ballots Cast,133,,
Summit,,,,9 Lower Pinebrook,Ballots Cast,384,,
Summit,,,,10 Summit Park West,Ballots Cast,142,,
Summit,,,,11 South Summit South,Ballots Cast,170,,
Summit,,,,12 Kamas,Ballots Cast,381,,
Summit,,,,13 South Summit East,Ballots Cast,200,,
Summit,,,,14 Oakley,Ballots Cast,447,,
Summit,,,,15:2 Peoa,Ballots Cast,8,,
Summit,,,,15:20 Peoa,Ballots Cast,106,,
Summit,,,,15:32 Peoa,Ballots Cast,29,,
Summit,,,,16 Silver Springs,Ballots Cast,373,,
Summit,,,,17:2 Wanship,Ballots Cast,59,,
Summit,,,,17:10 Wanship,Ballots Cast,201,,
Summit,,,,17:32 Wanship,Ballots Cast,5,,
Summit,,,,18 Hoytsville,Ballots Cast,266,,
Summit,,,,19 Coalville,Ballots Cast,359,,
Summit,,,,20 Chalk Creek,Ballots Cast,155,,
Summit,,,,21 Weber Canyon,Ballots Cast,55,,
Summit,,,,22 South Summit West,Ballots Cast,167,,
Summit,,,,23 Highland Estates West,Ballots Cast,278,,
Summit,,,,24 North Summit North,Ballots Cast,129,,
Summit,,,,25 Henefer,Ballots Cast,233,,
Summit,,,,26 Ranch Place,Ballots Cast,265,,
Summit,,,,27 Jeremy West,Ballots Cast,227,,
Summit,,,,28 Francis,Ballots Cast,313,,
Summit,,,,29 Wagon Wheel,Ballots Cast,134,,
Summit,,,,30 Summit Park East,Ballots Cast,353,,
Summit,,,,31 Deer Valley South,Ballots Cast,253,,
Summit,,,,32 Old Town North,Ballots Cast,129,,
Summit,,,,33 Sidewinder,Ballots Cast,173,,
Summit,,,,34 Bitner,Ballots Cast,276,,
Summit,,,,35 Park Meadows North,Ballots Cast,329,,
Summit,,,,36 Ranch Road South,Ballots Cast,134,,
Summit,,,,37 Jeremy East,Ballots Cast,316,,
Summit,,,,38 Highland Estates East,Ballots Cast,289,,
Summit,,,,39 Pinebrook North,Ballots Cast,196,,
Summit,,,,40 Moose Hollow,Ballots Cast,327,,
Summit,,,,41 Upper Pinebrook,Ballots Cast,150,,
Summit,,,,42 Snyders Mill,Ballots Cast,237,,
Summit,,,,43 Kimball Canyon,Ballots Cast,39,,
Summit,,,,44 Silver Creek Lower,Ballots Cast,164,,
Summit,,,,45 Promontory Ridge,Ballots Cast,13,,
Summit,LIB,,,1 Deer Valley North,Straight Party,0,0,0
Summit,LIB,,,2 Old Town South,Straight Party,0,0,0
Summit,LIB,,,3 Prospector,Straight Party,1,0,1
Summit,LIB,,,4 Thaynes Canyon,Straight Party,0,0,0
Summit,LIB,,,5 Park Meadows South,Straight Party,1,0,1
Summit,LIB,,,6 Quarry Mountain,Straight Party,2,0,2
Summit,LIB,,,7 Park West,Straight Party,2,0,2
Summit,LIB,,,8 Silver Creek Upper,Straight Party,0,0,0
Summit,LIB,,,9 Lower Pinebrook,Straight Party,0,0,0
Summit,LIB,,,10 Summit Park West,Straight Party,1,0,1
Summit,LIB,,,11 South Summit South,Straight Party,2,1,1
Summit,LIB,,,12 Kamas,Straight Party,2,0,2
Summit,LIB,,,13 South Summit East,Straight Party,2,0,2
Summit,LIB,,,14 Oakley,Straight Party,3,0,3
Summit,LIB,,,15:2 Peoa,Straight Party,0,0,0
Summit,LIB,,,15:20 Peoa,Straight Party,0,0,0
Summit,LIB,,,15:32 Peoa,Straight Party,0,0,0
Summit,LIB,,,16 Silver Springs,Straight Party,0,0,0
Summit,LIB,,,17:2 Wanship,Straight Party,0,0,0
Summit,LIB,,,17:10 Wanship,Straight Party,1,0,1
Summit,LIB,,,17:32 Wanship,Straight Party,0,0,0
Summit,LIB,,,18 Hoytsville,Straight Party,2,1,1
Summit,LIB,,,19 Coalville,Straight Party,1,0,1
Summit,LIB,,,20 Chalk Creek,Straight Party,1,0,1
Summit,LIB,,,21 Weber Canyon,Straight Party,0,0,0
Summit,LIB,,,22 South Summit West,Straight Party,0,0,0
Summit,LIB,,,23 Highland Estates West,Straight Party,2,0,2
Summit,LIB,,,24 North Summit North,Straight Party,1,0,1
Summit,LIB,,,25 Henefer,Straight Party,0,0,0
Summit,LIB,,,26 Ranch Place,Straight Party,1,0,1
Summit,LIB,,,27 Jeremy West,Straight Party,0,0,0
Summit,LIB,,,28 Francis,Straight Party,0,0,0
Summit,LIB,,,29 Wagon Wheel,Straight Party,0,0,0
Summit,LIB,,,30 Summit Park East,Straight Party,1,0,1
Summit,LIB,,,31 Deer Valley South,Straight Party,0,0,0
Summit,LIB,,,32 Old Town North,Straight Party,0,0,0
Summit,LIB,,,33 Sidewinder,Straight Party,1,0,1
Summit,LIB,,,34 Bitner,Straight Party,3,0,3
Summit,LIB,,,35 Park Meadows North,Straight Party,2,0,2
Summit,LIB,,,36 Ranch Road South,Straight Party,1,0,1
Summit,LIB,,,37 Jeremy East,Straight Party,1,0,1
Summit,LIB,,,38 Highland Estates East,Straight Party,1,0,1
Summit,LIB,,,39 Pinebrook North,Straight Party,1,0,1
Summit,LIB,,,40 Moose Hollow,Straight Party,1,0,1
Summit,LIB,,,41 Upper Pinebrook,Straight Party,2,0,2
Summit,LIB,,,42 Snyders Mill,Straight Party,0,0,0
Summit,LIB,,,43 Kimball Canyon,Straight Party,0,0,0
Summit,LIB,,,44 Silver Creek Lower,Straight Party,0,0,0
Summit,LIB,,,45 Promontory Ridge,Straight Party,0,0,0
Summit,IAM,,,1 Deer Valley North,Straight Party,0,0,0
Summit,IAM,,,2 Old Town South,Straight Party,1,0,1
Summit,IAM,,,3 Prospector,Straight Party,1,0,1
Summit,IAM,,,4 Thaynes Canyon,Straight Party,1,0,1
Summit,IAM,,,5 Park Meadows South,Straight Party,4,0,4
Summit,IAM,,,6 Quarry Mountain,Straight Party,0,0,0
Summit,IAM,,,7 Park West,Straight Party,3,0,3
Summit,IAM,,,8 Silver Creek Upper,Straight Party,1,0,1
Summit,IAM,,,9 Lower Pinebrook,Straight Party,4,0,4
Summit,IAM,,,10 Summit Park West,Straight Party,3,1,2
Summit,IAM,,,11 South Summit South,Straight Party,5,3,2
Summit,IAM,,,12 Kamas,Straight Party,7,1,6
Summit,IAM,,,13 South Summit East,Straight Party,3,0,3
Summit,IAM,,,14 Oakley,Straight Party,5,1,4
Summit,IAM,,,15:2 Peoa,Straight Party,0,0,0
Summit,IAM,,,15:20 Peoa,Straight Party,1,0,1
Summit,IAM,,,15:32 Peoa,Straight Party,0,0,0
Summit,IAM,,,16 Silver Springs,Straight Party,3,0,3
Summit,IAM,,,17:2 Wanship,Straight Party,1,0,1
Summit,IAM,,,17:10 Wanship,Straight Party,1,0,1
Summit,IAM,,,17:32 Wanship,Straight Party,0,0,0
Summit,IAM,,,18 Hoytsville,Straight Party,4,1,3
Summit,IAM,,,19 Coalville,Straight Party,6,0,6
Summit,IAM,,,20 Chalk Creek,Straight Party,3,0,3
Summit,IAM,,,21 Weber Canyon,Straight Party,0,0,0
Summit,IAM,,,22 South Summit West,Straight Party,1,0,1
Summit,IAM,,,23 Highland Estates West,Straight Party,1,1,0
Summit,IAM,,,24 North Summit North,Straight Party,2,0,2
Summit,IAM,,,25 Henefer,Straight Party,5,0,5
Summit,IAM,,,26 Ranch Place,Straight Party,3,0,3
Summit,IAM,,,27 Jeremy West,Straight Party,2,0,2
Summit,IAM,,,28 Francis,Straight Party,2,0,2
Summit,IAM,,,29 Wagon Wheel,Straight Party,1,0,1
Summit,IAM,,,30 Summit Park East,Straight Party,3,1,2
Summit,IAM,,,31 Deer Valley South,Straight Party,2,0,2
Summit,IAM,,,32 Old Town North,Straight Party,1,0,1
Summit,IAM,,,33 Sidewinder,Straight Party,6,1,5
Summit,IAM,,,34 Bitner,Straight Party,1,0,1
Summit,IAM,,,35 Park Meadows North,Straight Party,6,3,3
Summit,IAM,,,36 Ranch Road South,Straight Party,1,0,1
Summit,IAM,,,37 Jeremy East,Straight Party,0,0,0
Summit,IAM,,,38 Highland Estates East,Straight Party,5,0,5
Summit,IAM,,,39 Pinebrook North,Straight Party,1,0,1
Summit,IAM,,,40 Moose Hollow,Straight Party,0,0,0
Summit,IAM,,,41 Upper Pinebrook,Straight Party,0,0,0
Summit,IAM,,,42 Snyders Mill,Straight Party,1,0,1
Summit,IAM,,,43 Kimball Canyon,Straight Party,1,0,1
Summit,IAM,,,44 Silver Creek Lower,Straight Party,3,1,2
Summit,IAM,,,45 Promontory Ridge,Straight Party,0,0,0
Summit,REP,,,1 Deer Valley North,Straight Party,14,1,13
Summit,REP,,,2 Old Town South,Straight Party,2,0,2
Summit,REP,,,3 Prospector,Straight Party,9,1,8
Summit,REP,,,4 Thaynes Canyon,Straight Party,23,5,18
Summit,REP,,,5 Park Meadows South,Straight Party,22,7,15
Summit,REP,,,6 Quarry Mountain,Straight Party,22,7,15
Summit,REP,,,7 Park West,Straight Party,67,20,47
Summit,REP,,,8 Silver Creek Upper,Straight Party,19,6,13
Summit,REP,,,9 Lower Pinebrook,Straight Party,49,16,33
Summit,REP,,,10 Summit Park West,Straight Party,7,2,5
Summit,REP,,,11 South Summit South,Straight Party,37,3,34
Summit,REP,,,12 Kamas,Straight Party,41,17,24
Summit,REP,,,13 South Summit East,Straight Party,23,4,19
Summit,REP,,,14 Oakley,Straight Party,44,4,40
Summit,REP,,,15:2 Peoa,Straight Party,0,0,0
Summit,REP,,,15:20 Peoa,Straight Party,14,2,12
Summit,REP,,,15:32 Peoa,Straight Party,6,1,5
Summit,REP,,,16 Silver Springs,Straight Party,29,1,28
Summit,REP,,,17:2 Wanship,Straight Party,8,4,4
Summit,REP,,,17:10 Wanship,Straight Party,22,1,21
Summit,REP,,,17:32 Wanship,Straight Party,1,0,1
Summit,REP,,,18 Hoytsville,Straight Party,25,3,22
Summit,REP,,,19 Coalville,Straight Party,29,3,26
Summit,REP,,,20 Chalk Creek,Straight Party,19,3,16
Summit,REP,,,21 Weber Canyon,Straight Party,7,0,7
Summit,REP,,,22 South Summit West,Straight Party,16,4,12
Summit,REP,,,23 Highland Estates West,Straight Party,48,16,32
Summit,REP,,,24 North Summit North,Straight Party,22,4,18
Summit,REP,,,25 Henefer,Straight Party,21,0,21
Summit,REP,,,26 Ranch Place,Straight Party,35,14,21
Summit,REP,,,27 Jeremy West,Straight Party,28,5,23
Summit,REP,,,28 Francis,Straight Party,62,10,52
Summit,REP,,,29 Wagon Wheel,Straight Party,15,3,12
Summit,REP,,,30 Summit Park East,Straight Party,19,8,11
Summit,REP,,,31 Deer Valley South,Straight Party,42,16,26
Summit,REP,,,32 Old Town North,Straight Party,17,1,16
Summit,REP,,,33 Sidewinder,Straight Party,8,0,8
Summit,REP,,,34 Bitner,Straight Party,36,10,26
Summit,REP,,,35 Park Meadows North,Straight Party,57,15,42
Summit,REP,,,36 Ranch Road South,Straight Party,16,4,12
Summit,REP,,,37 Jeremy East,Straight Party,36,0,36
Summit,REP,,,38 Highland Estates East,Straight Party,28,3,25
Summit,REP,,,39 Pinebrook North,Straight Party,17,0,17
Summit,REP,,,40 Moose Hollow,Straight Party,43,14,29
Summit,REP,,,41 Upper Pinebrook,Straight Party,16,4,12
Summit,REP,,,42 Snyders Mill,Straight Party,26,4,22
Summit,REP,,,43 Kimball Canyon,Straight Party,8,1,7
Summit,REP,,,44 Silver Creek Lower,Straight Party,18,4,14
Summit,REP,,,45 Promontory Ridge,Straight Party,6,4,2
Summit,CON,,,1 Deer Valley North,Straight Party,0,0,0
Summit,CON,,,2 Old Town South,Straight Party,0,0,0
Summit,CON,,,3 Prospector,Straight Party,0,0,0
Summit,CON,,,4 Thaynes Canyon,Straight Party,0,0,0
Summit,CON,,,5 Park Meadows South,Straight Party,0,0,0
Summit,CON,,,6 Quarry Mountain,Straight Party,0,0,0
Summit,CON,,,7 Park West,Straight Party,1,0,1
Summit,CON,,,8 Silver Creek Upper,Straight Party,0,0,0
Summit,CON,,,9 Lower Pinebrook,Straight Party,2,0,2
Summit,CON,,,10 Summit Park West,Straight Party,0,0,0
Summit,CON,,,11 South Summit South,Straight Party,0,0,0
Summit,CON,,,12 Kamas,Straight Party,4,1,3
Summit,CON,,,13 South Summit East,Straight Party,0,0,0
Summit,CON,,,14 Oakley,Straight Party,0,0,0
Summit,CON,,,15:2 Peoa,Straight Party,0,0,0
Summit,CON,,,15:20 Peoa,Straight Party,1,0,1
Summit,CON,,,15:32 Peoa,Straight Party,0,0,0
Summit,CON,,,16 Silver Springs,Straight Party,0,0,0
Summit,CON,,,17:2 Wanship,Straight Party,0,0,0
Summit,CON,,,17:10 Wanship,Straight Party,0,0,0
Summit,CON,,,17:32 Wanship,Straight Party,0,0,0
Summit,CON,,,18 Hoytsville,Straight Party,0,0,0
Summit,CON,,,19 Coalville,Straight Party,2,0,2
Summit,CON,,,20 Chalk Creek,Straight Party,0,0,0
Summit,CON,,,21 Weber Canyon,Straight Party,0,0,0
Summit,CON,,,22 South Summit West,Straight Party,0,0,0
Summit,CON,,,23 Highland Estates West,Straight Party,1,0,1
Summit,CON,,,24 North Summit North,Straight Party,1,0,1
Summit,CON,,,25 Henefer,Straight Party,0,0,0
Summit,CON,,,26 Ranch Place,Straight Party,0,0,0
Summit,CON,,,27 Jeremy West,Straight Party,0,0,0
Summit,CON,,,28 Francis,Straight Party,0,0,0
Summit,CON,,,29 Wagon Wheel,Straight Party,0,0,0
Summit,CON,,,30 Summit Park East,Straight Party,0,0,0
Summit,CON,,,31 Deer Valley South,Straight Party,0,0,0
Summit,CON,,,32 Old Town North,Straight Party,0,0,0
Summit,CON,,,33 Sidewinder,Straight Party,0,0,0
Summit,CON,,,34 Bitner,Straight Party,1,0,1
Summit,CON,,,35 Park Meadows North,Straight Party,0,0,0
Summit,CON,,,36 Ranch Road South,Straight Party,0,0,0
Summit,CON,,,37 Jeremy East,Straight Party,1,0,1
Summit,CON,,,38 Highland Estates East,Straight Party,0,0,0
Summit,CON,,,39 Pinebrook North,Straight Party,0,0,0
Summit,CON,,,40 Moose Hollow,Straight Party,0,0,0
Summit,CON,,,41 Upper Pinebrook,Straight Party,0,0,0
Summit,CON,,,42 Snyders Mill,Straight Party,0,0,0
Summit,CON,,,43 Kimball Canyon,Straight Party,0,0,0
Summit,CON,,,44 Silver Creek Lower,Straight Party,0,0,0
Summit,CON,,,45 Promontory Ridge,Straight Party,0,0,0
Summit,DEM,,,1 Deer Valley North,Straight Party,21,6,15
Summit,DEM,,,2 Old Town South,Straight Party,28,11,17
Summit,DEM,,,3 Prospector,Straight Party,19,2,17
Summit,DEM,,,4 Thaynes Canyon,Straight Party,45,9,36
Summit,DEM,,,5 Park Meadows South,Straight Party,43,13,30
Summit,DEM,,,6 Quarry Mountain,Straight Party,82,34,48
Summit,DEM,,,7 Park West,Straight Party,87,26,61
Summit,DEM,,,8 Silver Creek Upper,Straight Party,26,9,17
Summit,DEM,,,9 Lower Pinebrook,Straight Party,75,18,57
Summit,DEM,,,10 Summit Park West,Straight Party,47,10,37
Summit,DEM,,,11 South Summit South,Straight Party,10,1,9
Summit,DEM,,,12 Kamas,Straight Party,26,8,18
Summit,DEM,,,13 South Summit East,Straight Party,21,8,13
Summit,DEM,,,14 Oakley,Straight Party,29,6,23
Summit,DEM,,,15:2 Peoa,Straight Party,0,0,0
Summit,DEM,,,15:20 Peoa,Straight Party,1,0,1
Summit,DEM,,,15:32 Peoa,Straight Party,2,1,1
Summit,DEM,,,16 Silver Springs,Straight Party,71,18,53
Summit,DEM,,,17:2 Wanship,Straight Party,10,0,10
Summit,DEM,,,17:10 Wanship,Straight Party,21,2,19
Summit,DEM,,,17:32 Wanship,Straight Party,0,0,0
Summit,DEM,,,18 Hoytsville,Straight Party,11,4,7
Summit,DEM,,,19 Coalville,Straight Party,18,2,16
Summit,DEM,,,20 Chalk Creek,Straight Party,0,0,0
Summit,DEM,,,21 Weber Canyon,Straight Party,3,1,2
Summit,DEM,,,22 South Summit West,Straight Party,12,2,10
Summit,DEM,,,23 Highland Estates West,Straight Party,47,11,36
Summit,DEM,,,24 North Summit North,Straight Party,5,0,5
Summit,DEM,,,25 Henefer,Straight Party,6,0,6
Summit,DEM,,,26 Ranch Place,Straight Party,38,11,27
Summit,DEM,,,27 Jeremy West,Straight Party,36,7,29
Summit,DEM,,,28 Francis,Straight Party,16,2,14
Summit,DEM,,,29 Wagon Wheel,Straight Party,20,5,15
Summit,DEM,,,30 Summit Park East,Straight Party,96,22,74
Summit,DEM,,,31 Deer Valley South,Straight Party,44,11,33
Summit,DEM,,,32 Old Town North,Straight Party,25,5,20
Summit,DEM,,,33 Sidewinder,Straight Party,36,4,32
Summit,DEM,,,34 Bitner,Straight Party,78,18,60
Summit,DEM,,,35 Park Meadows North,Straight Party,55,12,43
Summit,DEM,,,36 Ranch Road South,Straight Party,22,8,14
Summit,DEM,,,37 Jeremy East,Straight Party,60,12,48
Summit,DEM,,,38 Highland Estates East,Straight Party,59,14,45
Summit,DEM,,,39 Pinebrook North,Straight Party,42,13,29
Summit,DEM,,,40 Moose Hollow,Straight Party,54,20,34
Summit,DEM,,,41 Upper Pinebrook,Straight Party,28,7,21
Summit,DEM,,,42 Snyders Mill,Straight Party,54,16,38
Summit,DEM,,,43 Kimball Canyon,Straight Party,6,1,5
Summit,DEM,,,44 Silver Creek Lower,Straight Party,30,8,22
Summit,DEM,,,45 Promontory Ridge,Straight Party,3,0,3
Summit,DEM,1,Donna McAleer,1 Deer Valley North,U.S. House,77,19,58
Summit,DEM,1,Donna McAleer,2 Old Town South,U.S. House,82,18,64
Summit,DEM,1,Donna McAleer,3 Prospector,U.S. House,76,12,64
Summit,DEM,1,Donna McAleer,4 Thaynes Canyon,U.S. House,126,33,93
Summit,DEM,1,Donna McAleer,5 Park Meadows South,U.S. House,147,54,93
Summit,DEM,1,Donna McAleer,6 Quarry Mountain,U.S. House,277,91,186
Summit,DEM,1,Donna McAleer,7 Park West,U.S. House,245,64,181
Summit,DEM,1,Donna McAleer,8 Silver Creek Upper,U.S. House,80,31,49
Summit,DEM,1,Donna McAleer,9 Lower Pinebrook,U.S. House,250,65,185
Summit,DEM,1,Donna McAleer,10 Summit Park West,U.S. House,109,22,87
Summit,DEM,1,Donna McAleer,11 South Summit South,U.S. House,36,8,28
Summit,DEM,1,Donna McAleer,12 Kamas,U.S. House,129,46,83
Summit,DEM,1,Donna McAleer,13 South Summit East,U.S. House,79,24,55
Summit,DEM,1,Donna McAleer,14 Oakley,U.S. House,161,23,138
Summit,DEM,1,Donna McAleer,15:2 Peoa,U.S. House,2,0,2
Summit,DEM,1,Donna McAleer,15:20 Peoa,U.S. House,20,4,16
Summit,DEM,1,Donna McAleer,15:32 Peoa,U.S. House,10,4,6
Summit,DEM,1,Donna McAleer,16 Silver Springs,U.S. House,266,78,188
Summit,DEM,1,Donna McAleer,17:2 Wanship,U.S. House,31,7,24
Summit,DEM,1,Donna McAleer,17:10 Wanship,U.S. House,76,12,64
Summit,DEM,1,Donna McAleer,17:32 Wanship,U.S. House,2,1,44
Summit,DEM,1,Donna McAleer,18 Hoytsville,U.S. House,58,14,68
Summit,DEM,1,Donna McAleer,19 Coalville,U.S. House,85,17,23
Summit,DEM,1,Donna McAleer,20 Chalk Creek,U.S. House,33,10,8
Summit,DEM,1,Donna McAleer,21 Weber Canyon,U.S. House,13,5,33
Summit,DEM,1,Donna McAleer,22 South Summit West,U.S. House,52,19,118
Summit,DEM,1,Donna McAleer,23 Highland Estates West,U.S. House,166,48,24
Summit,DEM,1,Donna McAleer,24 North Summit North,U.S. House,29,5,30
Summit,DEM,1,Donna McAleer,25 Henefer,U.S. House,32,2,130
Summit,DEM,1,Donna McAleer,26 Ranch Place,U.S. House,182,52,98
Summit,DEM,1,Donna McAleer,27 Jeremy West,U.S. House,124,7,67
Summit,DEM,1,Donna McAleer,28 Francis,U.S. House,74,13,84
Summit,DEM,1,Donna McAleer,29 Wagon Wheel,U.S. House,97,60,205
Summit,DEM,1,Donna McAleer,30 Summit Park East,U.S. House,265,43,116
Summit,DEM,1,Donna McAleer,31 Deer Valley South,U.S. House,159,19,70
Summit,DEM,1,Donna McAleer,32 Old Town North,U.S. House,89,29,113
Summit,DEM,1,Donna McAleer,33 Sidewinder,U.S. House,142,55,126
Summit,DEM,1,Donna McAleer,34 Bitner,U.S. House,181,66,144
Summit,DEM,1,Donna McAleer,35 Park Meadows North,U.S. House,210,23,63
Summit,DEM,1,Donna McAleer,36 Ranch Road South,U.S. House,86,45,161
Summit,DEM,1,Donna McAleer,38 Highland Estates East,U.S. House,213,45,168
Summit,DEM,1,Donna McAleer,39 Pinebrook North,U.S. House,132,39,93
Summit,DEM,1,Donna McAleer,40 Moose Hollow,U.S. House,200,65,135
Summit,DEM,1,Donna McAleer,41 Upper Pinebrook,U.S. House,85,21,64
Summit,DEM,1,Donna McAleer,42 Snyders Mill,U.S. House,169,53,116
Summit,DEM,1,Donna McAleer,43 Kimball Canyon,U.S. House,26,3,23
Summit,DEM,1,Donna McAleer,44 Silver Creek Lower,U.S. House,102,32,70
Summit,DEM,1,Donna McAleer,45 Promontory Ridge,U.S. House,7,2,5
Summit,IAM,1,Dwayne A. Vance,1 Deer Valley North,U.S. House,2,0,2
Summit,IAM,1,Dwayne A. Vance,2 Old Town South,U.S. House,1,0,1
Summit,IAM,1,Dwayne A. Vance,3 Prospector,U.S. House,4,2,2
Summit,IAM,1,Dwayne A. Vance,4 Thaynes Canyon,U.S. House,5,1,4
Summit,IAM,1,Dwayne A. Vance,5 Park Meadows South,U.S. House,5,1,4
Summit,IAM,1,Dwayne A. Vance,6 Quarry Mountain,U.S. House,5,0,5
Summit,IAM,1,Dwayne A. Vance,7 Park West,U.S. House,5,0,5
Summit,IAM,1,Dwayne A. Vance,8 Silver Creek Upper,U.S. House,5,2,3
Summit,IAM,1,Dwayne A. Vance,9 Lower Pinebrook,U.S. House,8,1,7
Summit,IAM,1,Dwayne A. Vance,10 Summit Park West,U.S. House,4,1,3
Summit,IAM,1,Dwayne A. Vance,11 South Summit South,U.S. House,4,1,3
Summit,IAM,1,Dwayne A. Vance,12 Kamas,U.S. House,13,5,8
Summit,IAM,1,Dwayne A. Vance,13 South Summit East,U.S. House,12,4,8
Summit,IAM,1,Dwayne A. Vance,14 Oakley,U.S. House,24,0,24
Summit,IAM,1,Dwayne A. Vance,15:2 Peoa,U.S. House,3,1,2
Summit,IAM,1,Dwayne A. Vance,15:20 Peoa,U.S. House,11,0,11
Summit,IAM,1,Dwayne A. Vance,15:32 Peoa,U.S. House,0,0,0
Summit,IAM,1,Dwayne A. Vance,16 Silver Springs,U.S. House,5,0,5
Summit,IAM,1,Dwayne A. Vance,17:2 Wanship,U.S. House,1,1,0
Summit,IAM,1,Dwayne A. Vance,17:10 Wanship,U.S. House,6,0,6
Summit,IAM,1,Dwayne A. Vance,17:32 Wanship,U.S. House,0,0,6
Summit,IAM,1,Dwayne A. Vance,18 Hoytsville,U.S. House,9,3,13
Summit,IAM,1,Dwayne A. Vance,19 Coalville,U.S. House,18,5,6
Summit,IAM,1,Dwayne A. Vance,20 Chalk Creek,U.S. House,6,0,1
Summit,IAM,1,Dwayne A. Vance,21 Weber Canyon,U.S. House,1,0,3
Summit,IAM,1,Dwayne A. Vance,22 South Summit West,U.S. House,5,2,4
Summit,IAM,1,Dwayne A. Vance,23 Highland Estates West,U.S. House,5,1,4
Summit,IAM,1,Dwayne A. Vance,24 North Summit North,U.S. House,4,0,6
Summit,IAM,1,Dwayne A. Vance,25 Henefer,U.S. House,6,0,2
Summit,IAM,1,Dwayne A. Vance,26 Ranch Place,U.S. House,3,1,5
Summit,IAM,1,Dwayne A. Vance,27 Jeremy West,U.S. House,6,5,7
Summit,IAM,1,Dwayne A. Vance,28 Francis,U.S. House,12,0,2
Summit,IAM,1,Dwayne A. Vance,29 Wagon Wheel,U.S. House,2,4,7
Summit,IAM,1,Dwayne A. Vance,30 Summit Park East,U.S. House,11,3,7
Summit,IAM,1,Dwayne A. Vance,31 Deer Valley South,U.S. House,10,0,1
Summit,IAM,1,Dwayne A. Vance,32 Old Town North,U.S. House,1,1,2
Summit,IAM,1,Dwayne A. Vance,33 Sidewinder,U.S. House,3,1,4
Summit,IAM,1,Dwayne A. Vance,34 Bitner,U.S. House,5,4,4
Summit,IAM,1,Dwayne A. Vance,35 Park Meadows North,U.S. House,8,0,1
Summit,IAM,1,Dwayne A. Vance,36 Ranch Road South,U.S. House,1,1,7
Summit,IAM,1,Dwayne A. Vance,38 Highland Estates East,U.S. House,7,0,7
Summit,IAM,1,Dwayne A. Vance,39 Pinebrook North,U.S. House,2,1,1
