candidate,office,district,party,county,precinct,election_day,absentee,provisional,early_voting,votes
,Registered Voters,,,Piute,Circleville 3-1,154,154,154,154,154
,Ballots Cast,,,Piute,Circleville 3-1,76,13,0,39,128
,Straight Party,,LIB,Piute,Circleville 3-1,0,0,0,0,0
,Straight Party,,IAP,Piute,Circleville 3-1,0,0,0,0,0
,Straight Party,,REP,Piute,Circleville 3-1,6,3,0,8,17
,Straight Party,,CON,Piute,Circleville 3-1,0,0,0,0,0
,Straight Party,,DEM,Piute,Circleville 3-1,2,0,0,,2
Shaun McCausland,US House,2,CON,Piute,Circleville 3-1,3,0,0,2,5
Wayne L. Hill,US House,2,IAP,Piute,Circleville 3-1,0,0,0,1,1
Chris Stewart,US House,2,REP,Piute,Circleville 3-1,56,10,0,34,100
Luz Robles,US House,2,DEM,Piute,Circleville 3-1,6,0,0,0,6
Bill Barron,US House,2,,Piute,Circleville 3-1,2,0,0,0,2
W Andrew McCullough,Attorney General,,LIB,Piute,Circleville 3-1,0,0,0,0,0
Gregory G. Hansen,Attorney General,,CON,Piute,Circleville 3-1,2,0,0,4,6
Charles A. Stormont,Attorney General,,DEM,Piute,Circleville 3-1,6,0,0,2,8
Sean D Reyes,Attorney General,,REP,Piute,Circleville 3-1,53,12,0,30,95
Leslie D Curtis,Attorney General,,IAP,Piute,Circleville 3-1,3,0,0,1,4
Michael Noel,State House,73,REP,Piute,Circleville 3-1,61,12,0,29,102
,Registered Voters,,,Piute,Circleville 3-2,134,134,134,134,134
,Ballots Cast,,,Piute,Circleville 3-2,72,11,0,10,93
,Straight Party,,LIB,Piute,Circleville 3-2,0,0,0,0,0
,Straight Party,,IAP,Piute,Circleville 3-2,1,0,0,0,1
,Straight Party,,REP,Piute,Circleville 3-2,11,2,0,2,15
,Straight Party,,CON,Piute,Circleville 3-2,0,0,0,0,0
,Straight Party,,DEM,Piute,Circleville 3-2,0,0,0,0,0
Shaun McCausland,US House,2,CON,Piute,Circleville 3-2,5,2,0,0,7
Wayne L. Hill,US House,2,IAP,Piute,Circleville 3-2,0,0,0,0,0
Chris Stewart,US House,2,REP,Piute,Circleville 3-2,64,8,0,10,82
Luz Robles,US House,2,DEM,Piute,Circleville 3-2,0,0,0,0,0
Bill Barron,US House,2,,Piute,Circleville 3-2,1,0,0,0,1
W Andrew McCullough,Attorney General,,LIB,Piute,Circleville 3-2,2,0,0,0,2
Gregory G. Hansen,Attorney General,,CON,Piute,Circleville 3-2,3,1,0,1,5
Charles A. Stormont,Attorney General,,DEM,Piute,Circleville 3-2,1,1,0,0,2
Sean D Reyes,Attorney General,,REP,Piute,Circleville 3-2,60,8,0,8,76
Leslie D Curtis,Attorney General,,IAP,Piute,Circleville 3-2,1,0,0,0,1
Michael Noel,State House,73,REP,Piute,Circleville 3-2,63,8,0,9,80
,Registered Voters,,,Piute,Kingston 4,134,134,134,134,134
,Ballots Cast,,,Piute,Kingston 4,84,10,0,9,103
,Straight Party,,LIB,Piute,Kingston 4,0,0,0,0,0
,Straight Party,,IAP,Piute,Kingston 4,0,0,0,0,0
,Straight Party,,REP,Piute,Kingston 4,13,4,0,0,17
,Straight Party,,CON,Piute,Kingston 4,0,0,0,0,0
,Straight Party,,DEM,Piute,Kingston 4,1,0,0,1,2
Shaun McCausland,US House,2,CON,Piute,Kingston 4,4,0,0,1,5
Wayne L. Hill,US House,2,IAP,Piute,Kingston 4,2,0,0,0,2
Chris Stewart,US House,2,REP,Piute,Kingston 4,72,8,0,3,83
Luz Robles,US House,2,DEM,Piute,Kingston 4,3,1,0,4,8
Bill Barron,US House,2,,Piute,Kingston 4,0,0,0,0,0
W Andrew McCullough,Attorney General,,LIB,Piute,Kingston 4,2,1,0,0,3
Gregory G. Hansen,Attorney General,,CON,Piute,Kingston 4,4,0,0,0,4
Charles A. Stormont,Attorney General,,DEM,Piute,Kingston 4,5,0,0,2,7
Sean D Reyes,Attorney General,,REP,Piute,Kingston 4,66,8,0,5,79
Leslie D Curtis,Attorney General,,IAP,Piute,Kingston 4,2,0,0,1,3
Michael Noel,State House,73,REP,Piute,Kingston 4,70,9,0,4,83
,Registered Voters,,,Piute,Greenwich 5,65,65,65,65,65
,Ballots Cast,,,Piute,Greenwich 5,43,0,0,1,44
,Straight Party,,LIB,Piute,Greenwich 5,0,0,0,0,0
,Straight Party,,IAP,Piute,Greenwich 5,0,0,0,0,0
,Straight Party,,REP,Piute,Greenwich 5,8,0,0,0,8
,Straight Party,,CON,Piute,Greenwich 5,0,0,0,0,0
,Straight Party,,DEM,Piute,Greenwich 5,0,0,0,0,0
Shaun McCausland,US House,2,CON,Piute,Greenwich 5,0,0,0,0,0
Wayne L. Hill,US House,2,IAP,Piute,Greenwich 5,0,0,0,0,0
Chris Stewart,US House,2,REP,Piute,Greenwich 5,38,0,0,1,39
Luz Robles,US House,2,DEM,Piute,Greenwich 5,2,0,0,0,2
Bill Barron,US House,2,,Piute,Greenwich 5,1,0,0,0,1
W Andrew McCullough,Attorney General,,LIB,Piute,Greenwich 5,2,0,0,0,2
Gregory G. Hansen,Attorney General,,CON,Piute,Greenwich 5,1,0,0,0,1
Charles A. Stormont,Attorney General,,DEM,Piute,Greenwich 5,1,0,0,0,1
Sean D Reyes,Attorney General,,REP,Piute,Greenwich 5,37,0,0,1,38
Leslie D Curtis,Attorney General,,IAP,Piute,Greenwich 5,2,0,0,0,2
Michael Noel,State House,73,REP,Piute,Greenwich 5,34,0,0,1,35
,Registered Voters,,,Piute,TOTAL,918,918,918,918,918
,Ballots Cast,,,Piute,TOTAL,467,74,0,110,651
,Straight Party,,LIB,Piute,TOTAL,1,0,0,0,1
,Straight Party,,IAP,Piute,TOTAL,3,0,0,0,3
,Straight Party,,REP,Piute,TOTAL,84,21,0,18,123
,Straight Party,,CON,Piute,TOTAL,0,0,0,0,0
,Straight Party,,DEM,Piute,TOTAL,14,0,0,4,18
Shaun McCausland,US House,2,CON,Piute,TOTAL,17,2,0,4,23
Wayne L. Hill,US House,2,IAP,Piute,TOTAL,6,1,0,5,12
Chris Stewart,US House,2,REP,Piute,TOTAL,382,61,0,86,529
Luz Robles,US House,2,DEM,Piute,TOTAL,29,2,0,10,41
Bill Barron,US House,2,,Piute,TOTAL,6,0,0,0,6
W Andrew McCullough,Attorney General,,LIB,Piute,TOTAL,11,0,0,1,14
Gregory G. Hansen,Attorney General,,CON,Piute,TOTAL,18,2,0,6,26
Charles A. Stormont,Attorney General,,DEM,Piute,TOTAL,33,4,0,10,47
Sean D Reyes,Attorney General,,REP,Piute,TOTAL,360,59,0,84,503
Leslie D Curtis,Attorney General,,IAP,Piute,TOTAL,11,0,0,3,14
Michael Noel,State House,73,REP,Piute,TOTAL,382,65,0,86,533
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
